element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,27.359375,57.369792,36.116307,0.500000,0.500000,9.240889,8.182445,8.961774,9.271171,8.150818,8.960881,2.319238,33.593750
110,30.933333,60.268182,44.296577,0.429688,0.859375,9.430196,7.158562,8.295487,12.261522,10.887682,11.368537,2.621009,84.263636
240,28.011806,61.874306,46.759790,0.468750,0.468750,9.520261,7.496399,8.359811,9.487573,7.476093,8.438904,2.578971,38.695833
500,35.400667,68.688667,48.897387,0.488281,0.488281,10.637163,8.185209,9.467690,10.481112,8.192122,9.489830,2.576676,43.040667
800,34.411667,74.008542,43.397088,0.390625,0.781250,10.982810,8.464187,9.428867,21.649108,12.008999,13.996866,3.054996,84.593333
1024,36.561198,67.200033,37.386158,0.500000,0.500000,12.385582,10.248873,11.190981,12.406522,10.387556,11.135907,3.180413,41.456706
1500,37.414444,78.182111,42.249913,0.366211,0.732422,15.000285,13.656613,17.115532,24.583142,19.412578,22.221768,6.784299,84.427778
2048,39.506755,68.633545,38.118700,0.500000,0.500000,20.397047,20.282340,24.031710,20.407302,20.311055,23.991986,5.949806,41.380534
3000,39.005889,140.578167,43.390203,0.366211,0.732422,19.918168,19.576162,24.868438,33.608172,28.637225,32.228527,8.559253,122.509333
6000,55.839056,168.151750,49.957733,0.366211,0.732422,23.264961,22.794273,29.682243,35.734662,32.480061,36.172649,9.432328,89.549222
8192,46.795756,135.785258,47.393592,0.500000,0.500000,27.440844,28.243510,33.850845,27.368638,28.004909,33.825043,8.045195,44.155802
12000,44.330722,185.604431,54.533985,0.366211,0.732422,25.727362,26.606044,34.838732,38.683738,35.405039,39.258537,10.909276,91.809333
16384,50.738729,135.807210,51.179560,0.500000,0.500000,30.174113,32.129285,38.875693,30.123059,32.057072,38.863046,8.984985,46.103129
25000,45.995647,156.752860,59.506380,0.381470,0.762939,28.254861,29.571742,38.244527,46.521843,42.190184,46.432091,10.887121,105.458413
32768,52.448537,116.821711,51.165963,0.500000,0.500000,32.080728,33.644188,40.837794,32.304168,33.806285,40.839989,8.846060,47.436137
45000,45.555026,151.271233,56.704924,0.343323,0.686646,27.857665,28.497255,37.867449,44.018687,41.062658,46.650339,11.300644,92.712785
60000,49.134861,127.049739,64.446048,0.457764,0.457764,30.750597,32.460117,39.968453,30.901105,32.561155,39.940575,9.443649,46.423794
100000,58.684053,146.836647,59.426300,0.381470,0.762939,29.009576,30.133550,38.731084,50.388418,45.845453,50.390291,10.743525,103.942210
150000,72.661673,202.423269,67.772575,0.286102,0.572205,27.823763,26.636277,36.559944,37.389222,37.595525,44.228539,13.425177,129.530893
200000,62.412642,165.027288,77.492399,0.381470,0.762939,32.809107,31.888837,41.544319,51.491688,47.031902,51.422051,11.907194,124.645243
300000,101.601339,221.516973,88.380681,0.286102,0.572205,42.101248,35.908580,48.441121,45.315644,44.483276,51.586536,15.430756,165.318838
400000,95.767299,186.051665,102.070240,0.381470,0.762939,47.594769,43.951076,54.526197,60.023293,54.860912,59.924815,14.210823,151.764471
600000,111.746437,218.459732,103.851861,0.286102,0.572205,56.037417,48.210647,61.047510,63.465471,58.291947,68.252851,15.770274,182.505909
800000,105.848097,186.656655,116.079794,0.381470,0.762939,62.708614,54.166967,67.603175,80.417272,73.978010,79.428557,14.826916,166.988243
1200000,116.169084,229.915751,112.858732,0.286102,0.572205,64.724406,54.083568,68.649441,76.257929,68.556492,78.229888,15.503428,187.088775
2200000,121.001059,249.640405,114.333960,0.262260,0.524521,68.130393,56.218660,71.623183,78.758441,69.874194,80.752665,15.455979,195.300821
3100000,113.043617,204.736187,124.834268,0.369549,0.739098,73.007007,62.845294,76.280295,96.959582,87.939345,93.410998,13.167230,174.703696
6000000,114.426308,211.736822,123.835522,0.357628,0.715256,75.082574,63.877590,77.918266,98.007154,88.206423,94.366947,11.747939,176.986881
10000000,118.508641,237.208425,117.830884,0.298023,0.596046,73.389705,60.656263,76.191992,89.495313,79.457060,88.824448,16.459575,187.057265
