element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,8.921875,29.848958,7.077756,0.500000,0.500000,1.754717,2.008791,1.896597,1.754548,2.008735,1.895883,9.606538,8.864583
110,8.569697,24.089394,12.909492,0.429688,0.859375,1.842936,1.998136,1.868598,3.611683,4.185984,3.764370,10.119296,34.248485
240,7.537500,20.997222,14.504082,0.468750,0.468750,1.902150,2.193647,1.940745,1.856395,2.194552,1.943442,9.934501,8.965278
500,7.837000,19.927667,15.541989,0.488281,0.488281,1.967570,2.260247,2.005999,1.929509,2.248817,2.122590,10.011721,9.521333
800,7.899375,24.852292,12.159762,0.390625,0.781250,2.016135,2.092320,2.029976,2.938914,3.973839,3.124750,12.108018,30.626667
1024,8.303060,21.667643,7.807350,0.500000,0.500000,2.243426,2.439950,2.223355,2.212323,2.435657,2.232765,11.565853,10.176107
1500,8.063111,29.082333,11.616008,0.366211,0.732422,2.163596,2.397613,2.412345,7.267297,7.644864,7.089241,25.101092,29.793778
2048,8.994710,23.744954,8.014387,0.500000,0.500000,2.589212,5.535867,6.692283,2.607630,5.570645,6.764649,23.192115,10.376953
3000,8.181389,29.827389,11.851199,0.366211,0.732422,2.349767,4.673620,7.739711,10.819813,11.135011,11.969275,33.015466,29.563778
6000,9.314028,31.490222,12.528188,0.366211,0.732422,4.047661,6.647233,10.532425,13.177268,13.526807,14.037887,36.200105,37.031000
8192,11.067444,26.153646,9.445117,0.500000,0.500000,6.897957,9.810555,12.862178,6.819037,9.675843,12.846093,30.806819,11.097778
12000,10.109847,32.129222,13.864067,0.366211,0.732422,4.907628,7.753090,11.706239,14.417443,14.855788,15.883122,39.296423,33.291750
16384,11.802165,27.925039,11.265427,0.500000,0.500000,7.943773,11.082081,14.605003,8.045313,11.211445,14.614226,32.261835,12.223185
25000,12.328993,33.072873,16.589368,0.381470,0.762939,6.664485,9.655624,14.055326,16.740210,17.198352,18.109955,39.159434,37.617333
32768,13.719223,29.201172,12.104354,0.500000,0.500000,9.291843,12.524889,16.100092,9.284992,12.530565,16.047141,33.500535,13.979106
45000,13.185241,35.648019,15.695306,0.343323,0.686646,6.449017,9.161471,13.537583,15.039452,16.129925,18.344399,42.406580,35.760726
60000,14.277275,30.796389,21.846749,0.457764,0.457764,8.662675,11.769337,15.247382,8.561403,11.676179,15.232257,35.992851,13.821750
100000,17.107433,40.688883,17.841838,0.381470,0.762939,7.312506,10.179657,14.082289,19.591911,20.130090,21.656829,40.084445,38.911603
150000,16.215036,55.228593,14.496691,0.286102,0.572205,5.924026,7.957053,12.403648,12.068050,14.505454,17.493330,45.219709,41.000940
200000,16.963837,41.974678,18.352899,0.381470,0.762939,7.251169,10.035505,13.949919,19.468395,19.969461,21.570189,39.656228,43.778768
300000,23.196643,85.395367,20.610832,0.286102,0.572205,6.697558,8.552975,13.723348,12.015155,14.452945,17.422115,48.777993,55.141160
400000,27.319493,69.348976,26.458999,0.381470,0.762939,8.836731,11.384677,17.911214,18.985167,19.575653,21.220002,44.534219,55.242733
600000,43.632425,92.413169,29.630697,0.286102,0.572205,12.061666,14.137194,18.387116,14.380150,16.963991,20.243515,53.288621,71.838523
800000,40.002581,75.320291,35.262698,0.381470,0.762939,14.730236,17.900395,22.068364,24.508625,25.476624,27.671593,46.738212,66.773334
1200000,47.991042,88.690010,34.587711,0.286102,0.572205,16.074887,18.633197,22.381108,21.159544,24.322175,27.803112,51.819579,79.179170
2200000,51.329133,98.187745,36.261153,0.262260,0.524521,17.517429,19.838613,23.277383,22.418474,26.103681,29.607088,62.616850,83.768789
3100000,46.566501,78.934656,42.737929,0.369549,0.739098,19.585259,22.843926,26.152103,34.686033,35.946241,39.701952,70.012877,75.560519
6000000,47.851507,82.087336,43.354559,0.357628,0.715256,20.103723,23.162843,26.468118,34.683267,36.416821,40.762070,35.997723,76.777684
10000000,50.584697,94.062142,40.386814,0.298023,0.596046,19.545316,22.108971,25.406173,27.569690,30.936293,35.090277,inf,80.931687
