element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,51.598958,87.609375,53.818955,0.500000,0.500000,9.145813,6.995558,8.333718,9.060562,7.025489,8.335328,2.743727,52.781250
110,52.480303,95.550000,63.767113,0.429688,0.859375,9.185077,6.865094,8.021730,10.535054,8.731215,9.406482,2.832036,109.245455
240,54.407639,79.183333,67.804647,0.468750,0.468750,12.029163,7.451145,9.425420,11.906230,7.435274,9.409149,2.718718,55.063889
500,55.031667,90.488667,70.540670,0.488281,0.488281,14.411391,8.549367,10.511316,14.397643,8.569114,10.464156,3.056999,54.888000
800,54.437917,97.601250,65.042724,0.390625,0.781250,15.995126,9.025871,10.809010,19.335176,12.015828,12.745833,4.629216,101.717083
1024,53.832682,86.692546,57.146824,0.500000,0.500000,17.317367,13.143479,11.667722,17.320892,13.011996,11.612351,4.171352,56.480469
1500,52.203000,99.983889,63.990978,0.366211,0.732422,19.735535,15.041644,12.998367,27.912041,19.713010,15.239502,7.535476,99.944000
2048,55.209391,88.165202,62.621009,0.500000,0.500000,26.108188,19.653418,18.766608,26.161452,19.694089,18.732204,6.080905,56.640299
3000,54.529556,104.275389,73.580450,0.366211,0.732422,25.766860,18.785552,24.253754,38.441607,26.549145,28.836159,8.816652,105.199444
6000,64.362750,111.859111,83.443347,0.366211,0.732422,30.076923,22.190397,34.647103,44.845951,31.057010,39.538766,9.916281,113.516833
8192,66.527893,98.282410,79.728080,0.500000,0.500000,37.497356,28.768797,41.548868,37.484212,28.685328,41.552966,7.925649,67.635539
12000,69.069000,116.257764,88.860071,0.366211,0.732422,36.090787,27.783517,42.476597,53.744704,38.293212,48.187924,11.076938,119.131250
16384,72.420858,103.660441,82.242869,0.500000,0.500000,42.510015,33.805255,46.457660,42.490830,33.810251,46.462986,8.864110,72.223979
25000,72.207793,121.254740,98.018570,0.381470,0.762939,39.351047,30.870972,45.664403,60.582454,45.042925,54.168352,11.061800,122.647067
32768,75.641134,108.608170,84.730890,0.500000,0.500000,44.712110,35.499492,48.536293,44.694377,35.444551,48.529708,8.963686,75.462199
45000,76.093533,129.497115,100.828508,0.343323,0.686646,38.478521,29.442555,43.892847,56.067891,41.002033,50.848247,11.456649,131.950719
60000,79.830714,117.913564,116.163327,0.457764,0.457764,43.401875,34.385414,47.422729,42.620822,33.539948,47.405142,9.550663,82.453872
100000,96.375763,151.939860,135.222102,0.381470,0.762939,43.320310,31.657662,46.816892,63.423438,45.002196,55.750369,10.735667,164.412480
150000,122.774722,203.730760,158.668250,0.286102,0.572205,54.864695,32.471871,53.319836,59.191201,38.519099,56.055208,13.610700,191.391631
200000,123.195520,184.515635,185.696363,0.381470,0.762939,73.663301,42.632243,65.524687,90.270234,57.297416,77.303836,12.564289,187.707593
300000,194.253859,285.625320,195.272305,0.286102,0.572205,93.602498,51.261155,83.556973,105.345122,63.689674,93.009129,16.240735,224.708377
400000,192.544962,263.719578,210.929398,0.381470,0.762939,106.287898,64.736206,96.176376,128.159707,86.896756,112.088691,14.212962,234.491488
600000,220.393314,329.883211,213.269763,0.286102,0.572205,114.036139,69.168208,100.421802,122.247704,83.216610,109.127963,15.859770,246.442264
800000,222.655031,312.051637,231.979599,0.381470,0.762939,119.386523,76.820675,106.987352,144.876177,101.550694,127.153273,14.863354,233.227739
1200000,236.334467,379.483477,236.130565,0.286102,0.572205,126.241054,74.858002,107.325012,132.239093,90.442679,117.911972,15.718074,259.584373
2200000,255.140958,438.242856,241.605242,0.262260,0.524521,131.430607,76.548860,110.912949,134.794376,91.781909,121.418504,15.580616,269.075083
3100000,255.755553,399.821225,255.573862,0.369549,0.739098,137.871849,84.086657,117.268406,158.926156,112.845169,140.453934,13.214047,256.843689
6000000,267.983575,437.687883,261.084458,0.357628,0.715256,135.657434,86.052765,119.981846,160.057750,112.969485,140.965855,11.892598,252.751102
10000000,285.235576,478.040541,256.355375,0.298023,0.596046,132.130150,84.386333,120.350690,149.422953,103.380542,133.082749,16.536189,271.409521
