element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,22.932292,36.557292,13.640909,0.507937,0.507937,4.289982,3.354146,3.806255,4.242419,3.288302,3.805883,2.140676,14.656250
110,9.733333,20.843939,15.407876,0.866142,0.866142,4.478921,4.103327,4.567591,4.692211,4.171547,4.481648,1.219456,9.600000
240,9.550000,28.478472,15.959429,0.469667,0.469667,4.328714,3.805132,3.929846,4.422190,3.756099,3.929693,1.876629,8.873611
500,9.629667,27.011667,15.941383,0.488759,0.488759,4.451313,3.769064,4.141059,4.473979,3.803719,4.150662,2.340767,8.418667
800,8.718542,18.967500,15.525022,0.782014,0.782014,4.514014,4.525420,4.666557,4.485575,4.980557,4.775730,1.392885,9.163333
1024,8.195150,25.101237,16.396201,0.500244,0.500244,4.356691,3.967364,4.013722,4.408066,3.924205,3.994832,2.498557,8.256185
1500,8.441556,18.950111,23.077438,0.732780,0.732780,4.461508,4.278902,4.278716,4.502433,4.015024,4.329037,1.623817,8.270667
2048,7.896891,23.798014,16.585342,0.500122,0.500122,4.408810,3.951699,4.376170,4.399808,3.855113,4.394434,2.466181,7.932943
3000,9.795056,19.117778,23.221073,0.732601,0.732601,4.508035,4.707553,5.748969,4.510497,4.395684,5.672968,1.932167,8.113222
6000,9.593250,26.678278,23.464384,0.732511,0.732511,4.566608,5.053477,8.488941,4.593228,5.016267,8.467133,2.297643,8.276111
8192,11.604411,38.837301,17.627207,0.500031,0.500031,4.675640,4.047027,8.525243,4.668791,4.177415,8.514399,4.733878,8.282104
12000,10.067750,30.113667,24.408143,0.732467,0.732467,4.856046,5.828389,9.966717,4.862082,5.819893,9.965403,2.511966,8.694306
16384,12.924733,44.304545,19.428530,0.500015,0.500015,5.037403,4.404715,9.803706,5.231498,4.398790,9.754007,4.693123,8.892863
25000,11.217647,33.659907,29.560918,0.762963,0.762963,5.555600,6.941094,11.875302,5.703896,7.140462,11.873505,2.494742,9.330867
32768,14.428874,50.856873,22.361946,0.500008,0.500008,6.864582,4.698501,11.039975,6.864423,4.752582,11.036242,5.074668,9.503866
45000,11.791130,40.463456,26.717784,0.686656,0.686656,7.058933,6.112300,11.916261,7.068389,6.035615,11.924306,3.406463,9.588837
60000,15.828581,58.503742,23.830194,0.457767,0.457767,7.105156,4.977704,11.478710,7.381954,5.083932,11.498949,5.459823,9.487156
100000,14.571317,33.927613,33.285040,0.762945,0.762945,7.975289,7.743897,13.540964,8.000468,7.850548,13.537435,2.836415,10.419080
150000,15.393042,39.679189,25.502623,0.572207,0.572207,8.145757,5.647550,12.343395,8.173817,5.620900,12.349097,4.618680,10.762044
200000,13.678593,22.975875,34.503787,0.762942,0.762942,8.510625,8.646206,14.283739,8.485916,8.719505,14.288359,2.769077,11.242565
300000,18.650487,39.352256,27.594704,0.572206,0.572206,9.776030,6.176075,12.708665,9.401579,5.639827,12.696263,4.617161,12.977676
400000,16.737832,27.579706,35.691817,0.762941,0.762941,10.132129,9.307005,15.033251,9.666581,9.175730,15.027716,2.811984,13.781338
600000,21.031334,40.638255,37.410202,0.572205,0.572205,12.543736,7.076350,14.795153,12.728839,6.703695,14.843183,4.576440,19.047201
800000,18.023185,32.524626,48.181117,0.762940,0.762940,14.481767,11.136927,18.596024,14.676725,11.094304,18.589186,2.783979,20.362756
1200000,28.133617,49.146474,52.038478,0.572205,0.572205,23.047786,9.021499,20.082448,22.532509,9.605608,19.932829,4.425436,28.649025
2200000,32.872493,55.134529,57.639475,0.524521,0.524521,27.328388,11.777249,23.182328,27.267999,11.733543,23.210157,4.604391,32.694605
3100000,31.523360,46.817329,65.735150,0.739098,0.739098,27.859701,14.831943,25.635893,28.070490,15.004295,25.617150,2.593942,31.251987
6000000,33.476339,49.378701,67.538696,0.715256,0.715256,29.675735,15.021881,26.813079,29.923792,15.033271,26.819283,2.461807,33.105699
10000000,38.363208,57.529116,69.916644,0.596047,0.596047,34.478253,14.897386,29.611590,34.566254,13.792352,27.687534,4.468140,37.806076
