element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,22.677083,54.458333,22.219141,0.507937,0.507937,4.227024,3.375716,3.718503,4.051986,3.317553,3.718281,1.743695,29.906250
110,32.613636,45.460606,23.132335,0.866142,0.866142,4.193631,3.791676,4.030095,4.225719,3.797201,4.030519,0.989579,25.281818
240,30.597222,48.613194,24.568711,0.469667,0.469667,4.653213,3.707868,3.983389,4.527444,3.755270,3.949167,1.685970,23.716667
500,29.951000,48.382667,25.454407,0.488759,0.488759,4.781086,4.056972,4.595045,4.927180,4.014799,4.567448,2.202498,23.632000
800,31.335000,50.220625,25.562980,0.782014,0.782014,4.880205,5.298696,4.997209,4.904453,5.017683,5.015457,1.255438,24.873333
1024,30.196289,50.714681,26.111326,0.500244,0.500244,4.892232,4.313599,4.558446,4.903681,4.469705,4.609536,2.327973,23.204753
1500,31.505333,45.244111,32.914447,0.732780,0.732780,5.001374,4.462926,4.743457,5.048386,4.371844,4.744254,1.390335,23.478667
2048,31.955892,49.268392,27.473546,0.500122,0.500122,5.000926,4.400437,4.830344,5.009351,4.407191,4.798051,2.205131,23.048177
3000,33.127556,48.157889,34.195527,0.732601,0.732601,5.179603,4.833633,6.411994,5.232771,4.681147,6.404759,1.535890,23.710333
6000,24.746361,36.879222,40.578257,0.732511,0.732511,6.517734,5.102825,9.230449,6.572839,5.143861,9.228874,2.246236,24.006000
8192,24.993306,43.186117,39.787262,0.500031,0.500031,8.793398,4.734977,9.793133,8.720544,4.746522,9.815462,4.977455,24.534627
12000,25.905514,39.042514,50.564026,0.732467,0.732467,9.827283,6.501535,11.583124,9.719381,6.213107,11.597402,2.793953,24.762778
16384,27.244761,46.730011,48.814258,0.500015,0.500015,10.960371,6.164473,12.401083,11.114167,6.072503,12.395839,5.146602,26.006632
25000,27.824900,41.332213,63.062148,0.762963,0.762963,11.288957,9.253541,14.802157,11.334807,9.168919,14.779818,2.825512,26.775600
32768,28.734436,49.452377,55.517452,0.500008,0.500008,12.534946,7.011198,13.888024,12.406438,6.967722,13.883786,5.349125,27.658976
45000,29.583052,45.052063,60.752236,0.686656,0.686656,12.302112,8.198698,14.537923,11.985267,8.198832,14.542767,3.687832,32.993519
60000,32.860583,54.437758,58.784392,0.457767,0.457767,12.638301,6.851128,13.979856,12.520249,6.879288,13.977993,5.646695,30.824644
100000,36.328623,46.965593,71.518479,0.762945,0.762945,14.562835,9.472273,15.857008,12.975618,9.423352,15.809893,3.072796,35.207503
150000,48.541636,59.136996,82.530547,0.572207,0.572207,16.825927,7.554392,15.805014,16.508029,7.632514,15.705229,4.859307,48.595731
200000,59.261828,61.597690,110.541896,0.762942,0.762942,26.134595,11.960581,22.007700,26.015533,11.837796,21.930280,2.961146,55.688873
300000,73.099966,98.067414,130.988508,0.572206,0.572206,34.683935,11.043050,28.178452,34.210658,13.468710,28.181988,4.845829,64.945340
400000,75.506726,96.329944,166.708014,0.762941,0.762941,36.895735,19.605499,33.316020,37.891166,18.032604,33.106095,3.011020,98.270875
600000,105.344867,182.979386,163.229528,0.572205,0.572205,41.800251,18.790288,36.421973,41.647272,18.580208,36.578041,4.793527,102.003543
800000,106.287545,164.699307,199.994483,0.762940,0.762940,43.172930,25.109303,39.610136,42.879460,25.098969,39.285854,2.982050,103.416601
1200000,112.574130,215.367519,189.828377,0.572205,0.572205,51.343197,22.029146,42.300792,49.400008,21.858811,42.278748,4.645362,111.158657
2200000,204.969540,341.848386,201.845551,0.524521,0.524521,55.296295,23.835794,46.910191,55.266580,23.954130,46.885458,4.878213,106.698440
3100000,212.141955,310.145186,229.366889,0.739098,0.739098,60.238004,28.162994,49.832592,60.648227,28.161696,52.710075,2.847023,120.317074
6000000,235.788794,354.959462,233.414393,0.715256,0.715256,65.951278,28.284372,52.278637,65.998751,28.496133,56.470100,2.687905,133.644190
10000000,260.148596,418.452653,232.161184,0.596047,0.596047,74.525087,28.960688,55.955703,74.440096,29.733563,60.949623,4.765883,152.152146
