element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,11.776042,26.505208,9.465923,0.500000,0.500000,2.390426,2.504408,2.477334,2.389925,2.504450,2.476830,2.466871,11.593750
110,8.924242,28.346970,16.212850,0.429688,0.859375,2.149319,2.421880,2.344646,2.409553,3.244871,2.813641,2.403976,27.296970
240,11.409028,27.479167,18.923267,0.468750,0.468750,2.763064,2.822124,2.763151,2.696879,2.856888,2.854564,2.264286,12.201389
500,10.588333,26.875000,20.655857,0.488281,0.488281,3.000106,3.156388,3.131113,3.091455,3.157665,3.051992,2.357359,11.065333
800,9.734167,32.580417,16.141744,0.390625,0.781250,2.896258,2.975248,2.853077,5.519334,5.175601,4.769265,4.078480,38.613750
1024,9.934570,25.871582,11.199299,0.500000,0.500000,3.281102,3.321750,3.099255,3.315354,3.363574,3.115660,4.823066,11.383138
1500,10.376000,35.300222,15.802942,0.366211,0.732422,3.350447,3.591768,3.399159,5.967031,7.242899,7.305648,8.692370,35.228667
2048,10.894938,29.465495,13.128721,0.500000,0.500000,3.900983,6.399840,8.143509,3.839748,6.464542,8.161405,6.996391,12.437174
3000,12.845778,45.637500,18.030856,0.366211,0.732422,4.756595,6.492567,11.228405,17.549603,15.468670,16.233756,9.721276,47.104778
6000,16.487361,57.404306,21.370904,0.366211,0.732422,5.817186,8.622990,13.509475,17.764365,16.757344,18.758341,11.183026,46.853611
8192,16.510783,40.951660,18.802272,0.500000,0.500000,10.847106,13.876269,18.557890,10.767360,13.728732,18.554555,9.072464,17.910034
12000,22.505708,57.796500,23.960243,0.366211,0.732422,14.443250,14.296903,20.926557,26.024534,25.521888,26.251105,11.715044,57.555000
16384,26.126882,51.337341,19.736327,0.500000,0.500000,20.642429,20.325127,24.089819,20.628391,20.316253,24.088093,9.042987,26.480896
25000,26.595700,61.599580,26.026229,0.381470,0.762939,19.443288,17.073857,23.217516,29.921866,28.945731,30.514092,10.976018,64.606200
32768,31.736745,56.485825,21.321529,0.500000,0.500000,24.828854,23.087662,26.658514,24.700033,22.941902,26.656531,8.414122,31.131714
45000,23.483974,75.967878,25.513667,0.343323,0.686646,12.672147,13.484586,19.754357,28.557451,27.440663,29.700001,12.354332,74.199896
60000,27.337522,68.126331,33.685011,0.457764,0.457764,17.888168,18.451647,23.108208,17.870057,18.468169,23.086275,9.863266,28.860383
100000,35.742900,103.832003,40.038700,0.381470,0.762939,11.861129,15.100589,19.169132,24.379547,24.039865,26.486533,13.839673,87.162230
150000,85.461736,182.829567,42.784219,0.286102,0.572205,9.985340,12.178982,18.368002,19.878615,23.040389,26.439939,17.938074,141.158776
200000,71.393850,143.772707,51.359082,0.381470,0.762939,14.747690,18.446770,22.744363,28.124788,28.293660,30.803439,15.373110,121.308028
300000,94.704952,196.227871,52.489443,0.286102,0.572205,18.315335,21.960411,25.133600,24.289743,27.564196,32.741029,19.308414,161.021394
400000,82.056557,157.859025,61.524893,0.381470,0.762939,21.289296,26.014896,29.372649,38.700735,39.782276,42.816833,16.428282,136.375975
600000,98.256758,207.439250,57.967399,0.286102,0.572205,22.506828,27.042533,29.780136,32.626941,35.868126,40.018109,19.913067,163.567784
800000,85.414103,167.161107,67.525498,0.381470,0.762939,25.568964,30.348990,33.687629,49.187679,50.060903,53.706830,16.849210,140.115625
1200000,99.689368,214.459405,61.130493,0.286102,0.572205,24.859949,29.475582,32.132185,36.547556,39.823435,43.899787,19.447601,164.224598
2200000,105.327339,233.366314,60.846002,0.262260,0.524521,25.660869,29.829760,32.707336,35.058529,39.252656,42.948967,19.973645,174.158891
3100000,88.864525,179.744800,70.933849,0.369549,0.739098,28.953691,33.940828,36.859679,54.783723,55.739125,60.421236,14.964863,143.850507
6000000,90.532474,186.295040,70.621400,0.357628,0.715256,29.225171,34.014924,37.085208,56.180870,56.839279,62.179542,13.496954,146.663505
10000000,98.669015,214.125973,65.427045,0.298023,0.596046,27.515669,31.878622,34.859458,42.805813,46.222600,50.313728,20.463155,160.837082
