element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,27.135417,52.734375,45.976375,0.507937,0.507937,13.931129,8.155927,13.861448,13.964958,8.186467,13.850650,4.428029,86.812500
110,28.600000,45.389394,45.431875,0.866142,0.866142,14.109187,8.773596,13.060290,14.614015,8.154575,12.997277,2.647405,41.287879
240,27.170139,47.512500,46.854792,0.469667,0.469667,13.014529,7.563406,18.943171,13.139194,8.349027,18.825781,4.618732,48.611111
500,31.111333,55.889667,49.636833,0.488759,0.488759,13.195144,8.116173,18.461490,13.213517,8.216075,18.541446,4.225142,51.304667
800,27.829792,41.371458,53.433958,0.782014,0.782014,14.744183,13.033979,19.545931,17.116664,12.895560,18.343969,3.184825,43.732500
1024,27.750814,47.458333,53.983875,0.500244,0.500244,14.524517,7.919475,19.314760,14.421685,7.907321,19.113987,4.326019,38.533203
1500,29.148222,44.023222,66.015125,0.732780,0.732780,16.477952,12.612581,20.044998,16.413319,12.556433,20.029931,3.458146,40.259333
2048,27.977783,48.221191,58.276500,0.500122,0.500122,16.923377,8.391690,20.276725,16.995373,8.081058,20.389100,4.371884,39.286133
3000,28.613333,42.613389,73.514083,0.732601,0.732601,18.373248,15.005933,22.156098,18.116102,14.038333,22.081006,3.449878,35.888778
6000,27.831056,52.236111,113.817167,0.732511,0.732511,18.882423,15.068917,22.958660,18.399860,15.027321,23.033283,3.559884,37.569444
8192,32.532633,66.669922,129.512291,0.500031,0.500031,18.257335,8.556892,21.553310,18.465100,8.626658,21.629423,4.538051,40.006795
12000,29.226278,57.095472,128.611292,0.732467,0.732467,19.087585,15.228658,23.939458,18.774010,15.216331,23.887783,3.676996,37.824083
16384,30.804118,63.396881,69.456125,0.500015,0.500015,18.706902,8.793112,22.681302,18.567904,8.749329,22.596619,5.852220,40.812195
25000,28.800000,51.593327,141.719667,0.762963,0.762963,20.108669,18.017802,26.729919,19.840610,18.243769,26.495685,3.515369,36.248333
32768,32.237788,57.879557,118.943042,0.500008,0.500008,20.334363,9.146150,24.031363,20.386023,9.066540,24.033594,6.032387,40.648570
45000,36.805707,55.393207,137.335375,0.686656,0.686656,21.403123,14.213642,26.378758,20.820987,14.410592,26.923731,4.425764,47.478400
60000,34.096753,62.487039,106.378625,0.457767,0.457767,24.583233,9.059019,26.632860,24.932985,9.114344,26.417517,6.499534,48.734028
100000,45.210973,55.488753,196.114542,0.762945,0.762945,39.910033,21.271115,38.934996,40.265715,20.085621,38.408708,3.903058,47.672643
150000,42.243518,59.864536,202.406292,0.572207,0.572207,55.024612,14.972383,43.546140,54.881992,14.156171,44.383540,5.629917,49.990556
200000,38.226112,56.900348,304.650709,0.762942,0.762942,59.661958,25.775654,49.561600,58.908327,26.593392,50.839631,3.958742,46.924443
300000,52.339770,74.254399,287.157250,0.572206,0.572206,80.497373,21.959304,62.153675,76.765188,21.970175,58.921879,5.590954,62.663288
400000,51.734513,69.885799,339.159125,0.762941,0.762941,91.146206,32.471560,73.798135,90.702942,31.932513,73.091288,3.998771,60.603889
600000,70.980092,89.929097,331.260521,0.572205,0.572205,119.224608,29.293863,89.123002,119.061117,28.981271,93.792808,5.777357,77.972570
800000,72.744375,88.240469,361.687682,0.762940,0.762940,129.844610,46.613792,102.843627,132.134112,44.518152,100.561263,3.942025,76.729079
1200000,85.384740,111.469705,325.070104,0.572205,0.572205,143.949369,39.823206,107.577500,141.527279,39.796354,109.398050,5.722461,87.169989
2200000,90.083551,130.423494,331.607292,0.524521,0.524521,156.565375,45.315694,121.206940,156.858744,45.328898,120.452369,6.204966,92.569343
3100000,90.328817,118.727695,350.902177,0.739098,0.739098,158.255971,56.048892,122.250402,153.404844,53.440467,117.403698,4.245035,87.926183
6000000,100.040476,137.593649,367.170205,0.715256,0.715256,172.846029,59.551281,131.971660,174.146906,60.865160,137.495890,4.449792,100.512769
10000000,117.422304,161.344979,374.161271,0.596047,0.596047,176.564000,58.529708,134.620269,177.383048,58.983452,135.288531,5.501938,108.120989
