element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,7.166667,28.645833,16.244833,0.507937,0.507937,2.244781,1.603902,1.854269,2.218631,1.610987,1.854335,4.600773,7.812500
110,7.446970,24.493939,15.933209,0.866142,0.866142,2.478685,3.256738,2.842798,2.476021,3.254596,2.843919,2.553586,5.681818
240,10.184722,33.969444,16.430250,0.469667,0.469667,2.918000,2.271060,2.522621,2.918948,2.269992,2.522765,3.042403,7.695833
500,10.903000,32.000333,16.787333,0.488759,0.488759,2.956787,2.533029,2.655271,2.958665,2.480744,2.802900,3.114562,16.611333
800,9.705000,41.154583,15.569834,0.782014,0.782014,2.820065,2.866317,3.111525,2.783185,2.867279,2.679642,2.607158,10.990000
1024,7.399089,30.354655,16.872458,0.500244,0.500244,2.481956,2.234594,2.147692,2.483383,2.030298,2.142023,3.259169,7.839844
1500,5.643667,18.578444,24.153208,0.732780,0.732780,2.622479,2.127256,2.946404,2.633158,2.078383,2.101358,2.862490,5.472000
2048,4.398031,20.677490,16.749500,0.500122,0.500122,2.244683,2.104281,2.328577,2.229665,2.119890,1.901600,4.207116,4.530111
3000,5.164389,14.342500,24.167459,0.732601,0.732601,2.373567,2.236800,5.600004,2.373510,2.133565,1.948348,3.665188,5.185222
6000,4.452556,13.537028,24.176541,0.732511,0.732511,2.248663,2.672465,7.676327,2.249175,2.503206,7.393135,3.645577,4.446833
8192,4.442871,21.314860,16.370792,0.500031,0.500031,2.285921,2.135373,7.645817,2.311106,2.152133,8.015998,4.808910,4.637004
12000,4.561944,16.368625,23.943917,0.732467,0.732467,2.320144,3.492629,9.024525,2.314508,3.451252,9.022896,4.438294,4.629639
16384,4.659454,19.907623,16.016417,0.500015,0.500015,2.274881,2.149965,8.249125,2.275104,2.154237,8.272650,5.702455,4.714111
25000,5.243327,15.882493,26.501291,0.762963,0.762963,2.609425,5.199598,10.029685,2.614025,5.178927,10.027917,3.769865,5.197787
32768,5.454809,21.111806,16.110458,0.500008,0.500008,2.549437,2.559796,8.879327,2.543454,2.557702,8.946685,6.133344,5.297770
45000,5.809726,17.370370,21.490167,0.686656,0.686656,2.955931,4.872752,10.376908,2.958502,4.883969,10.389785,4.322538,5.886111
60000,6.523611,23.597683,15.078125,0.457767,0.457767,2.680027,2.639477,9.324704,2.677665,2.641327,9.340042,6.281287,6.639350
100000,7.363753,18.674860,27.062667,0.762945,0.762945,3.490327,7.869079,12.371815,3.493779,7.868267,12.524440,4.031446,7.136247
150000,7.762036,26.040093,17.551458,0.572207,0.572207,2.938267,3.812177,10.284292,3.015492,3.816048,10.195365,5.737987,7.175184
200000,7.665070,19.279445,27.353500,0.762942,0.762942,3.809917,9.789435,13.380065,3.772490,9.776233,13.400102,3.997483,7.578472
300000,6.309306,22.311433,18.047208,0.572206,0.572206,4.492112,3.812881,10.343167,4.485190,3.827281,10.360463,5.682682,6.033704
400000,7.209375,18.603646,29.079875,0.762941,0.762941,5.114410,9.922848,13.714085,5.099127,9.935281,13.704483,4.090990,7.066701
600000,7.801018,22.609444,20.480521,0.572205,0.572205,6.160287,3.835060,10.745636,6.183504,3.828740,10.711827,5.849822,7.950440
800000,8.659079,20.246702,30.539167,0.762940,0.762940,6.504194,8.998529,13.820860,6.468123,8.995908,13.812448,3.983248,7.794826
1200000,11.867708,24.640139,27.861268,0.572205,0.572205,8.522021,4.090904,12.694279,10.397079,4.124877,12.661181,5.725466,11.759329
2200000,14.394905,26.862368,35.081345,0.524521,0.524521,12.041927,4.360285,13.908350,12.045273,4.364325,13.900660,6.176437,14.514830
3100000,14.734550,23.963091,45.162003,0.739098,0.739098,12.432358,9.033827,17.005675,12.814779,9.446579,17.013521,4.465983,15.266994
6000000,17.480017,27.912979,46.213385,0.715256,0.715256,14.707217,9.768971,17.988548,14.740163,9.797987,18.000062,4.516431,17.449255
10000000,20.862590,33.098127,45.417602,0.596047,0.596047,17.469581,7.781471,16.995294,16.737254,7.819944,17.009565,5.527385,20.735715
