element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,25.614583,51.432292,43.984625,0.507937,0.507937,12.230106,7.083350,11.885400,12.236277,7.099635,11.569788,3.825265,27.791667
110,25.125758,44.822727,44.007500,0.866142,0.866142,13.601119,6.689202,10.247063,13.560067,6.689500,10.217623,2.795892,27.651515
240,25.173611,49.103472,45.914042,0.469667,0.469667,12.638648,6.774973,14.941733,12.645833,6.775638,14.826731,4.409342,24.480556
500,25.639000,45.125667,46.719292,0.488759,0.488759,12.501917,6.517904,15.610560,12.502956,6.516181,15.569446,4.278615,30.472000
800,25.928750,39.097500,50.931000,0.782014,0.782014,13.562717,9.042554,14.592906,13.615135,8.532135,14.456731,3.172406,27.013750
1024,25.187174,43.260254,52.410750,0.500244,0.500244,13.631606,7.053650,17.031027,13.672110,7.066325,16.988537,4.350212,25.160156
1500,25.754667,41.842667,64.649916,0.732780,0.732780,15.596490,10.322737,17.104240,15.638031,10.541198,17.932237,3.337723,25.954000
2048,24.909180,45.050781,54.687667,0.500122,0.500122,15.997912,7.189296,18.695710,15.996019,7.213992,18.646781,4.242581,25.627767
3000,25.805556,40.351889,65.093459,0.732601,0.732601,17.135717,11.834485,19.320250,17.147371,12.863592,19.326796,3.292304,26.481333
6000,26.483806,49.143528,110.577167,0.732511,0.732511,17.667075,13.274327,21.204486,17.514260,13.223450,21.226823,3.367168,26.747722
8192,27.320862,61.730286,101.314667,0.500031,0.500031,17.081833,7.690231,20.441796,17.147185,7.629365,20.572910,4.384059,25.182088
12000,26.528347,49.935750,194.077875,0.732467,0.732467,18.054615,14.213852,22.726033,17.897246,14.179996,22.723429,3.503489,26.320611
16384,33.305705,57.772746,158.644166,0.500015,0.500015,17.632783,7.952946,21.442046,17.701927,8.035283,21.352933,5.180888,31.155070
25000,27.740553,43.531660,210.036958,0.762963,0.762963,18.811446,16.764523,25.116060,18.844885,16.385250,25.184619,3.667454,27.372787
32768,30.403341,52.024841,217.605875,0.500008,0.500008,19.159379,8.187400,22.707581,19.234317,8.204146,22.737790,5.792704,28.592010
45000,31.247841,47.124074,259.076666,0.686656,0.686656,20.124317,13.009519,25.002071,20.059710,13.020223,24.914440,4.356355,29.560800
60000,32.941783,57.870142,152.365791,0.457767,0.457767,23.446258,8.051400,24.973369,23.741210,8.062138,24.705808,6.465729,33.784494
100000,37.110140,49.137220,255.348709,0.762945,0.762945,35.191737,19.226694,34.186042,35.317248,19.248740,34.169583,3.879627,35.094030
150000,33.740462,55.768424,343.846750,0.572207,0.572207,49.978383,12.591863,39.216337,50.030335,12.263052,38.554350,5.505985,37.024909
200000,37.123612,51.968612,227.099083,0.762942,0.762942,55.185913,23.613804,44.420408,55.028444,23.767729,44.279321,4.005277,39.770485
300000,45.377083,64.592684,248.275417,0.572206,0.572206,65.230465,17.459073,47.617317,65.022658,17.345402,48.371706,5.677342,49.563056
400000,45.926215,61.848681,298.448333,0.762941,0.762941,72.186806,26.680812,55.820133,71.933608,26.754392,56.149860,4.207223,51.600730
600000,58.682755,76.639051,267.584410,0.572205,0.572205,101.327365,21.924431,70.442119,102.535073,21.812933,70.446973,5.725862,62.277292
800000,59.382725,72.487813,296.997969,0.762940,0.762940,111.717610,34.073723,81.156215,112.347473,34.117963,79.477083,4.223031,63.732257
1200000,70.000330,92.762292,283.661007,0.572205,0.572205,129.277492,31.320681,90.309269,129.041952,30.524708,87.915758,5.751513,72.499039
2200000,78.338674,111.322765,295.069507,0.524521,0.524521,142.858481,36.088173,97.877546,142.681492,36.426071,98.107427,6.274254,78.570171
3100000,79.499133,102.658132,324.355827,0.739098,0.739098,145.757425,46.384710,102.416877,146.615715,48.328100,103.330196,4.224418,80.086223
6000000,87.101049,115.104062,335.472906,0.715256,0.715256,157.985956,48.853204,110.107717,157.953985,48.763925,111.388229,4.451698,87.208917
10000000,97.883079,134.564812,337.140256,0.596047,0.596047,169.821142,48.194342,115.060442,169.414733,48.110019,115.268015,5.375800,99.277788
