element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,29.078125,49.692708,55.804708,0.507937,0.507937,13.037513,5.572123,9.925529,13.098992,5.615867,9.922646,4.702533,31.250000
110,25.821212,42.551515,55.328167,0.866142,0.866142,14.168835,6.031104,10.594962,14.130615,6.069069,10.395252,3.036938,72.727273
240,31.684722,54.659028,56.938875,0.469667,0.469667,13.551146,5.614808,9.916137,13.550673,5.810321,10.320808,5.224385,46.990278
500,33.625333,65.194333,57.479375,0.488759,0.488759,13.656087,6.606029,9.522840,13.591390,6.496479,9.673463,4.688579,72.555333
800,30.954583,46.979583,58.518166,0.782014,0.782014,16.811690,6.095300,11.115381,15.775571,6.345877,10.723817,3.324573,43.385417
1024,31.772461,55.562174,61.484958,0.500244,0.500244,17.410760,7.651848,11.832329,17.723654,7.574927,11.706675,4.664352,32.742188
1500,32.513778,51.828556,78.367583,0.732780,0.732780,23.929562,7.200417,12.651702,23.491008,6.978775,12.715848,3.777263,39.055556
2048,33.413411,58.983887,63.682000,0.500122,0.500122,26.512848,8.821360,14.017773,22.680587,8.800594,13.990673,4.755588,32.355632
3000,33.791778,51.335611,78.803000,0.732601,0.732601,26.900900,9.168940,18.255256,25.091029,9.211754,27.703173,3.603861,39.365778
6000,34.469889,57.144722,79.450583,0.732511,0.732511,28.170375,13.488567,26.375792,28.277702,13.539315,26.659708,3.579245,38.622722
8192,34.400960,65.828959,66.004375,0.500031,0.500031,30.227933,11.246660,26.831969,28.952985,11.260450,25.796950,4.875845,34.127116
12000,35.679986,56.105903,91.306750,0.732467,0.732467,30.634648,16.773106,30.218258,30.668558,16.690327,30.170546,4.050490,35.999972
16384,35.515656,66.120992,85.673875,0.500015,0.500015,30.880494,12.099563,29.100971,30.987377,12.197425,28.952106,5.568619,34.136454
25000,36.334720,55.485000,116.686625,0.762963,0.762963,32.711654,20.463606,33.831254,32.689102,20.827683,33.814460,3.763015,36.327773
32768,37.647034,66.901103,110.835667,0.500008,0.500008,34.579331,13.040277,31.382685,34.016848,13.025573,31.506692,6.041846,38.362712
45000,38.209726,59.555548,139.033167,0.686656,0.686656,39.386265,17.450492,33.776612,35.121746,17.412667,34.240967,4.822803,39.584881
60000,38.004864,72.874303,121.471459,0.457767,0.457767,39.301210,13.393321,37.693015,45.047138,13.316038,37.624483,6.715222,40.965978
100000,39.209583,59.158053,200.557292,0.762945,0.762945,52.287110,22.914300,46.989031,52.286321,23.734621,46.894633,4.129448,41.012637
150000,38.703520,68.216576,204.701542,0.572207,0.572207,58.800256,17.746686,48.952612,59.874406,16.704585,48.184192,5.738342,41.062687
200000,42.007570,64.248960,199.458500,0.762942,0.762942,62.348308,27.227010,51.091952,60.400608,25.537315,51.181354,4.278756,41.767568
300000,43.630369,71.686342,252.222709,0.572206,0.572206,84.653194,19.931000,59.077883,75.397829,19.916081,57.707802,5.884034,50.701343
400000,45.252327,66.576805,270.649667,0.762941,0.762941,82.843331,28.333614,63.351225,84.400225,29.700108,62.642790,4.313444,51.311597
600000,55.847431,84.769352,244.795486,0.572205,0.572205,110.510529,23.109729,76.559346,107.279308,21.675625,78.377900,5.773419,61.043079
800000,56.317343,77.605972,290.308594,0.762940,0.762940,116.785485,33.456235,86.819219,117.890442,34.099769,86.662408,3.893967,62.051302
1200000,65.500382,97.775608,284.491667,0.572205,0.572205,129.815165,29.276677,93.703229,128.933779,31.025283,92.700117,5.821883,70.128993
2200000,73.648400,115.218182,268.972500,0.524521,0.524521,140.425546,34.225550,102.850448,140.781202,34.793940,101.775504,6.303394,74.397481
3100000,76.784335,103.280296,302.939496,0.739098,0.739098,143.784892,42.775504,104.082552,142.670456,42.925621,104.445908,4.535868,74.692047
6000000,79.197806,114.261698,309.004743,0.715256,0.715256,153.639642,44.476046,109.993021,154.068475,44.450858,110.744333,4.314818,80.591586
10000000,90.426771,133.675531,320.052119,0.596047,0.596047,167.567177,43.590554,117.206327,165.124608,43.598337,117.173140,5.714988,91.310740
