element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,11.494792,33.197917,31.964209,0.507937,0.507937,9.641546,4.392748,7.218475,9.644987,4.395788,7.213973,5.040575,9.541667
110,12.183333,24.621212,32.531416,0.866142,0.866142,9.695775,5.620637,7.390979,9.678648,5.611215,7.392796,2.887885,10.106061
240,12.586111,34.664583,33.206000,0.469667,0.469667,10.148373,4.533583,6.978690,10.064787,4.422525,6.978806,4.679096,11.400000
500,14.763333,32.125000,33.675125,0.488759,0.488759,10.465602,4.991142,6.881744,9.964233,4.893829,6.881754,4.941715,12.138667
800,12.187292,25.555417,32.293500,0.782014,0.782014,12.304173,4.923177,7.106850,11.114981,4.867423,7.088533,3.148188,14.149583
1024,13.529460,30.090169,34.122625,0.500244,0.500244,14.374386,5.049108,6.923692,16.347329,4.686838,6.836204,4.900758,12.492188
1500,12.541778,28.625111,45.590542,0.732780,0.732780,18.318181,6.034838,7.196660,13.598923,5.297869,9.282544,3.516922,13.823778
2048,14.173665,35.451253,34.846917,0.500122,0.500122,17.925879,6.053379,9.141906,20.289496,5.950681,8.876985,4.745216,14.370280
3000,12.773167,28.594944,46.571292,0.732601,0.732601,23.634383,11.508442,21.907054,25.174854,7.724727,11.704487,3.513672,14.217556
6000,13.600694,36.961833,47.180334,0.732511,0.732511,28.239119,13.916871,26.325600,28.107956,13.891167,26.101396,3.591071,14.090278
8192,12.867391,40.780823,35.320333,0.500031,0.500031,29.342208,9.210062,21.255165,28.783060,9.250873,24.140552,4.860585,13.386963
12000,13.610542,31.610528,47.425250,0.732467,0.732467,29.982729,14.881260,27.417890,29.091629,14.942525,27.490790,3.634621,14.428250
16384,13.609151,41.835378,35.639041,0.500015,0.500015,29.298708,9.715458,25.428602,29.043173,9.680646,25.582683,5.645477,13.136108
25000,14.267787,33.481940,52.488375,0.762963,0.762963,30.521931,16.902475,28.983210,30.593300,16.967744,29.012352,3.913385,14.642787
32768,15.019735,42.204330,36.527708,0.500008,0.500008,30.634046,9.748498,26.012990,30.680669,9.761952,26.038463,5.895158,15.236745
45000,15.087504,35.382404,44.469291,0.686656,0.686656,31.139713,13.336423,28.509460,31.577225,13.386596,27.953340,4.740071,16.385185
60000,15.501739,43.517939,37.111917,0.457767,0.457767,32.279465,9.718000,27.962733,32.517242,9.722994,27.986804,6.519438,15.396767
100000,16.168193,33.746110,56.543500,0.762945,0.762945,33.304083,17.939325,32.070571,33.967273,18.026412,31.811402,4.217754,16.498477
150000,13.583333,37.857131,46.363292,0.572207,0.572207,37.149850,11.229527,31.732227,36.799594,11.220121,31.919852,5.676973,13.754442
200000,14.926180,31.737152,67.286458,0.762942,0.762942,39.953446,18.939300,36.743229,38.728900,18.968113,36.752275,4.154529,15.198470
300000,17.333193,37.765556,54.470083,0.572206,0.572206,42.919533,11.607306,37.103152,43.821004,11.625885,37.082446,5.771864,14.774352
400000,16.473784,33.147014,72.968375,0.762941,0.762941,44.358473,19.493910,41.182098,45.216785,19.508179,41.157498,4.310790,16.113889
600000,19.467547,39.932314,64.893923,0.572205,0.572205,49.029775,11.881092,40.446410,49.224900,11.878708,40.311885,5.811034,20.359907
800000,19.830382,35.523976,84.358516,0.762940,0.762940,50.923590,21.039729,45.597560,50.781267,20.044302,46.191575,4.265158,21.114931
1200000,24.663177,43.280278,80.112639,0.572205,0.572205,62.274440,12.467333,48.085360,62.405650,12.483810,54.615071,6.006536,25.754908
2200000,30.160322,47.636828,89.417415,0.524521,0.524521,73.034188,13.508669,54.443108,72.783485,13.562337,54.086663,6.310135,30.064047
3100000,30.379906,43.486848,102.759919,0.739098,0.739098,74.477421,21.122696,58.655458,74.772575,21.241121,58.062085,4.507425,31.210058
6000000,34.015753,47.179146,108.532281,0.715256,0.715256,81.288646,22.077202,61.324888,81.335027,22.084658,61.420871,4.713957,33.566542
10000000,40.317573,55.380258,106.001296,0.596047,0.596047,88.781900,18.772500,62.423223,88.794073,18.744352,63.181398,5.721627,39.954282
