element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,12.802083,34.067708,32.302375,0.507937,0.507937,9.462981,4.558033,7.129029,9.450225,4.561852,7.130656,4.079237,11.291667
110,14.018182,31.943939,32.706125,0.866142,0.866142,9.556615,5.421208,7.236558,9.712488,5.419671,7.240281,2.623563,14.018182
240,13.338194,35.155556,33.949000,0.469667,0.469667,9.816744,4.523048,6.835121,9.821223,4.497279,6.834321,4.353607,12.559722
500,17.750333,35.070000,33.887167,0.488759,0.488759,10.097104,5.715312,6.802348,9.685106,5.178783,6.799565,4.429350,14.611333
800,14.183958,27.838750,32.967250,0.782014,0.782014,10.858260,5.263708,7.040311,10.286171,5.088060,7.017429,3.067348,15.416667
1024,13.868490,31.161784,34.754084,0.500244,0.500244,10.391404,5.369390,6.881681,11.381027,5.294365,6.939008,4.274448,14.349935
1500,14.213111,30.157556,46.445125,0.732780,0.732780,12.102833,6.675996,7.380544,12.375969,6.456360,7.291942,3.360378,15.074222
2048,17.144043,37.479085,35.886417,0.500122,0.500122,15.052575,5.958931,9.028469,15.743027,5.777469,11.305950,4.298218,14.377116
3000,14.562389,28.817167,47.369917,0.732601,0.732601,24.745400,13.316769,21.919310,23.331071,13.174871,21.734631,3.416852,15.634222
6000,15.001139,40.223389,48.082750,0.732511,0.732511,25.796460,14.572754,26.212100,27.265563,14.639587,26.007244,3.391493,15.743111
8192,14.613688,44.192851,36.621875,0.500031,0.500031,25.772575,9.519592,23.917712,28.108673,9.535344,23.681394,4.323771,14.612874
12000,15.192097,34.962958,48.261542,0.732467,0.732467,29.314833,13.813913,26.907054,29.246460,13.871875,26.797060,3.528124,15.430528
16384,14.702281,45.825551,36.471500,0.500015,0.500015,28.592867,9.385156,25.370327,28.446321,9.370373,25.103296,5.373812,14.657756
25000,15.779993,32.143053,53.014834,0.762963,0.762963,30.408146,16.416100,27.937350,30.265558,16.302604,27.891346,3.658644,15.921093
32768,16.752243,41.626612,38.291125,0.500008,0.500008,30.532985,9.783896,25.755342,30.568160,9.908367,26.275165,5.815975,16.845276
45000,16.940896,35.452315,45.117417,0.686656,0.686656,30.809694,13.231002,27.576481,30.852273,13.261985,27.697140,4.222432,16.920052
60000,17.221181,44.126614,37.853875,0.457767,0.457767,32.033094,9.596304,27.479669,32.103729,9.597998,27.654121,6.405734,17.036339
100000,18.002637,34.658337,57.263542,0.762945,0.762945,33.043123,17.773015,31.491894,33.057254,17.720979,31.499300,3.742115,17.594307
150000,15.283796,38.138240,47.558250,0.572207,0.572207,36.842533,11.148908,31.441125,37.048752,11.177346,31.453160,5.484878,15.414909
200000,16.588195,34.046942,64.074042,0.762942,0.762942,38.416873,18.814737,36.297104,38.524104,18.820896,36.275642,3.841337,16.743265
300000,19.416019,39.803981,55.497125,0.572206,0.572206,43.877631,11.629175,36.700725,43.270500,11.603177,36.140256,5.562662,17.789121
400000,18.416423,35.230417,74.381333,0.762941,0.762941,44.983971,19.681238,40.651400,44.068629,19.581060,40.541990,4.100638,18.075069
600000,23.092384,43.834629,65.151875,0.572205,0.572205,49.229213,11.828821,39.991460,48.623765,11.810981,39.913917,5.714596,23.367569
800000,23.625122,37.656371,89.601797,0.762940,0.762940,50.336467,20.093575,44.821369,50.728892,20.153710,44.940790,4.045919,24.722152
1200000,29.137205,45.769479,82.197413,0.572205,0.572205,62.273250,12.698392,48.495038,61.675400,12.541135,47.901106,5.746567,29.615278
2200000,34.023968,50.870777,90.149072,0.524521,0.524521,71.885275,13.594306,54.135021,71.778825,13.525919,53.867575,6.099843,34.797892
3100000,34.671633,46.971667,104.245511,0.739098,0.739098,73.607210,21.258246,58.207529,73.942048,21.327019,58.089773,4.078752,34.967446
6000000,38.127191,51.683799,109.433990,0.715256,0.715256,80.983362,22.260423,61.167458,81.122427,22.315375,61.038486,4.422573,38.227391
10000000,45.570000,60.658115,107.607125,0.596047,0.596047,88.557621,18.975292,62.216442,88.238827,19.012760,62.255198,5.535635,45.452247
