element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,28.213542,50.557292,51.045125,0.507937,0.507937,14.691450,5.451244,8.964633,14.672421,5.448817,8.962485,4.249971,61.197917
110,29.548485,49.053030,51.230417,0.866142,0.866142,15.379158,6.258427,10.417665,15.327044,6.247063,10.407875,2.758560,36.366667
240,28.761111,51.418750,52.006541,0.469667,0.469667,14.355963,5.631617,9.589887,14.243133,5.624356,9.588323,4.531076,57.234722
500,33.556000,54.847000,55.044000,0.488759,0.488759,16.122702,5.785552,10.563673,14.981162,5.423835,10.164175,4.413856,29.472000
800,30.512083,47.109583,55.986625,0.782014,0.782014,15.646810,6.080098,9.886106,16.764217,6.542908,10.701715,3.214615,37.291250
1024,32.931966,55.792806,55.512708,0.500244,0.500244,19.865700,6.705927,11.481904,19.772792,6.454698,11.297535,4.286260,37.597656
1500,31.518444,49.069556,72.054209,0.732780,0.732780,23.925271,7.163271,12.459252,25.311712,7.222912,12.790646,3.413771,35.786889
2048,30.449788,53.565104,58.031750,0.500122,0.500122,27.169779,7.325885,15.693344,27.247552,8.358067,17.993444,4.459431,34.206868
3000,30.926000,47.231444,75.266958,0.732601,0.732601,30.780265,13.230131,19.845717,32.460690,13.428296,24.365371,3.462314,32.814889
6000,30.445583,47.297444,90.429042,0.732511,0.732511,34.487850,16.165350,27.244688,34.441748,15.849658,29.602146,3.477579,33.018556
8192,31.117737,64.463298,81.478833,0.500031,0.500031,36.262727,11.175562,27.235790,36.687344,11.322069,28.633183,4.609194,32.643636
12000,30.955431,49.006347,108.150500,0.732467,0.732467,37.937463,16.174579,31.351183,37.546896,17.675885,31.478881,3.520052,30.968778
16384,30.839701,59.840302,102.149875,0.500015,0.500015,38.584727,12.148919,30.655206,38.525485,12.174185,30.339483,5.341893,33.922831
25000,32.193067,51.173333,148.310792,0.762963,0.762963,39.852677,19.342171,34.673356,40.035258,19.287740,34.819254,3.673700,32.981107
32768,31.026627,61.013326,157.315834,0.500008,0.500008,40.828244,12.912765,33.112056,40.478408,12.950567,32.678200,5.822381,34.415354
45000,31.483489,52.257252,213.644750,0.686656,0.686656,41.684004,16.326827,35.153298,42.670727,16.248079,34.526036,4.377988,36.099689
60000,30.731481,62.942247,212.113792,0.457767,0.457767,43.426581,12.862712,34.645152,42.425831,12.792260,34.795675,6.391710,34.653244
100000,33.038057,52.016107,249.153167,0.762945,0.762945,44.693758,20.629325,39.993650,46.585429,20.511748,39.191781,3.745904,33.202640
150000,33.708149,58.042687,235.878458,0.572207,0.572207,52.533921,14.202998,42.906821,51.543312,14.192590,43.395238,5.640141,34.827682
200000,35.362778,53.801875,459.083750,0.762942,0.762942,57.220283,21.752579,48.719748,56.500956,21.360204,48.497350,3.823323,36.152360
300000,35.959537,64.667917,234.383500,0.572206,0.572206,67.476956,15.246575,50.905608,67.717215,15.234681,51.117012,5.648557,37.381713
400000,37.412153,59.187222,244.528833,0.762941,0.762941,69.663438,23.404648,55.973073,70.021185,23.452683,56.175177,3.922373,39.479548
600000,39.593936,70.883473,200.605729,0.572205,0.572205,83.494900,16.490040,60.676262,82.280719,16.611048,59.783629,5.541467,42.787176
800000,41.366840,64.775313,229.904427,0.762940,0.762940,88.567842,24.929544,66.534823,88.129842,24.780865,66.860171,4.050923,42.756615
1200000,50.065677,78.477274,210.020729,0.572205,0.572205,112.665652,19.450231,77.776948,112.776094,19.252312,76.754858,5.591975,49.636586
2200000,58.366298,95.444138,231.828580,0.524521,0.524521,142.167446,21.358538,92.341265,140.539538,21.456852,92.924396,6.209977,60.313087
3100000,63.704684,91.705081,263.058784,0.739098,0.739098,143.379179,31.917417,98.237089,143.746304,31.986202,98.058021,4.063539,62.388150
6000000,76.970531,106.979788,283.170497,0.715256,0.715256,165.604485,33.706973,108.510467,167.167050,34.098188,108.474942,4.348731,73.226537
10000000,83.028408,122.652196,280.230583,0.596047,0.596047,184.371888,29.991431,114.748558,184.688415,30.327786,113.684515,5.378742,81.181094
