element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,25.619792,47.098958,43.934500,0.507937,0.507937,9.482906,4.731694,7.106877,9.442892,4.852458,7.167383,4.025571,58.156250
110,27.713636,49.115152,44.068542,0.866142,0.866142,9.469558,5.638769,7.242254,9.498154,5.640575,7.240694,2.745917,27.272727
240,25.028472,46.065278,44.930583,0.469667,0.469667,10.003419,4.769852,6.771194,9.698148,4.873694,6.775525,4.571780,31.423611
500,24.985667,46.513667,45.189458,0.488759,0.488759,10.341663,5.312533,6.903900,10.355719,4.879712,6.737210,4.500217,24.610667
800,27.074792,40.225000,47.158666,0.782014,0.782014,11.875437,6.367252,7.154321,10.957463,6.575669,7.342058,3.208777,27.551667
1024,25.784017,48.801270,49.207458,0.500244,0.500244,17.093177,5.605544,8.001479,16.724277,5.657331,7.229615,4.363693,30.233073
1500,26.551000,40.620333,62.473125,0.732780,0.732780,13.979731,6.279235,8.136575,18.405181,7.983202,10.864065,3.413952,28.287111
2048,25.329590,44.467529,48.958500,0.500122,0.500122,22.004488,7.165781,15.149704,21.539333,7.017448,16.757929,4.438186,26.916504
3000,26.088056,40.520889,68.889458,0.732601,0.732601,24.680723,9.727200,14.362369,24.011883,11.122323,21.666102,3.359088,27.462889
6000,26.270833,39.748806,78.106708,0.732511,0.732511,27.360817,13.393815,25.042063,29.399071,12.955879,26.113575,3.564502,27.685167
8192,25.880615,54.932475,54.555708,0.500031,0.500031,31.069846,9.535156,23.954910,30.682898,9.257198,25.105054,4.538017,29.013713
12000,28.464125,42.088542,84.727375,0.732467,0.732467,30.024848,15.017400,26.630848,30.164864,15.028783,28.552031,3.618074,25.994194
16384,25.666138,48.235138,68.703125,0.500015,0.500015,31.874881,9.372406,26.073819,31.744402,9.330735,26.726198,5.402201,28.205037
25000,27.268053,44.032780,128.449042,0.762963,0.762963,33.043456,16.266373,29.443344,33.201790,16.417985,29.780681,3.612702,29.798347
32768,26.269913,49.412409,101.021208,0.500008,0.500008,33.029273,9.807965,27.566973,33.255786,9.814054,27.733006,5.735771,27.339508
45000,26.727467,43.773144,127.269959,0.686656,0.686656,33.947065,13.334660,29.563619,33.705133,13.463402,29.417690,4.233063,29.300622
60000,26.464347,52.938306,132.873292,0.457767,0.457767,39.904983,10.481136,29.351325,34.265379,9.984873,29.118281,6.434984,28.583328
100000,28.795280,43.588057,219.161333,0.762945,0.762945,35.900790,17.656729,33.574750,35.854361,17.730046,33.719715,3.747333,31.317777
150000,28.424907,48.300833,210.626375,0.572207,0.572207,38.721517,11.295794,33.558417,38.178327,11.349244,33.459248,5.640954,28.691669
200000,29.373123,46.186598,475.926708,0.762942,0.762942,43.964050,18.600313,40.804448,44.584717,18.559767,40.330283,3.984637,29.547500
300000,30.920972,53.188379,522.035792,0.572206,0.572206,51.367365,12.433304,41.435358,51.385679,12.450594,41.150256,5.668103,32.095326
400000,32.796701,52.050938,207.691583,0.762941,0.762941,52.970308,20.058769,46.675152,52.950733,20.207369,46.357571,4.100173,33.551737
600000,34.095371,59.559792,213.047222,0.572205,0.572205,63.014208,13.491752,49.787056,62.936133,13.320210,49.990008,5.711189,36.532107
800000,36.380156,54.387622,212.727526,0.762940,0.762940,68.656800,22.027892,56.006815,67.886615,21.722319,56.855048,4.015679,36.718646
1200000,45.082777,70.372865,202.470330,0.572205,0.572205,84.578335,15.754327,63.187367,85.733188,16.734490,62.742721,5.726632,48.095451
2200000,56.136506,86.938438,221.898494,0.524521,0.524521,104.873656,17.261919,73.952210,106.508508,17.148673,74.088248,6.224386,57.667613
3100000,59.045296,82.404617,248.715806,0.739098,0.739098,108.528740,26.924652,79.230563,108.490615,26.918500,79.906877,4.332356,58.423853
6000000,73.360646,95.986743,270.793795,0.715256,0.715256,124.428229,27.777331,86.160081,122.816660,27.710604,86.120952,4.285601,67.966998
10000000,80.025958,115.852590,278.964275,0.596047,0.596047,137.302938,23.684402,91.552821,137.345371,23.597669,91.545327,5.396648,80.403501
