element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,15.411458,32.765625,25.848250,0.507937,0.507937,2.228160,1.642160,1.880027,2.228067,1.646281,1.882710,5.047190,16.927083
110,17.612121,33.206061,26.658541,0.866142,0.866142,2.648873,2.228379,2.057767,2.633567,2.230179,2.057827,2.972737,16.033333
240,16.059722,35.272222,27.145125,0.469667,0.469667,2.693219,2.063185,1.880087,2.693396,2.057342,1.882187,4.935500,15.219444
500,18.222000,32.638667,27.725125,0.488759,0.488759,2.642783,2.100256,1.894671,2.641923,2.087798,1.893335,4.190756,15.305333
800,16.354167,29.010625,26.608958,0.782014,0.782014,2.730852,1.863975,2.016967,2.685196,1.863404,2.017256,3.223640,16.215000
1024,15.787760,35.101888,28.938750,0.500244,0.500244,2.697490,1.949906,1.930062,2.702411,1.926127,1.928981,3.976583,15.529948
1500,18.518444,30.953778,39.681958,0.732780,0.732780,2.744615,2.205192,2.039150,2.721750,1.980342,2.037821,3.382685,19.009333
2048,17.917236,34.667887,30.950833,0.500122,0.500122,2.538981,2.099073,1.927987,2.523467,2.072710,1.898848,4.343825,15.814941
3000,17.062500,29.416611,40.435167,0.732601,0.732601,2.965810,3.777527,2.364833,2.960179,3.620906,2.461431,3.560339,17.717556
6000,17.145806,28.096083,43.102333,0.732511,0.732511,2.903046,5.513290,7.610938,2.976354,5.407083,7.002877,3.557007,16.886556
8192,15.943746,31.838298,29.637417,0.500031,0.500031,2.540931,2.310785,7.424777,2.540940,2.308360,7.268983,4.863638,16.060710
12000,16.444458,26.384833,48.363000,0.732467,0.732467,2.859910,5.657394,9.695015,2.865035,5.665031,9.358225,3.749700,16.314806
16384,16.044179,35.362671,32.578542,0.500015,0.500015,2.617840,2.333327,6.574696,2.632469,2.332790,7.517213,5.896356,15.919983
25000,17.267780,26.973887,57.760417,0.762963,0.762963,3.152894,7.687112,11.512458,3.155362,7.677733,11.224246,3.702083,16.823320
32768,16.644155,32.921900,43.790125,0.500008,0.500008,2.829265,2.375485,8.382644,2.822446,2.372910,7.913079,6.259094,17.352631
45000,16.948148,27.396293,90.886041,0.686656,0.686656,3.137806,5.091446,10.171798,3.138006,4.954433,10.206396,4.739222,18.026548
60000,16.593172,32.345481,78.689667,0.457767,0.457767,3.040171,2.353035,8.857710,3.038642,2.352319,9.003787,6.800393,18.982178
100000,17.865973,27.709863,123.845208,0.762945,0.762945,3.605781,7.881319,12.342304,3.599448,7.881544,12.326698,4.190998,19.778050
150000,18.591944,34.548793,56.218292,0.572207,0.572207,3.355975,3.459158,10.082125,3.352533,3.462369,10.078142,5.961314,20.726576
200000,19.636180,30.552292,61.661250,0.762942,0.762942,4.022458,8.592667,12.815963,3.906329,8.594017,12.808921,4.520319,21.422432
300000,20.209398,34.193241,60.577250,0.572206,0.572206,5.441662,3.771604,10.691860,5.659796,3.774646,10.640954,5.931296,21.832500
400000,20.673715,31.102743,76.086041,0.762941,0.762941,6.842373,9.129077,14.150956,7.176942,9.135502,14.147063,3.895437,22.811389
600000,23.387084,36.427593,85.480034,0.572205,0.572205,10.684067,4.860169,12.261367,10.783046,4.866375,12.275410,5.821240,24.073588
800000,24.215452,34.148576,102.766459,0.762940,0.762940,11.616988,9.562846,15.824860,11.833546,9.818237,15.890754,4.339096,27.349427
1200000,31.023628,40.989306,127.238090,0.572205,0.572205,14.162708,5.337688,14.358319,13.789390,5.346298,14.376504,5.980760,32.621875
2200000,40.969924,50.393542,171.001581,0.524521,0.524521,20.332760,6.528592,18.149683,20.141036,6.461010,18.170429,6.297011,45.274539
3100000,42.068898,49.115343,194.974462,0.739098,0.739098,21.598929,12.004596,22.136856,21.528206,12.057058,22.189792,4.496087,46.055694
6000000,52.512906,61.127417,215.984465,0.715256,0.715256,25.514633,12.870565,24.039013,25.642065,12.772200,24.017658,4.302186,58.270259
10000000,60.480450,73.895663,312.271658,0.596047,0.596047,28.665265,10.891656,24.515596,28.640273,10.857033,24.401125,5.717994,70.253835
