element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,16.281250,39.276042,25.161791,0.507937,0.507937,1.679565,1.432727,1.494579,1.693404,1.430917,1.507979,3.974685,33.416667
110,16.665152,28.601515,25.168542,0.866142,0.866142,2.027548,2.763183,2.306973,2.024246,2.757100,2.302715,3.120640,16.666667
240,14.871528,36.892361,26.277166,0.469667,0.469667,1.741904,1.790327,1.548340,1.763758,1.631704,1.533217,4.607805,18.113889
500,14.889333,33.027667,26.183583,0.488759,0.488759,1.913535,1.566631,1.513502,1.946217,1.651565,1.531340,4.494627,16.222667
800,16.250208,27.404792,24.979417,0.782014,0.782014,1.998281,2.013804,1.892767,1.960998,2.026952,1.889221,3.129671,16.075833
1024,14.811523,31.446615,27.979958,0.500244,0.500244,1.832598,1.682198,1.503365,1.827096,1.682238,1.502902,4.279546,14.824544
1500,17.379556,28.773333,38.579791,0.732780,0.732780,2.202177,2.005565,1.880954,2.187885,2.006521,1.915158,3.468385,20.194667
2048,15.960693,30.866781,34.319458,0.500122,0.500122,2.000548,1.843825,1.582067,1.850646,1.846844,1.645840,4.471049,26.957357
3000,16.159833,26.798556,40.379959,0.732601,0.732601,2.419906,2.394592,1.853729,2.322423,2.179615,1.906154,3.463037,20.310222
6000,17.179389,27.652778,40.825917,0.732511,0.732511,2.361467,3.000619,2.665142,2.463444,3.176183,3.514067,3.557661,19.499944
8192,16.098857,33.819397,32.029833,0.500031,0.500031,2.173304,1.927458,4.364752,2.179521,1.917250,4.010027,4.345943,20.692586
12000,16.641806,27.399319,46.237209,0.732467,0.732467,2.523262,4.870465,6.188556,2.512594,4.693915,7.124333,3.704043,17.863444
16384,16.819417,33.746501,31.679666,0.500015,0.500015,2.388867,1.969256,6.409767,2.307248,1.950794,6.554365,5.401751,17.571330
25000,17.604160,32.213893,51.610291,0.762963,0.762963,2.872362,7.043529,10.206640,2.944998,6.962121,9.978967,3.548571,19.474453
32768,16.762207,31.669195,67.602958,0.500008,0.500008,2.554946,2.058810,7.092652,2.487206,2.057198,6.891356,5.938855,22.018850
45000,17.116200,29.016978,98.090542,0.686656,0.686656,2.880927,4.375492,8.779265,2.854621,4.275887,8.787300,4.221931,17.962348
60000,16.348261,35.631244,85.358250,0.457767,0.457767,2.661506,2.049167,7.525298,2.651517,2.018617,7.432287,6.585196,19.550694
100000,18.673197,28.725000,136.075625,0.762945,0.762945,3.457917,8.261340,11.334977,3.436906,8.052448,11.111031,3.874279,21.489443
150000,18.518704,31.524076,56.465041,0.572207,0.572207,3.172806,3.076213,8.493694,3.145840,3.146319,8.519700,5.638555,21.913796
200000,19.358127,29.364513,69.501000,0.762942,0.762942,3.902140,8.674723,11.891796,3.848038,8.811490,12.191917,3.932904,21.692778
300000,19.510971,33.128610,61.769041,0.572206,0.572206,5.207721,3.869067,10.320075,5.788548,3.312625,9.078912,5.711905,22.014677
400000,20.842917,30.449306,88.610750,0.762941,0.762941,6.334296,8.852842,12.948896,6.420994,8.885254,13.221569,4.062708,21.354792
600000,31.167708,41.191343,133.540069,0.572205,0.572205,10.407179,4.489731,11.581281,11.953577,5.272040,11.645608,5.734018,34.057384
800000,30.404167,35.534740,109.697917,0.762940,0.762940,11.223429,9.192163,14.890435,11.179544,9.255667,14.925025,3.935783,25.534792
1200000,31.622569,42.482570,133.772726,0.572205,0.572205,14.587377,5.520383,14.259975,14.050019,5.231485,14.729081,5.777970,39.061505
2200000,53.200615,51.708210,241.186894,0.524521,0.524521,20.147025,7.059788,17.985708,20.251365,6.780058,18.088796,6.235786,45.569135
3100000,45.969731,53.831183,208.925786,0.739098,0.739098,21.059075,11.632846,20.986542,21.117775,11.723067,21.048200,4.105031,47.294507
6000000,61.775826,62.656431,225.869281,0.715256,0.715256,26.260121,12.391821,22.993417,25.013940,13.606642,23.471352,4.595990,62.633137
10000000,76.421442,86.005538,315.065517,0.596047,0.596047,29.794269,11.064789,24.198425,28.588829,10.649700,24.082339,5.434677,84.826436
