element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,41.020833,60.984375,67.122875,0.507937,0.507937,12.397183,6.010156,9.149187,12.389071,5.965229,9.153621,4.500829,48.614583
110,40.150000,57.766667,66.661000,0.866142,0.866142,13.493542,5.834065,9.631223,13.516027,5.530954,9.543754,2.892427,53.536364
240,41.868750,61.718750,70.893291,0.469667,0.469667,13.035298,5.946177,9.181556,13.041531,5.790088,9.206552,4.579195,49.943056
500,45.888667,65.375000,74.664500,0.488759,0.488759,12.873658,6.818148,9.220433,13.671437,6.599698,9.162123,4.359090,73.278000
800,44.783333,57.804167,73.601750,0.782014,0.782014,16.244000,6.548588,10.955429,16.288960,5.971021,9.625994,3.113358,56.284167
1024,43.721517,72.245280,76.065209,0.500244,0.500244,17.827688,7.280223,12.101556,17.101787,7.028940,11.921112,4.406252,61.333333
1500,46.124889,60.055667,91.906791,0.732780,0.732780,21.391408,6.820383,13.334383,22.020308,7.615598,13.076817,3.354359,48.648222
2048,45.142334,69.854736,78.754542,0.500122,0.500122,23.706973,8.303500,15.135773,24.885252,8.270200,14.082744,4.334629,50.808268
3000,46.428333,60.321778,98.104000,0.732601,0.732601,24.040556,9.526894,22.960269,23.518940,9.803625,22.906689,3.524307,54.342444
6000,46.222194,63.329861,116.982916,0.732511,0.732511,27.993560,13.967690,27.219887,26.944913,15.674402,25.986742,3.566697,50.713000
8192,46.401123,74.019531,120.427500,0.500031,0.500031,29.450475,9.945475,26.891346,29.399373,9.999579,26.924031,4.396306,50.393026
12000,46.858208,65.218167,172.301167,0.732467,0.732467,30.056719,15.939885,29.345481,30.739487,15.899981,29.473890,3.600351,59.369194
16384,46.710968,72.521637,182.587333,0.500015,0.500015,30.672173,10.763508,28.076456,30.453581,10.772175,28.609898,5.206957,49.440186
25000,47.360280,69.811387,219.119500,0.762963,0.762963,32.802150,18.545337,32.838704,33.284369,18.615825,32.779481,3.663823,54.748333
32768,47.024200,72.635437,234.130750,0.500008,0.500008,33.472844,11.204627,30.814915,33.666440,11.300329,30.660250,5.830341,49.995850
45000,47.535489,72.882252,372.778167,0.686656,0.686656,39.432329,15.701110,34.032815,36.869535,15.583140,34.270802,4.357085,59.032096
60000,46.562961,76.993750,377.869417,0.457767,0.457767,45.701523,11.423292,41.061269,50.779521,11.840825,40.902365,6.420875,55.147922
100000,49.143193,67.560277,547.071250,0.762945,0.762945,61.519021,22.091206,49.472829,58.638219,20.785883,49.296198,3.916767,59.496387
150000,51.136298,77.114353,413.609375,0.572207,0.572207,72.740456,17.608571,53.290231,70.783465,17.606533,52.581925,5.639428,60.927964
200000,51.986807,72.505070,318.408584,0.762942,0.762942,76.051765,26.050813,58.308735,73.552371,25.271612,56.022281,3.996023,57.118263
300000,56.741668,88.506530,390.704292,0.572206,0.572206,94.837408,20.961025,67.546775,92.409844,18.905619,70.164748,5.669842,66.431064
400000,58.853057,81.691110,375.300000,0.762941,0.762941,107.237764,30.062188,81.146748,109.946540,28.178992,75.348452,4.019208,66.873229
600000,64.511805,103.567130,360.254653,0.572205,0.572205,125.564185,25.232131,88.874502,125.380019,27.292965,90.278069,5.568985,73.524236
800000,66.164931,94.309063,402.836224,0.762940,0.762940,135.853392,37.252883,94.937175,131.976194,37.695275,95.701665,3.901996,71.665851
1200000,76.744740,120.848125,341.314201,0.572205,0.572205,152.445719,31.872442,108.388837,152.037100,32.307296,105.728019,5.612049,81.367187
2200000,88.103447,147.172822,359.523911,0.524521,0.524521,170.861748,35.793896,116.122181,169.527258,35.779635,115.941404,6.114614,92.549066
3100000,90.518475,132.362560,400.921062,0.739098,0.739098,173.053765,44.937046,121.099373,172.697033,45.285644,121.990444,4.083564,92.456380
6000000,108.823149,154.972003,428.312399,0.715256,0.715256,187.838033,46.420765,128.901963,190.013069,45.789773,128.231492,4.511887,103.820583
10000000,113.117388,175.360985,431.972635,0.596047,0.596047,197.983204,43.909015,133.996727,197.438119,44.126933,132.969273,5.501615,113.113125
