element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,6.088542,21.494792,18.201667,0.500000,0.500000,2.323065,3.102492,2.753458,2.324596,3.105673,2.754198,2.085546,8.250000
110,7.196970,26.703030,15.845166,0.429688,0.859375,2.543125,3.722779,2.958386,3.303731,3.987929,3.629081,2.007368,16.542424
240,5.411111,22.656944,17.137958,0.468750,0.468750,2.458485,3.170494,2.834656,2.456869,3.190427,2.836485,2.005359,4.919444
500,5.846333,18.805000,18.203792,0.488281,0.488281,2.467544,3.292929,2.858623,2.465823,3.289233,2.859498,2.008658,5.360667
800,9.088542,20.303750,40.473542,0.781250,0.781250,3.441440,4.641708,3.623702,3.486787,4.589702,3.797181,2.008683,10.555833
1024,6.537435,23.342773,19.046500,0.500000,0.500000,2.769290,3.615912,3.123200,2.735575,3.622352,2.919929,2.008306,8.029622
1500,8.356333,23.699111,36.136916,0.732422,0.732422,3.266733,5.408571,3.487998,3.622067,5.487613,3.505115,2.009575,12.564444
2048,6.581543,26.153564,19.490792,0.500000,0.500000,3.103148,3.703742,4.067460,3.151919,3.700490,3.865731,2.009060,8.965495
3000,11.229111,53.280167,36.691875,0.732422,0.732422,8.720975,6.380815,4.284383,3.410654,6.317408,4.266208,2.006993,14.624889
6000,13.525472,44.696778,37.894083,0.732422,0.732422,11.061594,6.550435,10.296965,10.962988,6.209923,10.045858,2.011029,14.942167
8192,8.989990,43.889384,21.320875,0.500000,0.500000,7.271252,3.706987,8.430281,7.168069,3.705554,8.230833,2.011178,10.455648
12000,15.870958,41.574042,39.512958,0.732422,0.732422,12.711385,7.705900,12.306431,14.952785,7.721473,12.236290,2.012248,16.407417
16384,10.721008,40.787160,22.236500,0.500000,0.500000,8.604506,3.847187,9.711944,8.589873,3.838577,9.624550,2.011790,11.919657
25000,19.400840,42.225287,45.022834,0.762939,0.762939,16.237546,8.922492,13.046271,15.356471,8.931973,13.164781,2.013415,19.881667
32768,12.937968,43.666835,23.482334,0.500000,0.500000,8.988050,3.920921,9.777742,8.543894,3.919271,10.301200,2.013007,13.321340
45000,17.421763,42.813885,39.995334,0.686646,0.686646,14.735360,6.725733,12.141498,14.690129,6.722375,12.013467,2.013417,17.937652
60000,12.676614,48.873264,24.935459,0.457764,0.457764,8.627156,3.674273,10.283127,8.395183,3.666360,10.269894,2.012880,13.058567
100000,20.308473,44.017913,59.244625,0.762939,0.762939,18.141846,10.007331,14.804902,18.188544,9.802442,14.857610,2.012929,20.717087
150000,14.348240,47.148889,37.098542,0.572205,0.572205,14.628058,5.082912,13.106598,14.687675,5.075613,13.093033,2.012146,17.608518
200000,22.113682,43.088263,71.964166,0.762939,0.762939,21.032473,10.100398,16.129779,21.162069,10.094217,16.130654,2.012996,19.318265
300000,19.985556,49.854491,46.856292,0.572205,0.572205,17.209296,6.976950,15.395938,17.151633,7.029529,15.342325,2.012023,19.797823
400000,24.591388,47.000347,92.540750,0.762939,0.762939,24.348483,10.986346,19.921038,25.063010,10.971631,19.914535,2.013306,25.083993
600000,21.606551,55.942361,59.927952,0.572205,0.572205,21.095944,9.408510,19.705735,20.909044,9.453275,19.645990,2.013966,22.029999
800000,27.635365,53.435538,114.772370,0.762939,0.762939,27.657983,13.269835,23.350873,27.604227,13.290263,23.384462,2.012781,28.749288
1200000,23.615104,59.734028,68.401337,0.572205,0.572205,25.436888,10.063569,22.487419,25.441475,10.038410,22.513802,2.012304,24.378055
2200000,27.462140,68.043835,70.549394,0.524521,0.524521,28.319750,12.950796,26.025087,28.322071,12.898442,25.909985,2.009458,27.995808
3100000,34.601505,64.129187,141.387863,0.739098,0.739098,35.556396,16.064463,28.666696,35.738829,16.092133,28.621042,2.012753,35.594597
6000000,41.497278,73.848990,156.749371,0.715256,0.715256,36.981019,18.938860,31.038117,36.952410,18.932675,31.027248,2.011972,40.743833
10000000,39.105712,82.503179,0.000000,0.596046,0.596046,32.787894,19.048539,30.990440,32.826352,18.983173,31.047827,2.013604,39.639353
