element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,6.296875,20.401042,16.650000,0.500000,0.500000,1.897265,2.341294,2.167854,1.899113,2.260306,2.081138,2.123679,6.510417
110,5.112121,27.965152,14.178042,0.429688,0.859375,1.774177,2.259033,2.011902,2.463213,2.553762,2.503779,2.011618,14.772727
240,4.889583,17.013194,15.696667,0.468750,0.468750,1.825794,2.260615,2.051817,1.824879,2.259113,2.052694,2.002169,4.398611
500,5.638667,17.875333,16.589542,0.488281,0.488281,1.926608,2.918725,2.100379,1.926577,2.907594,2.096837,2.008823,4.805333
800,9.939167,22.274375,38.751458,0.781250,0.781250,3.453865,3.348244,3.368994,3.446927,3.235806,3.349723,2.032910,14.184167
1024,6.754395,22.406413,17.625000,0.500000,0.500000,2.252965,3.176119,2.324871,2.240773,3.152915,2.315125,2.004727,7.473633
1500,8.111111,20.861222,33.856708,0.732422,0.732422,2.549219,3.180279,2.629042,2.550777,3.132188,2.621610,2.009877,11.694222
2048,5.957682,22.186198,17.950250,0.500000,0.500000,2.110385,2.727860,2.238648,2.097848,2.719512,2.247325,2.009464,7.832845
3000,8.937500,52.092667,34.783042,0.732422,0.732422,2.395771,3.652677,2.693106,2.362540,3.631683,2.771181,2.006304,11.643444
6000,11.585639,42.420111,35.942667,0.732422,0.732422,6.172635,4.449946,3.640367,6.091804,4.474577,7.408448,2.015343,13.807833
8192,8.403402,41.146179,19.546125,0.500000,0.500000,5.089323,2.839752,5.977138,2.967104,2.841706,5.514958,2.012379,9.446899
12000,14.032403,37.480903,37.268708,0.732422,0.732422,10.429690,4.859727,7.023633,10.028633,4.863196,6.987025,2.012733,14.548611
16384,9.726644,37.502309,20.343958,0.500000,0.500000,5.681717,2.982708,5.932233,4.587206,2.981352,7.291717,2.014558,10.550618
25000,17.793613,40.584447,42.964333,0.762939,0.762939,13.190275,7.194427,10.934690,12.883694,7.240665,10.848150,2.012290,19.037213
32768,12.394801,38.513179,21.552709,0.500000,0.500000,7.029552,3.152848,7.674744,7.306077,3.149933,8.150646,2.012312,12.510946
45000,16.360341,37.244137,38.026959,0.686646,0.686646,12.664731,5.574765,9.888104,12.319677,5.590669,10.149292,2.012917,16.332407
60000,11.634144,41.808911,22.521541,0.457764,0.457764,6.703638,3.002796,8.398360,6.673196,2.998010,8.279392,2.013039,11.872450
100000,19.080970,39.897083,56.996000,0.762939,0.762939,14.984498,7.971438,12.328008,15.266423,7.951083,12.102138,2.013508,18.893053
150000,14.049260,43.065464,35.649250,0.572205,0.572205,12.003654,4.170650,10.886723,11.997952,4.160185,10.894102,2.011760,16.592591
200000,20.792430,40.246945,70.131500,0.762939,0.762939,18.238908,8.315869,13.593962,18.232825,8.317229,13.618723,2.012383,18.187432
300000,18.732593,46.304908,44.786208,0.572205,0.572205,13.760627,5.388444,12.984577,14.340477,5.489623,13.005221,2.013578,19.105462
400000,23.447292,44.628160,89.861833,0.762939,0.762939,20.639760,9.064681,16.061342,20.550583,9.041777,16.241525,2.012635,23.598333
600000,20.633125,54.068611,56.734896,0.572205,0.572205,15.781321,7.592138,15.405065,15.801508,7.404890,15.376856,2.012188,21.165116
800000,26.655990,51.084548,110.624869,0.762939,0.762939,22.408138,10.746467,18.631071,22.559621,10.735871,18.422073,2.012933,26.926354
1200000,23.165104,58.223698,65.880382,0.572205,0.572205,18.988087,7.868140,17.427306,19.033556,8.301927,17.309527,2.011603,23.249804
2200000,26.032471,64.562955,67.849413,0.524521,0.524521,20.523321,10.190190,19.940939,20.514423,10.183471,19.847869,2.012456,26.747828
3100000,33.750262,61.545773,138.306895,0.739098,0.739098,28.430756,12.789140,22.590342,28.280692,12.812533,22.625981,2.012713,34.707168
6000000,41.069215,71.288069,150.513514,0.715256,0.715256,29.107925,14.998660,24.302760,29.164987,15.002133,24.228154,2.011818,39.106634
10000000,39.162163,80.106548,0.000000,0.596046,0.596046,24.233504,14.480169,23.670340,24.525423,14.543265,23.595598,2.013762,38.398629
