element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,13.239583,31.468750,40.797125,0.500000,0.500000,12.005504,6.241706,8.714398,12.046588,6.215260,8.742962,2.136019,62.937500
110,12.687879,41.539394,37.162250,0.429688,0.859375,12.251402,6.129533,9.367096,12.947683,6.367873,9.561656,2.035462,59.978788
240,12.499306,34.113889,40.409083,0.468750,0.468750,11.663527,6.212448,9.026954,11.662433,6.185450,9.042304,2.010136,27.720833
500,13.389000,33.097333,40.881041,0.488281,0.488281,11.992971,6.700646,9.275837,11.956958,6.519927,9.444171,2.066729,32.222667
800,18.454583,38.854375,69.025375,0.781250,0.781250,13.057706,8.136813,10.149515,12.942477,7.889000,10.399748,2.032227,30.347500
1024,15.780924,43.341634,42.137916,0.500000,0.500000,13.458565,6.947658,9.791044,14.087054,7.137756,9.440750,2.018587,23.857747
1500,20.407444,47.939778,66.269416,0.732422,0.732422,16.302627,11.694244,12.024608,17.805004,10.585558,15.005833,2.020191,31.398444
2048,15.879395,50.760824,42.752958,0.500000,0.500000,19.244148,9.370879,13.425163,18.388121,8.670108,14.422169,2.029826,22.250814
3000,22.002389,49.766222,66.846666,0.732422,0.732422,26.304958,13.925158,19.103708,26.520748,11.925650,18.919004,2.041735,28.851778
6000,24.326417,67.272000,68.608583,0.732422,0.732422,32.442298,15.593225,25.042594,32.192994,15.933106,24.376758,2.020127,28.604167
8192,19.793172,72.165629,46.028041,0.500000,0.500000,27.533594,11.671583,23.910633,27.254465,11.856219,22.948860,2.019534,23.047567
12000,25.771431,63.877333,67.411500,0.732422,0.732422,36.468094,16.569617,27.653642,35.974500,16.525785,27.883331,2.028701,28.567111
16384,20.727793,65.057953,46.584958,0.500000,0.500000,29.408838,12.513340,25.230146,28.805190,12.316662,25.437556,2.028386,24.315715
25000,28.193893,61.570833,75.285583,0.762939,0.762939,38.509317,18.998510,30.827954,38.839519,18.660677,30.859375,2.034283,30.229440
32768,20.911112,66.862956,47.837084,0.500000,0.500000,30.203031,12.764250,26.779129,30.015221,12.762167,26.539317,2.024220,24.708221
45000,25.694293,59.184259,66.082000,0.686646,0.686646,37.918225,16.353404,29.155931,38.343258,16.078317,28.993600,2.021413,28.773778
60000,22.624883,68.884028,49.145917,0.457764,0.457764,29.726390,12.422363,27.035767,29.338383,12.518979,27.125940,2.028730,25.265739
100000,29.322913,62.766527,88.315791,0.762939,0.762939,42.703046,19.349231,32.412142,42.059213,19.264908,32.379077,2.103702,30.310970
150000,28.113982,77.030462,72.323875,0.572205,0.572205,40.742798,13.649890,30.854869,39.031386,14.190862,31.993375,2.028767,27.781018
200000,31.049930,61.590972,98.259250,0.762939,0.762939,47.489660,20.249292,36.668523,48.445831,19.747742,36.266721,2.024523,32.776040
300000,30.124769,69.703981,99.044750,0.572205,0.572205,53.570606,15.563273,36.617958,50.142729,15.169367,38.881927,2.018835,29.340093
400000,33.058646,63.584618,137.147041,0.762939,0.762939,59.111473,21.422333,43.568392,58.372044,21.396248,43.072954,2.088502,32.795313
600000,31.028866,73.851551,127.931250,0.572205,0.572205,65.928619,19.516350,47.264977,64.909098,19.632102,46.585021,2.020525,33.646737
800000,39.149306,69.427917,175.362344,0.762939,0.762939,75.995337,25.755835,55.248979,74.583502,26.725981,56.212015,2.019352,41.563038
1200000,33.931754,79.908090,155.492570,0.572205,0.572205,91.448119,23.995406,61.396142,89.705063,22.432321,61.128467,2.029291,35.097789
2200000,42.353381,94.888873,173.445502,0.524521,0.524521,109.328971,30.203419,70.950031,106.651271,32.171283,70.891183,2.023002,45.334394
3100000,50.601425,92.586042,237.827211,0.739098,0.739098,120.101327,36.566352,77.443321,117.328871,36.286440,76.148665,2.025340,53.393943
6000000,58.215382,107.009889,229.155830,0.715256,0.715256,120.252452,43.085040,77.624996,121.376417,42.851760,78.330717,2.029898,59.845162
10000000,55.071104,115.029938,190.032783,0.596046,0.596046,120.434944,41.804819,78.426260,119.294377,41.433225,79.004267,2.014475,56.340660
