element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,9.552083,39.713542,19.016167,0.500000,0.500000,12.328087,4.847690,7.054294,12.196527,4.848302,7.052085,2.337469,9.552083
110,11.363636,39.836364,17.713875,0.429688,0.859375,12.643225,4.311265,7.342890,13.410196,5.382869,7.852565,2.350379,30.303030
240,12.124306,35.618750,18.309959,0.468750,0.468750,13.288373,4.716504,7.741504,13.297315,4.506340,7.693310,2.296413,11.343056
500,15.374667,36.000000,18.772333,0.488281,0.488281,13.231863,5.096890,8.458319,13.224321,4.987887,8.084769,2.451987,13.083333
800,14.730833,32.083542,23.212875,0.781250,0.781250,14.879660,6.497181,9.982717,14.884354,5.715246,9.026915,2.479556,17.829583
1024,15.530273,37.991048,19.377000,0.500000,0.500000,14.033615,6.878448,10.054898,14.030862,5.601390,9.499142,2.449756,13.603841
1500,14.810333,36.958222,23.030208,0.732422,0.732422,14.655708,6.348354,10.732321,14.650021,6.903387,10.754925,2.537575,18.361111
2048,14.428141,45.647542,20.459042,0.500000,0.500000,14.014546,7.823210,14.053404,14.179087,9.305706,14.158069,2.527990,18.018880
3000,16.502389,51.844833,24.857833,0.732422,0.732422,16.274898,8.909340,18.495431,16.288908,10.971987,15.427281,2.532998,18.805667
6000,17.752278,45.083306,25.625375,0.732422,0.732422,17.000475,12.319204,22.463556,17.064173,14.859802,21.741265,2.539238,18.766278
8192,13.294617,48.704386,21.458458,0.500000,0.500000,15.110210,14.439806,19.629269,15.104533,14.463213,20.239225,2.602053,14.044840
12000,19.554375,41.884861,26.362459,0.732422,0.732422,17.548069,15.459511,23.330569,17.552950,14.694310,24.402804,2.536807,18.865722
16384,14.416606,51.194926,21.626917,0.500000,0.500000,15.197504,14.270404,20.912006,15.182552,14.184502,20.712338,2.616351,18.820882
25000,18.873887,41.728613,27.332334,0.762939,0.762939,18.275048,15.188802,24.695638,18.160835,15.239504,24.752652,2.533831,19.178893
32768,15.900513,50.674438,22.502959,0.500000,0.500000,15.429298,14.623281,21.873898,15.420606,14.594256,21.649477,2.641107,16.209920
45000,19.366052,46.025000,27.168583,0.686646,0.686646,17.655533,15.539921,25.271319,17.911700,15.704519,24.704267,2.574397,21.324696
60000,16.410072,56.465853,23.319500,0.457764,0.457764,15.636458,14.229194,21.855404,15.333950,13.940142,21.952052,2.665190,16.487500
100000,22.082640,44.015693,32.574709,0.762939,0.762939,19.013975,16.396792,26.970935,19.035508,16.410581,27.121379,2.551854,21.404720
150000,17.271573,49.723796,37.470958,0.572205,0.572205,23.145675,18.586985,28.381931,23.003810,18.571000,28.332794,2.607500,18.378147
200000,21.381318,45.099445,44.113458,0.762939,0.762939,25.693327,19.992110,31.935356,26.015723,20.188552,31.828804,2.556906,22.649235
300000,24.173982,52.782686,48.525125,0.572205,0.572205,28.965937,21.205008,32.915542,28.842569,21.216477,32.911733,2.620914,21.704629
400000,26.702431,49.614375,55.662125,0.762939,0.762939,31.593994,23.352308,36.357465,31.658842,23.590975,36.247240,2.553385,26.496562
600000,27.270833,58.165625,64.187534,0.572205,0.572205,34.669519,24.679873,37.616556,36.133475,24.917575,37.839825,2.647392,29.780254
800000,32.387170,55.555417,72.997005,0.762939,0.762939,38.489975,27.326081,41.069204,38.601221,27.631188,41.293133,2.553490,33.877882
1200000,34.700712,65.149236,79.072952,0.572205,0.572205,48.185398,30.425206,46.686810,48.371598,30.712621,46.174363,2.608507,35.654838
2200000,37.665852,72.325890,84.653598,0.524521,0.524521,53.883888,33.457456,51.094675,53.824073,33.548467,51.279706,2.640515,38.225372
3100000,44.436620,68.793407,97.725753,0.739098,0.739098,59.646921,40.088017,58.227531,59.646115,40.044421,57.903706,2.546073,44.984404
6000000,47.146351,74.541743,100.201865,0.715256,0.715256,62.110304,41.317692,59.895042,62.062858,41.378123,59.416800,2.572455,47.533847
10000000,47.419900,82.493192,96.059690,0.596046,0.596046,60.418635,39.206910,57.768538,60.204929,38.911910,57.774525,2.597579,47.865496
