element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,10.630208,39.270833,23.738209,0.500000,0.500000,7.532325,4.623475,6.514415,7.531008,4.620312,6.519156,2.337475,9.114583
110,10.098485,38.131818,22.038666,0.429688,0.859375,7.456140,4.550902,6.275752,7.758031,5.151536,6.574198,2.331954,33.715152
240,12.065278,36.111111,23.068042,0.468750,0.468750,7.766560,4.430904,6.370135,7.761581,4.435510,6.373658,2.181033,11.920833
500,15.638667,37.000333,23.541625,0.488281,0.488281,9.147488,4.866283,6.401627,8.858275,4.697954,6.427415,2.341175,14.306000
800,14.462083,32.977500,27.398291,0.781250,0.781250,11.295081,5.271173,9.088958,9.008402,5.255777,8.129523,2.507163,20.781250
1024,15.889323,41.415690,23.850292,0.500000,0.500000,9.363133,4.695644,6.416750,11.752844,5.262356,6.445698,2.507197,16.655924
1500,15.588111,41.939889,27.407583,0.732422,0.732422,15.817085,7.536102,8.008637,15.632154,7.212073,15.046479,2.507404,21.712889
2048,15.302816,53.517660,25.223125,0.500000,0.500000,12.838631,7.742365,10.702677,15.889825,9.416702,17.232558,2.533786,17.429036
3000,18.435111,72.405111,29.142958,0.732422,0.732422,18.731108,12.222487,21.156633,18.435192,12.411560,21.296229,2.553501,22.768556
6000,21.583306,47.949111,30.133625,0.732422,0.732422,20.138898,16.239606,24.874756,20.079283,16.263908,25.203740,2.537753,21.678222
8192,17.431458,62.316081,26.283000,0.500000,0.500000,19.097146,16.335190,21.154435,19.025721,16.278333,21.224571,2.614145,17.898560
12000,21.786444,53.630208,30.827209,0.732422,0.732422,20.361302,17.044163,25.203848,21.032802,17.321908,25.245704,2.540213,21.374972
16384,17.973145,66.859772,26.612584,0.500000,0.500000,19.257831,16.807754,23.042565,19.156606,16.784335,23.128025,2.627915,17.700195
25000,22.170560,50.520827,31.566791,0.762939,0.762939,21.710317,17.409769,27.149748,21.714581,17.382685,27.292600,2.534979,22.067773
32768,20.419022,62.806020,27.550000,0.500000,0.500000,19.801740,17.194669,23.970610,19.833862,17.233112,24.034442,2.641271,21.143168
45000,22.755863,51.986115,32.061792,0.686646,0.686646,21.498121,17.859121,27.093985,21.503923,17.795702,27.114079,2.573789,22.533326
60000,20.047806,62.886692,28.601334,0.457764,0.457764,19.775860,16.877904,24.562473,19.854183,16.704056,24.951940,2.686440,19.734028
100000,24.761387,52.438330,36.433875,0.762939,0.762939,22.799898,19.054704,29.070071,22.680877,18.556365,29.045829,2.532944,24.646530
150000,20.839538,57.194816,41.920417,0.572205,0.572205,24.703490,20.556035,30.648358,24.591250,20.581069,30.293879,2.627655,21.244818
200000,24.792083,52.902987,47.755500,0.762939,0.762939,27.338102,22.185200,35.202873,27.362596,22.329744,35.188060,2.553044,25.407430
300000,27.146111,61.981850,51.545250,0.572205,0.572205,28.983577,23.612856,35.188054,28.950121,23.555037,35.032727,2.619104,24.199770
400000,29.877187,56.776562,58.555834,0.762939,0.762939,31.692471,25.578996,39.213060,31.677944,25.556710,39.179969,2.541140,29.343193
600000,30.574098,66.601782,67.739097,0.572205,0.572205,34.170575,26.664831,38.841290,33.955719,26.736773,38.925658,2.617216,31.311227
800000,35.178385,63.293091,74.913803,0.762939,0.762939,36.766983,29.145496,43.506269,36.782015,29.459235,43.562785,2.555235,36.246910
1200000,37.386788,73.344965,80.269271,0.572205,0.572205,43.751544,32.463179,47.127865,43.714908,32.366879,47.253133,2.610558,37.619028
2200000,40.746970,82.332566,86.161837,0.524521,0.524521,48.197858,34.316835,50.453344,48.258658,34.257365,50.474356,2.636669,41.074495
3100000,48.251196,77.728844,98.386976,0.739098,0.739098,53.543319,40.407229,57.431896,53.567017,40.446746,57.492398,2.565566,48.545166
6000000,50.889889,85.079750,104.151497,0.715256,0.715256,55.752217,41.794908,59.137052,55.743783,41.747144,59.109694,2.553101,51.367428
10000000,51.515021,92.600954,97.702394,0.596046,0.596046,53.967171,39.839452,56.873206,53.955312,39.881254,56.833787,2.626154,51.517004
