element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,9.979167,29.510417,10.468834,0.500000,0.500000,3.347608,2.521267,2.947700,3.376592,2.524390,2.947804,2.348500,9.989583
110,6.692424,26.893939,8.906417,0.429688,0.859375,2.064133,1.836215,1.972094,3.074323,3.318050,3.243921,2.349312,16.918182
240,4.110417,20.312500,9.643583,0.468750,0.468750,1.668258,1.689725,1.673815,1.657021,1.676854,1.672937,2.300196,4.284722
500,2.639000,13.889000,9.671250,0.488281,0.488281,1.472777,1.557063,1.523913,1.445958,1.543206,1.523563,2.433990,2.500000
800,3.897708,10.546875,12.099833,0.781250,0.781250,1.513396,1.796827,1.667802,1.518200,1.793858,1.667525,2.484265,3.385833
1024,3.268717,12.587077,9.818917,0.500000,0.500000,1.504492,1.582994,1.635208,1.524115,1.582931,1.549119,2.513920,5.818359
1500,3.157444,10.536889,11.705459,0.732422,0.732422,1.506121,1.746135,1.626873,1.496671,1.755769,1.628052,2.527649,2.953778
2048,3.462077,11.040446,10.025667,0.500000,0.500000,1.478638,2.358940,1.551321,1.457431,1.574685,1.527037,2.419928,2.251628
3000,4.511611,12.608833,12.040708,0.732422,0.732422,1.667615,1.891167,1.751225,1.684473,1.850094,1.771721,2.532432,5.069556
6000,7.578694,42.423639,12.896333,0.732422,0.732422,4.832613,2.134263,6.297246,2.384912,2.121148,2.473560,2.523558,8.930500
8192,8.058350,35.213074,10.969500,0.500000,0.500000,5.713842,2.007956,7.346002,5.267817,2.024256,7.009213,2.426477,9.297648
12000,12.229750,30.403944,13.429208,0.732422,0.732422,11.423538,7.061150,14.132894,13.360269,6.989110,13.343754,2.543585,13.701389
16384,9.494781,37.969381,11.206833,0.500000,0.500000,10.022148,6.221725,12.223365,8.612729,4.692025,11.861110,2.565882,9.251078
25000,9.031393,27.908887,14.246167,0.762939,0.762939,8.170721,9.631908,12.493958,8.044910,9.043821,12.011994,2.544417,8.842227
32768,6.283442,30.744558,11.195208,0.500000,0.500000,3.683119,6.462702,9.739842,3.766560,7.332752,9.386527,2.533475,6.759644
45000,6.403241,21.439511,13.172584,0.686646,0.686646,3.048302,6.145204,9.220129,3.047615,6.170975,8.706102,2.563620,6.873141
60000,3.994328,23.554397,10.615000,0.457764,0.457764,1.548894,6.990183,7.323194,1.557048,7.077431,7.397660,2.648667,4.774072
100000,8.531670,22.087777,14.403917,0.762939,0.762939,4.464904,6.672196,11.094065,4.431765,6.491152,11.091115,2.552388,8.341663
150000,7.820927,25.313982,14.182792,0.572205,0.572205,4.727115,8.542104,11.657877,4.758290,8.464417,11.794390,2.628903,8.510002
200000,8.995485,22.291598,15.933791,0.762939,0.762939,5.615456,7.682348,12.720990,5.660833,7.918248,12.583175,2.539363,9.871458
300000,10.391944,26.950927,18.014166,0.572205,0.572205,7.183585,10.833792,15.895144,7.167273,10.804633,15.953452,2.642170,8.657548
400000,10.698160,23.330903,20.816250,0.762939,0.762939,8.585583,10.698881,17.314267,8.701335,10.704433,17.351019,2.554281,10.417952
600000,11.771852,28.798796,21.989479,0.572205,0.572205,8.855221,12.203413,17.673248,8.661331,12.209219,17.691715,2.616922,11.920324
800000,13.467813,27.177570,25.712578,0.762939,0.762939,10.688104,12.636204,19.560579,10.662311,12.710258,19.637452,2.531248,13.617309
1200000,13.838229,32.506528,29.320434,0.572205,0.572205,10.641812,13.892437,19.471310,10.615910,13.875883,20.155546,2.640837,13.808067
2200000,16.147794,36.227036,32.205435,0.524521,0.524521,12.292073,15.332025,20.799792,12.317767,15.267590,21.296560,2.643854,16.327083
3100000,19.499819,33.483165,37.625941,0.739098,0.739098,14.832573,16.888977,23.908004,14.682081,16.974146,24.627277,2.568593,19.748029
6000000,22.283851,37.594337,39.625795,0.715256,0.715256,16.233758,18.456340,27.123406,16.339006,18.336088,27.566608,2.574068,22.099933
10000000,21.703429,42.547667,39.090546,0.596046,0.596046,15.319315,18.456581,24.012767,15.352575,18.275969,23.818992,2.614004,21.472397
