element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,5.213542,24.088542,10.469583,0.500000,0.500000,1.526337,1.487831,1.567940,1.531619,1.484815,1.555210,2.339415,15.197917
110,4.293939,29.104545,8.992959,0.429688,0.859375,1.547344,1.568073,1.561456,1.617960,1.889219,1.737310,2.348419,13.509091
240,3.702778,18.259028,9.463583,0.468750,0.468750,1.592154,1.641839,1.649390,1.604656,1.654398,1.662181,2.308317,8.797222
500,4.944333,18.721667,9.705208,0.488281,0.488281,1.645154,1.698515,1.703667,1.622250,1.688027,1.697550,2.354935,3.778000
800,5.234583,15.537917,12.085375,0.781250,0.781250,1.698767,1.934967,1.818006,1.693256,1.930169,1.820587,2.496158,5.520833
1024,3.879232,16.167806,9.837167,0.500000,0.500000,1.610969,1.681660,1.690840,1.603785,1.681412,1.662894,2.354535,26.366862
1500,4.712778,14.361000,11.715000,0.732422,0.732422,1.652354,1.867692,1.786523,1.630560,1.870400,1.786965,2.548862,4.703778
2048,4.462321,17.554443,10.030042,0.500000,0.500000,1.588231,1.661619,1.636623,1.596179,1.667683,1.651483,2.492511,8.015951
3000,5.055500,16.194333,12.053584,0.732422,0.732422,1.769610,1.978415,1.897425,1.741725,1.957417,1.887198,2.539754,7.907333
6000,6.080972,24.221056,12.889125,0.732422,0.732422,1.844467,2.024900,3.936365,1.771965,2.010277,3.265148,2.528711,8.256944
8192,5.266825,31.796773,10.854166,0.500000,0.500000,1.719348,2.527865,4.977475,1.746525,2.640981,4.933085,2.596131,7.286906
12000,7.987847,22.535292,13.433208,0.732422,0.732422,5.199958,2.134152,8.527375,4.475969,2.134469,8.810027,2.571436,9.758111
16384,6.272634,29.163767,11.084834,0.500000,0.500000,3.911633,4.882177,10.058887,3.241458,5.753002,9.847813,2.625486,7.735372
25000,9.558613,22.796673,14.026750,0.762939,0.762939,5.962827,6.782310,12.056433,5.949335,8.063050,11.164469,2.548292,9.327227
32768,8.200119,28.879166,11.215208,0.500000,0.500000,4.574656,7.845717,10.815023,4.575610,7.869504,10.674475,2.650495,8.063843
45000,9.823922,24.999848,13.371375,0.686646,0.686646,6.266379,8.098304,12.332665,6.232769,7.546538,12.389054,2.552720,9.569748
60000,8.129044,29.277428,11.045834,0.457764,0.457764,4.944040,7.708729,11.087648,4.805356,7.893683,11.095717,2.688989,7.895372
100000,61.620697,83.023197,22.770333,0.762939,0.762939,67.503213,62.101692,68.278110,69.209513,62.390296,66.386917,2.553415,62.585833
150000,50.704076,81.771760,24.347000,0.572205,0.572205,56.808648,40.842698,49.826450,56.600665,40.801471,49.532510,2.655653,50.267222
200000,65.412432,90.037015,34.983084,0.762939,0.762939,71.425787,68.041577,69.924075,71.931481,67.506294,70.850156,2.541123,65.278333
300000,33.028379,72.802963,32.786875,0.572205,0.572205,41.587513,34.794894,44.623690,40.999933,34.493029,45.044458,2.637591,33.723193
400000,42.682951,71.467708,48.939166,0.762939,0.762939,53.855740,51.030654,60.624940,53.304421,50.349004,61.606658,2.561333,40.307952
600000,39.749653,69.366319,47.771805,0.572205,0.572205,54.778550,44.479400,65.963673,56.287402,45.855956,66.444177,2.650431,40.677824
800000,51.184323,75.190868,79.196381,0.762939,0.762939,75.909223,75.570096,95.062683,76.709760,75.548058,94.451944,2.553740,51.817343
1200000,45.749722,76.526718,60.890399,0.572205,0.572205,68.766136,57.755300,91.517579,69.262798,59.048702,91.099296,2.618156,46.766412
2200000,35.145540,77.835890,46.290085,0.524521,0.524521,38.540810,34.725760,85.464658,39.058604,34.353875,83.989296,2.658004,35.568201
3100000,45.435235,75.480813,62.422003,0.739098,0.739098,56.181206,60.344065,137.507813,56.870562,59.871556,136.826308,2.561622,44.852240
6000000,22.648712,36.875681,39.668090,0.715256,0.715256,15.434025,17.488244,24.904644,15.462898,17.592669,24.980631,2.577682,21.385072
10000000,21.460194,41.857950,38.346412,0.596046,0.596046,14.698050,17.686985,23.167723,14.725631,17.708473,23.057150,2.607127,20.767762
