element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,13.671875,39.708333,29.881166,0.500000,0.500000,10.299358,4.234421,7.056952,10.297265,4.235252,7.053752,2.341446,12.156250
110,14.269697,43.054545,28.068083,0.429688,0.859375,10.588825,4.266256,7.283135,10.986004,5.026042,7.960775,2.331973,38.760606
240,12.759722,38.310417,29.247083,0.468750,0.468750,10.244190,4.356579,7.146633,10.006825,4.361181,7.146250,2.332388,11.920833
500,18.333000,39.764667,29.729166,0.488281,0.488281,10.360588,4.486810,7.504938,10.333408,4.403213,7.352121,2.300829,18.916667
800,16.996458,36.353958,34.675458,0.781250,0.781250,12.727294,5.048021,7.555460,10.730990,4.918567,7.607658,2.491315,25.694167
1024,19.551758,48.766927,30.563542,0.500000,0.500000,11.115083,4.363585,7.349048,11.604527,4.366231,7.230558,2.244851,20.548177
1500,18.754667,49.481333,34.683083,0.732422,0.732422,17.886777,7.200362,8.554923,17.544992,7.324827,8.783342,2.441080,29.518444
2048,17.303548,57.312012,31.761375,0.500000,0.500000,18.833379,12.852117,19.764256,18.725379,12.769683,19.522308,2.338866,21.145345
3000,21.791667,79.307833,36.280125,0.732422,0.732422,19.914362,14.913627,19.924644,22.818094,15.073523,24.621883,2.506979,27.638889
6000,25.578694,66.781278,37.306750,0.732422,0.732422,22.523090,13.853090,28.695683,25.072846,18.682637,28.411454,2.537917,28.094944
8192,21.238525,72.288554,32.880000,0.500000,0.500000,22.181362,15.586481,26.952231,23.689244,16.724221,27.026519,2.559711,23.900391
12000,26.960069,60.350708,38.188250,0.732422,0.732422,24.931275,17.906592,28.879198,25.494769,19.211008,29.201204,2.533618,26.560194
16384,21.542033,73.678772,33.487625,0.500000,0.500000,23.765679,18.914115,27.103252,23.631946,18.220983,27.627700,2.592136,21.971781
25000,27.113333,55.660547,39.327042,0.762939,0.762939,26.587244,20.035263,31.367898,26.521767,20.038248,31.397192,2.535458,27.111667
32768,24.111003,70.506200,35.136209,0.500000,0.500000,24.425221,19.412317,28.702854,24.723065,19.275654,28.373985,2.608766,27.127167
45000,27.559259,61.136726,40.481125,0.686646,0.686646,26.239279,20.545898,31.582744,26.260177,20.538710,31.591504,2.575576,28.196289
60000,24.590972,74.154517,38.544459,0.457764,0.457764,24.600475,18.826138,28.497396,24.638156,18.779390,28.580735,2.659916,24.367361
100000,30.146527,60.251250,50.847417,0.762939,0.762939,28.469533,21.553285,33.858479,28.104050,21.198602,33.717394,2.549642,30.993337
150000,26.384258,66.232962,56.263792,0.572205,0.572205,32.047115,24.077546,37.077685,31.432967,24.026635,36.987502,2.621553,26.774911
200000,31.200000,61.187432,65.482416,0.762939,0.762939,35.258581,25.580887,41.040031,35.023217,25.188229,41.250500,2.530581,31.672363
300000,32.767640,71.331342,81.218542,0.572205,0.572205,37.760712,26.750619,41.944321,37.739467,26.748252,41.933606,2.619274,29.635371
400000,35.939028,66.531563,82.371417,0.762939,0.762939,41.444077,28.902206,45.647783,41.141219,28.596277,45.726985,2.537515,35.780590
600000,36.393333,77.145439,89.534375,0.572205,0.572205,45.346663,30.231398,47.498754,45.438994,30.300469,47.338381,2.602108,37.184862
800000,42.851077,72.770122,107.681094,0.762939,0.762939,51.624275,32.907337,52.875975,53.696290,33.986244,52.659333,2.540065,44.013385
1200000,43.122969,86.069688,106.877726,0.572205,0.572205,60.455648,35.794171,58.192610,60.898221,35.791296,58.098921,2.621121,43.649224
2200000,46.924669,96.812651,131.700814,0.524521,0.524521,67.641208,37.317227,62.843933,67.617867,37.484740,62.903406,2.658318,47.594337
3100000,55.600813,90.925611,131.543454,0.739098,0.739098,74.249267,43.934567,68.145317,74.204523,44.870577,68.523208,2.546546,56.788141
6000000,58.715615,99.248080,132.227396,0.715256,0.715256,77.822252,45.535983,70.689721,77.904123,45.627300,70.517406,2.565839,59.385116
10000000,59.317533,111.789717,128.682938,0.596046,0.596046,77.613375,44.369290,70.738390,77.591983,44.443519,70.417429,2.597210,59.240072
