element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,38.411458,349.822917,61.103875,0.500000,0.500000,1.718967,1.719252,1.723115,1.720115,1.728012,1.736323,3.588644,88.093750
110,41.918182,287.057576,65.780041,0.429688,0.859375,1.725827,1.719012,1.728952,1.724504,1.714967,1.723050,4.154798,177.021212
240,35.908333,285.069444,72.102125,0.468750,0.468750,1.723887,1.713833,1.722610,1.719675,1.716565,1.720946,3.941906,55.843056
500,57.305667,239.611000,76.052625,0.488281,0.488281,1.719727,1.715354,1.724542,1.724294,1.721954,1.721489,3.908085,53.138667
800,42.178958,287.248333,55.849708,0.390625,0.781250,1.727923,1.724681,1.746575,1.719931,1.716898,1.718840,4.481506,182.604583
1024,43.544922,247.666992,80.003875,0.500000,0.500000,1.722294,1.714252,1.726954,1.724044,1.713267,1.722873,3.840888,54.619466
1500,77.347111,315.208444,55.000833,0.366211,0.732422,1.719127,1.715590,1.722177,1.719177,1.711590,1.721381,4.834104,256.278000
2048,58.898926,249.844076,83.196250,0.500000,0.500000,1.722123,1.713471,1.723679,1.718721,1.720081,1.724148,4.026456,105.502767
3000,36.058000,319.428222,57.667042,0.366211,0.732422,1.931925,1.950012,1.969383,1.725835,1.752023,1.738073,8.889541,180.990667
6000,41.441000,355.946750,62.390542,0.366211,0.732422,1.837465,1.823340,2.156562,1.797010,1.781537,2.594873,10.946700,227.206056
8192,40.195007,267.345032,89.407125,0.500000,0.500000,1.823650,1.814850,2.613696,1.847854,1.828760,5.420121,9.353904,66.153646
12000,41.630222,329.835069,82.360416,0.366211,0.732422,1.827506,1.822227,5.280723,1.815754,1.811900,7.589750,13.207142,194.903944
16384,48.416128,296.489288,242.458792,0.500000,0.500000,1.860661,1.850206,7.523806,1.839179,1.827819,7.616444,11.474622,66.279928
25000,49.137220,778.063607,90.408416,0.381470,0.762939,1.926637,1.917875,9.055921,1.836471,1.819144,8.955302,13.565419,218.958347
32768,87.460210,626.631205,256.977333,0.500000,0.500000,1.929802,1.909175,9.585502,1.918463,1.908019,9.469717,11.581533,67.012787
45000,43.905093,977.529630,79.576708,0.343323,0.686646,2.070456,2.076938,9.571421,1.969302,1.947223,9.472035,14.184711,214.069444
60000,48.359608,850.216319,158.989500,0.457764,0.457764,2.104435,2.083887,9.906162,2.079169,2.087242,10.085450,12.985600,108.001389
100000,63.866803,1052.517360,105.189500,0.381470,0.762939,2.220994,2.212394,10.522121,2.063675,2.088475,10.439544,14.362419,321.362360
150000,315.485278,923.599442,1873.477167,0.572205,0.572205,2.225746,2.212758,10.705560,2.209110,2.200898,10.733960,10.045817,333.681018
200000,146.829307,1191.319027,156.541209,0.381470,0.762939,3.821781,3.722090,11.925419,2.218346,2.221254,10.806990,14.065437,263.694585
300000,148.497452,926.015693,1735.169208,0.572205,0.572205,3.950029,3.913148,12.359919,4.049615,4.040090,12.366065,10.136157,180.193148
400000,251.765903,1086.873646,221.225292,0.381470,0.762939,6.279869,6.380838,14.124831,3.958315,4.251790,12.337806,14.064292,411.222917
600000,637.095278,1052.391273,0.000000,0.572205,0.572205,6.221502,6.308810,14.173037,6.246935,6.315800,14.166013,10.158791,241.139699
800000,231.425972,1255.340729,0.000000,0.381470,0.762939,8.479567,8.268106,15.599239,6.345260,6.247867,14.215594,14.119723,473.601302
1200000,761.363750,1329.184497,0.000000,0.572205,0.572205,8.551583,8.405365,15.494767,8.505862,8.430567,15.453769,10.094569,492.542407
2200000,510.087434,1401.700568,0.000000,0.524521,0.524521,11.978019,11.659444,18.605210,11.961017,11.814019,18.602956,11.581339,334.071427
3100000,375.410370,2015.395316,0.000000,0.369549,0.739098,14.262229,14.053969,20.964790,12.386335,12.201356,19.043323,14.219589,761.069449
6000000,402.738691,2320.303333,0.000000,0.357628,0.715256,15.529760,15.393658,22.022521,14.178906,13.879804,20.624060,14.265484,779.180238
10000000,755.629267,2511.822590,0.000000,0.596046,0.596046,15.503781,15.423950,22.139631,15.537361,15.448208,22.147700,9.405708,270.490462
