element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,53.817708,361.552083,87.990209,0.500000,0.500000,13.540625,4.663896,8.638710,13.550933,4.627071,8.650898,9.876781,152.354167
110,58.584848,397.095455,95.304000,0.429688,0.859375,13.558681,8.081902,9.574554,13.557156,5.758758,9.650565,13.755417,239.396970
240,57.842361,429.138889,101.586042,0.468750,0.468750,13.551250,10.105715,10.961660,13.545400,10.207037,10.579648,12.570545,79.225000
500,54.708000,355.708333,105.561541,0.488281,0.488281,13.544685,10.597850,11.813083,13.557469,9.602629,11.746050,12.699067,79.027333
800,53.212083,427.500000,85.144250,0.390625,0.781250,13.554475,10.438419,12.945177,13.541392,8.175937,13.278648,19.358479,266.076250
1024,55.548503,351.908529,110.040583,0.500000,0.500000,13.539908,10.902398,13.251446,13.557198,10.813817,13.294206,13.062503,77.623372
1500,58.546222,411.972111,84.174542,0.366211,0.732422,14.916717,11.136556,15.011873,13.557758,9.373975,13.850840,22.268903,260.490667
2048,85.964681,392.781576,111.729541,0.500000,0.500000,15.281763,12.871642,15.863108,15.623692,12.854731,16.488296,14.901474,342.841146
3000,58.405111,442.689833,89.240042,0.366211,0.732422,16.438817,13.142927,17.815608,15.209767,10.850621,16.321315,23.244457,301.676000
6000,58.857667,437.444444,91.903167,0.366211,0.732422,16.316579,12.562744,18.623431,16.057225,11.666798,17.475542,24.785660,279.027722
8192,61.390340,354.002177,121.195875,0.500000,0.500000,16.401912,15.868012,18.569369,16.304452,15.756396,18.625754,16.639147,91.669759
12000,215.410306,451.758083,116.860500,0.366211,0.732422,16.614758,13.794396,19.266892,16.320775,12.433513,19.010740,25.145775,442.102972
16384,69.034993,403.093547,289.979375,0.500000,0.500000,16.406965,16.509573,19.376258,16.401542,16.429421,19.362210,16.964455,88.458598
25000,64.417500,985.996107,126.238375,0.381470,0.762939,16.782458,14.223952,20.063694,16.535935,12.105187,19.894285,23.831717,334.933893
32768,68.649078,810.296377,302.909958,0.500000,0.500000,16.814531,16.839327,20.206748,16.776796,16.909471,20.197840,17.255957,89.140574
45000,64.974852,991.670522,127.411792,0.343323,0.686646,18.086102,13.888304,21.428910,16.855356,14.055658,20.341400,26.874499,351.052770
60000,135.682292,1040.578592,199.655333,0.457764,0.457764,18.049310,17.013746,21.722277,18.302973,16.998217,21.632383,19.520673,318.492822
100000,90.368337,1174.087360,187.315083,0.381470,0.762939,20.994898,16.461629,24.935806,18.030808,12.938858,21.607046,24.415321,337.124447
150000,151.956851,1098.299816,2081.343541,0.572205,0.572205,23.000754,19.875435,26.829846,23.315642,20.153529,26.808813,13.852110,104.294444
200000,123.593750,1108.057708,245.046333,0.381470,0.762939,32.028613,20.483396,34.190865,24.448117,16.246046,27.312273,24.476083,409.392568
300000,181.553518,1287.680139,2349.073791,0.572205,0.572205,32.646156,23.261944,33.993277,32.130167,22.910504,33.817210,13.835464,225.832731
400000,169.428403,1330.716875,334.354833,0.381470,0.762939,38.350494,22.682483,39.959142,31.421679,18.563662,32.626012,24.198000,480.951840
600000,517.840810,1294.600857,2711.869236,0.572205,0.572205,41.040571,25.251335,40.679290,39.725240,25.407004,40.871229,13.844984,360.447662
800000,276.828680,1730.834392,441.762213,0.381470,0.762939,56.401650,28.403573,55.366513,40.071177,21.403019,39.609719,23.861429,607.023281
1200000,390.874774,1445.442674,2848.183594,0.572205,0.572205,57.594606,31.249267,55.861031,57.536910,31.286108,56.039250,13.865135,353.279039
2200000,535.148267,1902.873456,1302.966335,0.524521,0.524521,72.611913,36.983804,69.989894,72.755090,36.989775,70.253969,16.006714,278.626995
3100000,412.800968,2485.590457,607.938528,0.369549,0.739098,82.506033,35.629829,80.479565,71.689204,33.623869,68.162848,25.066818,859.268481
6000000,368.203812,2515.728042,865.712153,0.357628,0.715256,89.183498,36.899785,84.805696,82.320913,37.333825,77.649688,25.882434,1009.882567
10000000,1346.480981,2988.789340,0.000000,0.596046,0.596046,89.270567,41.509562,85.331829,89.217356,41.455675,86.976996,12.772775,1048.258708
