element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,65.755208,401.692708,100.820250,0.500000,0.500000,9.447231,4.378708,7.251192,9.446658,4.392408,7.298535,10.003390,220.041667
110,97.728788,419.698485,109.209667,0.429688,0.859375,9.308517,4.418810,7.147281,9.313427,4.333579,7.093938,13.983989,266.033333
240,59.636806,410.300000,116.249000,0.468750,0.468750,9.801804,4.382958,7.058148,9.856554,4.294633,7.065238,12.290875,91.955556
500,62.583000,435.666333,119.609125,0.488281,0.488281,9.730244,4.294467,6.999083,9.690071,4.301310,6.995786,12.556552,87.888667
800,59.748333,435.303542,95.806791,0.390625,0.781250,10.589200,4.420152,6.978281,10.008710,4.489481,6.963100,19.227742,308.524583
1024,59.651855,387.532552,127.008417,0.500000,0.500000,10.721885,4.617873,6.929031,12.645977,4.474694,6.983788,13.199729,87.144531
1500,63.032444,481.231333,95.622708,0.366211,0.732422,14.384883,5.057646,7.506265,14.929290,4.462883,7.137506,22.383389,293.786889
2048,124.559245,483.900391,129.597083,0.500000,0.500000,18.316658,5.917269,10.937410,17.706913,5.587429,7.776585,14.964892,168.063639
3000,62.194389,495.590333,98.423750,0.366211,0.732422,22.089331,6.631415,14.937658,19.635725,5.853265,9.361165,23.403174,404.018556
6000,70.064833,519.894694,103.662208,0.366211,0.732422,25.029569,8.523079,24.062638,24.028887,8.071231,22.801638,23.947069,314.960667
8192,171.520691,423.042318,137.944666,0.500000,0.500000,23.427427,8.665390,23.747419,24.973092,8.736040,23.939521,17.340120,96.486328
12000,68.118056,554.481500,134.011834,0.366211,0.732422,24.287021,9.217417,24.593840,24.632060,8.090317,23.853037,24.550146,318.145833
16384,74.434926,458.081136,313.448875,0.500000,0.500000,25.678690,8.691229,25.106171,25.613071,9.494652,24.990637,18.010220,93.649984
25000,69.771953,1315.697220,143.781958,0.381470,0.762939,25.978912,9.321087,24.827537,25.762369,9.214787,24.863875,24.227635,345.138333
32768,122.526164,997.053777,322.901666,0.500000,0.500000,26.232194,9.746162,25.101975,25.862979,9.611481,25.260533,18.306593,94.975372
45000,84.304781,1235.188426,140.465083,0.343323,0.686646,27.235327,10.068388,26.478754,26.017654,9.854550,25.452333,26.874705,341.787341
60000,112.251042,1267.079281,223.735250,0.457764,0.457764,27.203162,10.045981,26.813394,27.229352,10.103625,26.732558,20.539629,125.555328
100000,98.379863,1222.088057,210.855125,0.381470,0.762939,30.931077,11.807737,30.310931,27.254925,10.168283,26.948315,24.271912,387.081947
150000,523.548887,1248.566573,0.000000,0.572205,0.572205,32.396933,12.756133,32.391448,32.550192,12.567119,31.922615,15.412763,551.269627
200000,130.675903,1485.957778,0.000000,0.381470,0.762939,39.114115,15.321913,36.575777,33.851119,13.301269,32.891613,24.408171,413.407708
300000,196.486806,1302.912222,0.000000,0.572205,0.572205,39.330323,16.111088,36.915408,38.926919,15.175025,36.865940,15.572299,464.654028
400000,219.146737,1573.976874,0.000000,0.381470,0.762939,43.848648,17.358496,40.030448,39.387119,15.122760,37.503321,24.607688,508.593854
600000,269.069167,1328.724746,0.000000,0.572205,0.572205,44.715317,17.846629,41.704442,44.855225,18.213854,41.188469,15.383534,493.526828
800000,332.523507,1544.461284,0.000000,0.381470,0.762939,58.981612,25.303375,50.579421,45.894223,18.145577,41.680058,24.517885,685.844288
1200000,617.173768,1380.315278,0.000000,0.572205,0.572205,57.493258,25.058317,50.969494,57.900925,25.131506,51.569146,15.336777,367.327755
2200000,552.336515,1757.063040,0.000000,0.524521,0.524521,69.494906,29.363652,60.051304,68.745940,29.161954,58.994910,17.519443,383.784268
3100000,344.420726,2370.009026,0.000000,0.369549,0.739098,76.504479,32.510104,65.474819,68.041508,29.234308,60.185452,24.996154,1054.108517
6000000,461.015965,2543.437924,0.000000,0.357628,0.715256,83.563096,34.428517,70.320938,78.119885,32.505319,64.426058,25.539323,931.507759
10000000,1681.160402,2710.935512,0.000000,0.596046,0.596046,83.333013,34.537190,70.993698,84.388740,34.444700,70.315473,14.662940,678.845146
