element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,44.916667,299.687500,61.159750,0.500000,0.500000,1.709037,1.719994,1.766681,1.718690,1.712610,1.714906,3.736954,101.125000
110,41.350000,264.772727,65.635958,0.429688,0.859375,1.721129,1.718510,1.722535,1.717244,1.716587,1.724154,4.146081,188.257576
240,37.297222,247.513194,72.217333,0.468750,0.468750,1.722154,1.710685,1.720852,1.721900,1.715319,1.718873,3.948348,55.325000
500,61.458333,234.847333,76.310125,0.488281,0.488281,1.719227,1.717008,1.720550,1.720373,1.715200,1.722277,3.904915,54.944667
800,34.401458,352.535000,55.784458,0.390625,0.781250,1.720346,1.713452,1.720965,1.728423,1.715500,1.722908,4.468060,172.951250
1024,37.794434,247.504557,79.872250,0.500000,0.500000,1.721806,1.719304,1.721600,1.721396,1.720846,1.718596,3.838086,107.638997
1500,36.801000,311.199000,55.264125,0.366211,0.732422,1.719475,1.712221,1.731827,1.721510,1.713769,1.744881,5.121473,173.787111
2048,42.914469,284.098307,83.877750,0.500000,0.500000,1.729008,1.722308,1.738031,1.718958,1.712717,1.736883,4.179592,70.854818
3000,37.266222,309.173667,58.894958,0.366211,0.732422,1.907415,1.954533,1.969006,1.744244,1.751715,1.741831,9.009791,181.819444
6000,41.206056,346.410917,62.474208,0.366211,0.732422,1.845462,1.835994,1.926242,1.856417,1.789542,4.012671,10.914103,194.152778
8192,57.379008,291.367452,90.934084,0.500000,0.500000,1.816585,1.817806,5.856731,1.833417,1.838996,5.413423,9.550629,67.591349
12000,54.203125,338.380236,81.009000,0.366211,0.732422,1.840923,1.825217,5.295533,1.821554,1.818915,7.574529,13.211801,201.903972
16384,48.828135,305.035055,247.201667,0.500000,0.500000,1.858298,1.855335,7.655296,1.826971,1.834006,7.501154,10.946402,66.368937
25000,50.076393,665.280553,89.922209,0.381470,0.762939,1.906775,1.900879,9.538248,1.840177,1.831300,9.002560,13.648217,258.792213
32768,50.643921,482.842341,259.174459,0.500000,0.500000,1.916338,1.924569,9.545125,1.918729,1.920392,9.513629,11.661908,67.610006
45000,62.956633,881.715889,84.987791,0.343323,0.686646,2.078977,2.076967,10.065085,1.955254,1.923092,9.438577,14.169856,215.018526
60000,75.020947,840.614697,157.631458,0.457764,0.457764,2.076360,2.064556,10.259796,2.072600,2.059248,10.269623,12.880699,110.639122
100000,64.236390,913.501670,103.677917,0.381470,0.762939,2.224546,2.212360,10.725100,2.065550,2.087892,10.242110,13.986554,266.124443
150000,239.746020,833.877129,0.000000,0.572205,0.572205,2.216083,2.215767,10.727144,2.212660,2.213115,10.889967,10.109221,74.522316
200000,95.572363,1206.194792,0.000000,0.381470,0.762939,4.042358,3.851206,12.047133,2.216435,2.211396,11.393937,14.031946,297.204097
300000,291.112593,857.904260,0.000000,0.572205,0.572205,4.268508,3.900700,12.372435,4.112638,4.049206,12.413500,10.116095,100.561389
400000,141.359167,1220.692500,0.000000,0.381470,0.762939,6.449046,6.412806,14.205592,4.314454,4.299454,12.770804,14.032217,371.697744
600000,534.519399,1048.434352,0.000000,0.572205,0.572205,6.418019,6.253396,14.192525,6.364260,6.237935,14.146065,10.097698,340.249236
800000,231.048125,1368.543316,0.000000,0.381470,0.762939,8.544602,8.417385,15.614312,6.368031,5.827019,14.142310,14.115658,464.933437
1200000,344.131319,1554.670972,0.000000,0.572205,0.572205,8.617287,8.643756,15.652548,8.628129,8.612402,15.573706,10.146750,305.000498
2200000,700.148731,1567.222254,0.000000,0.524521,0.524521,11.970012,11.793381,18.601525,11.979108,11.803812,19.221748,11.634265,677.161995
3100000,298.401021,1925.630927,0.000000,0.369549,0.739098,13.899669,13.758108,20.554904,12.010835,11.664135,18.681540,14.177730,724.897805
6000000,553.421156,2279.483174,0.000000,0.357628,0.715256,15.503856,15.384025,22.095112,14.199242,13.790917,20.754642,14.321155,766.589537
10000000,787.370619,2726.757567,0.000000,0.596046,0.596046,15.347277,15.183679,21.862148,15.213779,15.193948,21.849006,9.385085,261.644488
