element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,61.630208,404.515625,113.753959,0.500000,0.500000,12.551442,7.729808,14.141748,12.551148,7.735460,14.187698,3.566946,106.770833
110,64.896970,490.659091,121.044958,0.429688,0.859375,12.540369,7.740867,16.887927,12.536173,7.732648,16.763583,4.060296,391.033333
240,67.273611,425.085417,131.421666,0.468750,0.468750,12.546215,7.907108,19.619048,12.683656,7.903131,19.868583,3.824930,99.130556
500,72.597000,410.444667,141.124709,0.488281,0.488281,12.769592,7.938096,19.697323,13.018215,7.925981,19.660565,3.770794,92.416667
800,69.175208,479.496042,116.914167,0.390625,0.781250,14.601579,7.861490,20.986310,14.338294,8.068087,21.093950,4.312475,393.854583
1024,68.108398,410.257975,149.267458,0.500000,0.500000,14.882306,8.011848,21.998610,14.919363,7.965604,22.056379,3.730213,84.960938
1500,76.546222,553.967667,118.377459,0.366211,0.732422,15.274138,8.674025,22.328102,15.103325,8.903608,23.121727,4.568903,342.462889
2048,84.621826,451.727946,163.741625,0.500000,0.500000,15.607240,8.873900,22.662106,15.360100,8.803300,22.707644,3.728932,90.684570
3000,89.970000,562.041667,149.814000,0.366211,0.732422,15.650769,9.099044,22.891867,15.467377,8.943787,22.834238,5.824980,354.995333
6000,80.630750,569.810194,140.953334,0.366211,0.732422,16.017760,9.155279,23.989571,15.754554,9.118494,23.267788,9.582665,351.289333
8192,82.934916,452.064514,195.478083,0.500000,0.500000,16.193529,9.269229,24.113821,15.999333,9.242840,24.136781,8.900844,101.392944
12000,87.280667,572.806722,207.530667,0.366211,0.732422,16.663206,9.540754,24.634456,16.281063,9.413033,24.096642,11.472133,369.177083
16384,105.315308,504.253794,422.318125,0.500000,0.500000,16.909154,9.528165,24.593019,16.831733,9.530923,24.772885,9.517842,100.932658
25000,86.509720,926.536113,263.890083,0.381470,0.762939,20.529350,10.270360,26.184865,17.212481,9.758235,25.126663,12.085100,468.932227
32768,91.202825,787.941620,493.200833,0.500000,0.500000,18.445623,10.361292,26.894831,19.978071,10.352175,26.330383,10.223054,109.102030
45000,93.274856,1267.446304,362.054916,0.343323,0.686646,32.248335,10.756258,30.908460,25.270456,10.485810,29.310337,12.401140,438.650615
60000,122.338775,1206.000578,526.643375,0.457764,0.457764,39.893513,10.794979,38.152812,40.391419,10.867885,36.554138,11.403485,209.686344
100000,133.825553,1712.673890,416.928125,0.381470,0.762939,53.687881,15.550658,48.464262,52.875127,14.733167,43.674013,12.344873,529.688333
150000,195.895927,1323.410649,0.000000,0.572205,0.572205,56.628538,21.272523,50.745681,56.839300,21.409113,49.891754,9.026694,129.984167
200000,169.873958,2035.977013,0.000000,0.381470,0.762939,74.488456,23.998019,59.639361,62.999679,23.610875,53.617017,12.335463,788.920903
300000,494.844400,1835.304770,0.000000,0.572205,0.572205,91.257306,26.090850,74.485121,89.814394,25.709481,74.461538,9.006772,286.328054
400000,222.637291,2271.428959,0.000000,0.381470,0.762939,107.312044,32.152338,91.798358,105.167527,28.458321,83.256213,12.335383,841.047535
600000,320.203171,2078.620185,0.000000,0.572205,0.572205,113.187575,39.353815,95.531496,111.653735,45.657183,95.359917,9.033248,204.620788
800000,278.994340,2876.904861,0.000000,0.381470,0.762939,120.492681,47.169208,107.498475,115.668106,47.719525,98.717519,12.368287,1017.103802
1200000,824.866927,2258.732726,0.000000,0.572205,0.572205,123.262721,51.889958,108.177183,124.937469,52.106090,110.215967,9.049318,471.673172
2200000,867.685398,2301.751923,0.000000,0.524521,0.524521,129.072689,59.110900,115.464888,129.495675,60.118627,115.056179,10.291631,466.666414
3100000,436.057225,3967.150739,0.000000,0.369549,0.739098,136.043681,63.966602,123.678067,131.510977,60.390177,117.738754,12.464825,1288.313499
6000000,584.205986,3740.842608,0.000000,0.357628,0.715256,147.860848,74.814783,136.587735,139.536827,65.997237,126.733865,12.561394,1395.693970
10000000,2658.385069,4803.200269,0.000000,0.596046,0.596046,154.316563,75.864417,138.497681,150.754840,76.350375,138.338073,8.464848,2384.017874
