element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,35.588542,247.182292,58.595417,0.500000,0.500000,2.468306,2.379863,2.438954,2.474985,2.379789,2.433206,3.689513,76.822917
110,36.427273,260.162121,62.955917,0.429688,0.859375,2.463731,2.380085,2.432915,2.445489,2.379688,2.431900,4.049880,176.890909
240,37.992361,224.885417,69.903792,0.468750,0.468750,2.454694,2.513194,2.436419,2.466765,2.556046,2.439721,3.829149,57.291667
500,38.749667,309.458333,73.239250,0.488281,0.488281,2.450060,2.415504,2.434683,2.481750,2.416040,2.437881,3.789817,54.416000
800,33.655000,286.970625,53.881333,0.390625,0.781250,2.449208,2.421952,2.437894,2.475081,2.479948,2.437898,4.339171,166.232500
1024,38.174154,236.904622,78.381000,0.500000,0.500000,2.450117,2.445981,2.435198,2.462537,2.454671,2.436456,3.724657,53.697266
1500,41.166667,283.680556,53.189667,0.366211,0.732422,2.462535,2.433962,2.444983,2.444308,2.485204,2.434367,4.474464,168.870222
2048,41.663330,236.233154,79.765125,0.500000,0.500000,2.495327,2.480419,2.442840,2.485004,2.485156,2.445610,3.725040,58.451335
3000,40.291611,299.354167,55.933666,0.366211,0.732422,2.650858,2.432283,2.617429,2.486248,2.463031,2.457985,7.834329,181.777667
6000,55.490722,310.905083,59.022542,0.366211,0.732422,2.525594,2.467131,2.529040,2.511985,2.482921,2.662800,9.153109,194.925889
8192,46.307027,256.438375,87.184292,0.500000,0.500000,2.553169,2.486579,5.323992,2.524083,2.501498,3.792629,8.155354,66.213013
12000,59.561903,332.969347,79.305583,0.366211,0.732422,2.570883,2.473685,6.406846,2.514306,2.518227,5.835383,11.226394,195.063639
16384,48.324148,290.585836,249.724167,0.500000,0.500000,2.593969,2.485869,6.524648,2.605004,2.487013,6.736038,9.653169,66.232463
25000,45.412780,713.760000,88.360750,0.381470,0.762939,2.788031,2.490433,8.461169,2.620892,2.497294,8.128737,11.753681,213.346640
32768,49.856405,495.075012,254.639292,0.500000,0.500000,2.788804,2.487315,9.058833,2.796979,2.488237,8.974971,10.201252,66.839844
45000,54.462656,826.091356,82.160875,0.343323,0.686646,2.998269,2.753577,10.593915,2.796527,2.552344,9.946487,12.429829,218.108948
60000,49.487850,789.127894,153.550875,0.457764,0.457764,3.059110,2.754640,10.574508,2.990285,2.892581,10.625206,11.307730,89.610650
100000,83.676527,1233.258333,112.690375,0.381470,0.762939,3.225735,2.932508,11.272833,2.990383,2.800771,11.097127,12.335083,268.441250
150000,120.298980,935.448336,1774.820291,0.572205,0.572205,3.180683,2.968210,11.439244,3.140765,2.958456,11.444100,8.990956,74.001204
200000,159.166807,1156.105625,144.202750,0.381470,0.762939,4.856135,3.067500,11.617104,3.220308,2.995883,11.477567,12.382673,307.320347
300000,243.212917,975.646898,1937.953083,0.572205,0.572205,4.873271,3.106840,11.687798,4.980750,3.103092,11.685398,9.025029,170.363102
400000,137.061943,1082.972917,203.026292,0.381470,0.762939,7.147015,3.219773,12.436696,5.114385,3.142854,11.729935,12.364923,440.991772
600000,197.964977,1137.096805,1873.451771,0.572205,0.572205,7.131431,3.318125,12.506742,7.005333,3.314617,12.510396,9.047843,133.508681
800000,174.827292,1257.702101,398.839583,0.381470,0.762939,9.229575,3.579723,13.967304,6.920090,3.410815,12.386390,12.372537,440.687431
1200000,583.031580,1063.462778,2061.412778,0.572205,0.572205,9.572300,3.664486,14.103704,9.315917,3.629375,14.061023,9.054291,169.074583
2200000,330.683532,1337.115350,920.242955,0.524521,0.524521,14.015848,4.700235,17.632673,14.080202,4.682473,17.638967,10.325350,229.097052
3100000,352.985732,1877.262816,404.075921,0.369549,0.739098,16.952992,8.229002,19.904581,14.295506,4.803548,17.961735,12.452974,687.787890
6000000,536.755788,2367.192458,405.734264,0.357628,0.715256,18.806431,11.132752,22.941752,16.748008,8.217521,19.758377,12.581785,867.877498
10000000,739.168331,2657.322052,0.000000,0.596046,0.596046,18.731877,11.251956,22.944079,18.938021,11.226031,22.947127,8.474548,271.133581
