element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,45.140625,260.421875,58.314375,0.500000,0.500000,2.460125,2.383383,2.436354,2.463592,2.384892,2.434402,3.457067,80.291667
110,39.142424,301.012121,62.739708,0.429688,0.859375,2.463433,2.384565,2.435942,2.465762,2.382006,2.436227,4.043617,186.612121
240,38.829861,239.788194,69.276625,0.468750,0.468750,2.477912,2.448708,2.435027,2.454527,2.448456,2.439231,3.843642,55.962500
500,40.569667,225.250333,72.864875,0.488281,0.488281,2.459719,2.486225,2.436113,2.476717,2.491694,2.437396,3.790040,53.861333
800,48.957917,312.231042,53.042000,0.390625,0.781250,2.467944,2.470123,2.451265,2.470677,2.483931,2.439906,4.306606,193.628333
1024,38.038574,235.826009,78.092667,0.500000,0.500000,2.447729,2.478702,2.438129,2.463102,2.476115,2.435988,3.733786,54.009440
1500,39.143556,296.189889,52.378083,0.366211,0.732422,2.470996,2.404119,2.446306,2.467017,2.469985,2.436906,4.475337,171.166667
2048,49.007812,232.923665,79.605583,0.500000,0.500000,2.478510,2.451600,2.458175,2.477029,2.452094,2.456046,3.725955,59.203939
3000,38.898167,309.902833,55.637041,0.366211,0.732422,2.673969,2.435771,2.612967,2.455802,2.466248,2.452573,7.967122,178.143556
6000,54.435167,312.702583,59.920625,0.366211,0.732422,2.526848,2.474025,2.496015,2.599588,2.469277,2.720494,9.155717,201.939778
8192,45.006653,260.428548,86.119667,0.500000,0.500000,2.531608,2.482792,2.526598,2.531506,2.493606,3.576206,7.994866,66.791097
12000,50.274319,320.142347,78.201166,0.366211,0.732422,2.597202,2.476279,6.765660,2.531104,2.509327,5.864308,11.221395,191.289361
16384,51.150848,287.695150,236.590292,0.500000,0.500000,2.585756,2.474056,6.615265,2.571521,2.473690,6.894144,9.831963,66.548645
25000,44.168333,713.127227,88.115375,0.381470,0.762939,2.773621,2.482508,8.602417,2.624342,2.509829,8.066727,11.775508,233.602213
32768,50.143778,494.128967,261.508167,0.500000,0.500000,2.824873,2.505494,9.027742,2.807979,2.506442,8.966569,10.176022,66.774160
45000,67.453244,923.982563,82.481584,0.343323,0.686646,2.978194,2.728858,10.243100,2.795381,2.529581,10.090417,12.397362,264.193207
60000,49.509953,686.280553,159.108709,0.457764,0.457764,3.023552,2.765754,10.562723,3.007135,2.760054,10.487900,11.316548,88.617356
100000,87.369583,1006.629447,113.489042,0.381470,0.762939,3.159690,2.944992,11.276298,3.032940,2.787350,11.073083,12.340537,233.045837
150000,116.463611,888.988702,1963.065791,0.572205,0.572205,3.325800,2.957410,11.476748,3.191542,2.967894,11.331236,8.961078,419.403887
200000,215.497223,1228.429167,175.399209,0.381470,0.762939,5.025196,3.064621,11.618110,3.262029,2.997088,11.590535,12.402215,309.288195
300000,370.407870,1013.804121,1825.262625,0.572205,0.572205,4.971748,3.098921,11.702546,4.833923,3.101885,11.683735,9.039697,91.615694
400000,141.386597,1259.514549,270.648959,0.381470,0.762939,7.125108,3.235721,12.543960,4.966056,3.145031,11.935144,12.371131,351.007327
600000,202.319213,1131.488032,2294.718785,0.572205,0.572205,7.177558,3.332965,12.518812,7.161942,3.329944,12.532773,9.023732,134.547198
800000,173.129184,1432.598178,285.597474,0.381470,0.762939,9.461629,3.589583,14.110375,7.098821,3.431671,12.401550,12.397044,488.720000
1200000,314.872482,1087.109531,2325.907986,0.572205,0.572205,9.533273,3.650954,14.107769,9.523121,3.621460,14.069638,9.067925,167.442974
2200000,330.704261,1320.362367,1051.947538,0.524521,0.524521,14.001387,4.496773,17.620398,13.977965,4.517092,17.638798,10.353521,232.574129
3100000,351.910927,1895.812816,547.840135,0.369549,0.739098,16.911477,8.157108,19.883681,14.400429,4.994879,17.863669,12.459364,796.980184
6000000,386.839017,2351.055135,404.843958,0.357628,0.715256,18.748296,11.098569,23.005269,16.826952,8.421021,20.103248,12.566616,749.584377
10000000,1339.615021,2227.134629,0.000000,0.596046,0.596046,18.755154,11.262040,22.918892,18.816421,11.258244,23.023271,8.454935,1351.177119
