element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,222.000000,521.489583,129.794708,0.500000,0.500000,16.854408,7.304352,12.388998,16.784981,7.210158,12.410521,3.438831,107.645833
110,72.096970,464.330303,141.769625,0.429688,0.859375,17.427490,7.091619,12.370081,17.439558,7.182310,12.407077,4.035630,398.866667
240,72.915278,518.923611,153.025250,0.468750,0.468750,17.279923,7.362660,12.717025,17.224423,7.367310,12.699652,3.811280,98.784722
500,77.513667,492.319667,161.004458,0.488281,0.488281,16.864910,7.445208,12.213656,17.060521,7.425521,12.234906,3.797994,96.444667
800,71.093750,780.711667,129.944375,0.390625,0.781250,19.752831,7.231581,13.869431,19.449940,7.647329,13.643769,4.305912,395.538750
1024,78.159017,503.458659,169.260041,0.500000,0.500000,20.087294,7.586485,13.970410,20.156427,7.549204,13.839452,3.733869,147.745443
1500,79.787111,655.254556,127.369167,0.366211,0.732422,20.696906,8.232896,14.741463,20.471798,7.724864,14.764300,4.585969,415.194667
2048,80.522380,595.486165,177.489084,0.500000,0.500000,21.709248,9.174254,14.745042,22.159629,9.064781,14.902962,3.727403,110.656738
3000,80.076389,722.182944,135.362125,0.366211,0.732422,25.545823,13.699715,17.090573,25.133394,11.308242,20.380710,5.956771,446.194333
6000,84.148139,675.666667,146.278292,0.366211,0.732422,28.141733,16.189438,28.819615,27.789990,16.508688,26.869900,10.021119,444.273167
8192,87.491333,549.164653,194.539250,0.500000,0.500000,28.768992,16.364542,31.018479,27.640058,16.224092,29.647183,8.126744,160.846232
12000,102.593167,688.649319,187.437292,0.366211,0.732422,29.870631,16.862281,31.722223,27.684863,17.016842,32.396921,11.581319,444.873833
16384,98.112305,625.632385,406.738625,0.500000,0.500000,30.298577,17.323796,30.360994,28.489633,17.231525,30.324396,9.968399,102.589945
25000,88.673053,1387.128613,240.143083,0.381470,0.762939,31.787360,17.600352,33.210075,29.113146,17.528852,32.513842,11.581865,455.586667
32768,99.427327,1377.168233,442.689250,0.500000,0.500000,30.723450,17.644604,34.503069,31.933504,17.669923,34.608621,10.284499,107.448151
45000,93.118363,2075.208181,262.293667,0.343323,0.686646,36.340023,17.594144,39.695035,33.709879,17.616931,36.508644,12.291228,518.771296
60000,113.593519,1271.248147,335.188292,0.457764,0.457764,41.515269,17.777692,39.952650,43.278281,17.831144,43.462323,11.349960,120.199078
100000,130.192777,1796.978610,356.508333,0.381470,0.762939,55.377331,17.867162,48.407152,46.607365,17.873696,42.615254,12.230873,832.427777
150000,383.791760,1698.994164,0.000000,0.572205,0.572205,58.580788,18.307779,50.824973,59.757900,18.518604,50.918221,9.021320,240.993982
200000,161.959235,1960.691110,0.000000,0.381470,0.762939,74.680735,19.561794,55.439588,60.237102,19.200110,53.317387,12.317879,727.037292
300000,245.634769,1678.536574,0.000000,0.572205,0.572205,82.726444,20.340550,60.724090,80.604592,20.443400,60.712781,9.011097,167.480323
400000,262.735486,2262.635243,0.000000,0.381470,0.762939,109.691219,22.535429,76.527848,87.360781,21.498187,66.894702,12.360117,724.533854
600000,319.480023,1881.251018,0.000000,0.572205,0.572205,116.015271,23.184196,86.250865,117.065937,25.293937,83.321725,9.013031,228.117917
800000,495.551823,2758.189010,0.000000,0.381470,0.762939,134.881108,28.140098,97.070248,117.035710,28.557819,87.238148,12.354888,1054.561354
1200000,1009.861927,2059.821597,0.000000,0.572205,0.572205,137.708294,32.933261,102.161052,136.541539,32.970115,101.321260,9.068274,409.840729
2200000,621.250899,2290.970360,0.000000,0.524521,0.524521,149.710529,40.765844,111.249685,149.152558,40.183379,111.087192,10.323875,286.621717
3100000,482.445040,3168.509315,0.000000,0.369549,0.739098,158.965875,44.761531,120.717519,150.954858,41.712925,112.667133,12.462425,1284.894978
6000000,434.747177,4167.467646,0.000000,0.357628,0.715256,172.692250,51.887583,133.781040,161.395042,46.287794,122.525877,12.568422,1430.378803
10000000,1744.145667,3226.096179,0.000000,0.596046,0.596046,174.728004,52.723296,135.789994,176.004515,52.992821,135.194514,8.432365,930.889828
