element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,63.156250,377.604167,122.545709,0.500000,0.500000,14.712165,5.852252,11.027544,14.707746,5.815902,10.984404,3.755546,255.208333
110,70.706061,448.674242,126.739375,0.429688,0.859375,15.818958,5.679906,10.851814,15.806987,5.627473,10.866835,4.173815,450.633333
240,86.718056,534.375000,135.512709,0.468750,0.468750,15.364733,5.774946,10.928167,15.508115,5.752575,10.910644,3.906827,165.741667
500,72.750333,533.847667,144.326666,0.488281,0.488281,15.258740,5.944254,10.777850,15.407058,6.133244,10.643133,3.840473,151.333333
800,72.430417,507.161875,120.528917,0.390625,0.781250,18.469525,5.968881,12.160765,16.407762,5.808654,11.836856,4.396738,402.447917
1024,93.702637,482.130208,160.322000,0.500000,0.500000,19.199760,5.911277,12.806129,19.659896,5.855792,12.965217,3.786632,147.813477
1500,140.990778,698.097222,116.673667,0.366211,0.732422,22.824279,6.619563,15.655256,21.807079,6.801019,14.710981,4.577669,416.972222
2048,83.150146,459.516846,163.758542,0.500000,0.500000,26.007923,6.851415,18.735406,24.942858,6.870006,19.094348,3.857746,139.228027
3000,78.194333,619.648167,124.713917,0.366211,0.732422,31.365685,7.803769,24.325406,31.116611,7.309381,25.105642,5.369538,410.004667
6000,82.686333,632.327583,137.550542,0.366211,0.732422,37.255685,9.145708,29.156758,36.276450,9.256169,29.152629,9.238983,430.238389
8192,89.721720,504.963338,197.532333,0.500000,0.500000,38.671121,9.943790,31.099192,38.965750,9.863679,30.754800,8.740191,151.958903
12000,84.931694,655.013903,184.247958,0.366211,0.732422,40.410519,10.380023,32.107979,40.134673,10.321363,31.836229,11.633194,436.645833
16384,173.567871,540.306519,413.115000,0.500000,0.500000,40.991956,10.533417,33.089588,41.657688,10.469327,33.139769,9.861618,128.434082
25000,105.397787,1177.929447,249.764083,0.381470,0.762939,46.377763,10.816646,37.236485,42.683492,10.694629,34.283363,11.892915,422.395000
32768,220.395620,942.407394,443.911167,0.500000,0.500000,48.431415,11.023142,37.873460,46.912002,10.958962,38.285560,10.448439,164.620290
45000,127.038737,1759.318670,277.711042,0.343323,0.686646,58.628173,11.365860,43.905546,50.084908,11.252348,39.205104,12.763267,488.355244
60000,120.643872,1401.351503,424.871584,0.457764,0.457764,62.513190,11.473552,49.649800,70.152175,11.982152,51.016083,11.648769,165.340739
100000,193.323473,1541.264583,387.514334,0.381470,0.762939,83.679235,13.947006,59.669387,75.404165,14.115633,55.131423,12.502050,616.736387
150000,629.648333,1784.236202,0.000000,0.572205,0.572205,83.675763,14.809613,58.981789,87.350719,14.223442,59.780685,9.126698,706.319073
200000,179.908610,2063.226528,0.000000,0.381470,0.762939,121.173600,17.684735,75.355221,94.391250,17.147062,64.810987,12.556958,955.634512
300000,647.512547,1588.053519,0.000000,0.572205,0.572205,134.020040,19.502365,82.271254,126.956177,19.698152,79.146925,9.132533,183.084121
400000,295.128021,2587.203855,0.000000,0.381470,0.762939,154.988971,23.263627,95.968048,130.196452,21.019165,83.005787,12.564348,923.123159
600000,1012.420556,2289.216134,0.000000,0.572205,0.572205,160.004046,25.634410,102.355835,155.646404,26.894548,101.404427,9.165974,580.640393
800000,586.517483,2349.841598,0.000000,0.381470,0.762939,178.662344,32.879550,112.415075,161.725867,29.794244,105.546317,12.583837,1358.659757
1200000,1074.716562,2298.516840,0.000000,0.572205,0.572205,178.913667,34.675385,116.635121,177.530156,34.955906,114.526658,9.283474,820.606702
2200000,499.851799,2832.830615,0.000000,0.524521,0.524521,192.319810,41.032527,127.362988,191.827979,41.547992,128.249860,10.494992,858.252557
3100000,454.548273,3323.837695,0.000000,0.369549,0.739098,209.546923,46.052379,144.107881,195.874737,40.852952,129.216469,12.743917,1251.345363
6000000,595.267431,3325.684299,0.000000,0.357628,0.715256,225.969579,55.093810,157.554773,211.975608,48.217858,133.874556,12.710655,1543.129396
10000000,2223.903848,3591.953252,0.000000,0.596046,0.596046,216.087017,53.241723,151.807460,218.364960,53.517088,152.885244,8.479200,382.381801
