element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,22.562500,293.838542,55.998500,0.500000,0.500000,2.054350,1.952588,2.026606,2.080692,1.952140,2.021279,3.752427,72.916667
110,29.986364,223.546970,60.848708,0.429688,0.859375,2.055662,1.953652,2.022475,2.068283,2.101421,2.020125,4.017444,156.563636
240,29.571528,205.700000,66.482042,0.468750,0.468750,2.060444,2.021333,2.019954,2.062106,2.020238,2.018542,3.853898,55.034722
500,31.902667,193.264000,70.448417,0.488281,0.488281,2.046440,1.982598,2.026029,2.060458,1.982998,2.018927,3.818919,49.639333
800,28.931875,235.191250,50.973375,0.390625,0.781250,2.066354,2.032588,2.020500,2.058904,2.073623,2.021906,4.322488,151.840000
1024,29.690592,197.157064,73.776333,0.500000,0.500000,2.057654,1.979579,2.018167,2.065796,1.976796,2.024844,3.731069,51.541016
1500,29.240889,254.935333,50.666750,0.366211,0.732422,2.088235,2.081425,2.018358,2.051173,2.127254,2.016510,4.480678,160.333333
2048,39.852539,204.881592,77.685250,0.500000,0.500000,2.068015,2.036458,2.026810,2.070192,2.027623,2.034333,3.738588,67.030111
3000,33.618000,264.002389,53.689792,0.366211,0.732422,2.243867,2.011075,2.176648,2.077277,2.047621,2.042790,7.394151,167.083333
6000,36.209444,264.080972,56.385000,0.366211,0.732422,2.152410,2.010242,2.143810,2.174246,2.059046,2.078179,10.942555,180.053222
8192,39.588094,218.917826,83.931791,0.500000,0.500000,2.157360,2.078325,3.187171,2.135242,2.037348,2.371127,8.300683,62.254150
12000,45.609389,274.785875,77.624875,0.366211,0.732422,2.200050,2.029633,4.366242,2.155104,2.087160,4.427919,11.327120,187.045139
16384,40.504456,217.991709,247.138416,0.500000,0.500000,2.212398,2.036954,7.158548,2.228502,2.047492,6.765517,9.839976,76.859355
25000,42.581120,284.550840,81.475500,0.381470,0.762939,2.398477,2.054421,7.716646,2.206794,2.056510,7.841458,11.714694,184.708347
32768,40.578206,228.226344,247.311375,0.500000,0.500000,2.445825,2.082885,8.173125,2.425096,2.085058,8.619477,10.171773,63.060333
45000,47.478085,327.649837,73.024750,0.343323,0.686646,2.636144,2.325244,9.528379,2.444119,2.104246,8.840190,12.309064,188.749074
60000,41.986464,260.313425,139.731458,0.457764,0.457764,2.609585,2.362131,9.612987,2.634308,2.360490,9.547896,11.301855,94.463894
100000,54.828610,339.076943,100.304417,0.381470,0.762939,2.831708,2.565571,10.146173,2.653700,2.384981,9.934996,12.241925,205.535000
150000,65.057593,363.468704,1434.664000,0.572205,0.572205,2.869121,2.600673,10.239781,2.823338,2.586946,10.242088,8.997745,104.921573
200000,96.795208,386.033057,151.247125,0.381470,0.762939,4.371629,2.685212,10.425588,2.820675,2.621456,10.249379,12.365917,258.947292
300000,95.620324,383.584674,1205.071166,0.572205,0.572205,4.446842,2.706833,10.444477,4.386810,2.749013,10.452885,9.037908,98.118472
400000,147.069063,476.250105,213.519334,0.381470,0.762939,6.312583,2.853846,11.169206,4.552406,2.744410,10.420671,12.271673,329.656355
600000,147.209097,481.079306,1012.625659,0.572205,0.572205,6.394906,2.945017,11.195529,6.285006,2.944904,11.131194,9.040790,141.944236
800000,167.251805,606.403576,298.232760,0.381470,0.762939,9.234721,3.197492,12.787815,6.223283,3.041325,11.410650,12.384267,400.866129
1200000,244.073212,617.732257,1266.217118,0.572205,0.572205,9.467879,3.314952,13.138377,9.346208,3.262933,13.316506,9.078401,181.890498
2200000,372.424157,772.794299,788.428693,0.524521,0.524521,13.127327,4.361663,16.186271,13.050512,4.343969,16.549352,10.361831,355.220593
3100000,353.528078,974.223179,421.705538,0.369549,0.739098,15.572425,8.131948,19.489479,13.333208,4.509179,16.884644,12.022905,640.062379
6000000,372.751163,1109.848528,440.494504,0.357628,0.715256,19.058973,10.527104,22.353931,14.958831,7.530308,20.214406,12.631458,719.974012
10000000,400.875623,1001.756325,4500.639965,0.596046,0.596046,17.165606,10.418352,21.441983,17.376500,10.466860,21.350935,8.467648,412.537925
