element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,26.911458,54.255208,48.222125,0.500000,0.500000,13.536523,8.381731,16.423140,13.550963,8.397281,16.724844,4.587458,55.562500
110,31.377273,71.716667,45.236792,0.429688,0.429688,17.845437,7.678227,15.629287,18.003465,7.696423,15.705906,4.614342,73.990909
240,32.811806,72.193750,47.096000,0.468750,0.468750,19.683550,9.004635,16.076123,20.457660,9.023983,16.104927,4.656323,38.600000
500,34.430333,71.388667,48.728500,0.488281,0.488281,20.310410,8.775221,17.789015,19.347854,8.783042,17.805635,4.573665,70.500000
800,38.472500,62.691042,73.529166,0.781250,0.781250,24.340206,14.949008,18.170827,26.487900,14.792925,18.446571,4.495465,54.912917
1024,34.234049,70.861816,53.947667,0.500000,0.500000,20.684154,8.676262,18.849608,20.587712,8.686556,18.950371,4.570200,43.809245
1500,36.532333,62.263889,69.873125,0.732422,0.732422,26.848798,12.287690,20.029975,26.960977,12.308806,19.972777,4.504706,37.194444
2048,34.074626,72.228271,55.930208,0.500000,0.500000,22.675044,9.322704,20.321598,22.975494,9.374629,20.509035,4.569975,43.653646
3000,37.585778,64.898167,71.047125,0.732422,0.732422,29.902467,14.491617,23.366931,30.144604,14.031442,23.337456,4.512691,54.963000
6000,37.741917,78.640028,115.922625,0.732422,0.732422,30.976619,13.989344,24.403854,30.976156,14.099519,24.611910,4.494024,44.398222
8192,36.585510,83.450317,102.795666,0.500000,0.500000,23.349065,9.866210,21.559706,23.462623,9.914442,21.582608,4.565329,42.560140
12000,38.420125,70.256375,200.076708,0.732422,0.732422,31.595756,13.763083,25.377075,32.179415,13.938481,25.296363,4.504593,48.737250
16384,36.800802,81.629852,91.966416,0.500000,0.500000,23.807873,10.349408,22.900573,23.907860,10.302413,22.900231,4.568435,41.017314
25000,42.829160,70.461380,216.110042,0.762939,0.762939,35.225417,16.692829,29.272354,35.352852,16.729788,29.431196,4.509177,50.441120
32768,41.777715,80.920751,218.553083,0.500000,0.500000,25.392296,10.677671,24.127152,25.375952,10.696640,24.052804,4.576530,45.736949
45000,43.531944,72.159259,271.793917,0.686646,0.686646,33.311954,13.475617,26.845181,34.024283,13.573381,26.994819,4.517919,48.196911
60000,41.806017,86.769214,152.738292,0.457764,0.457764,28.783254,10.690656,25.424783,27.343223,10.670550,25.842410,4.623636,44.352778
100000,52.125557,74.949167,261.117791,0.762939,0.762939,48.011769,19.914356,52.357085,48.297719,19.294156,40.585619,4.529712,58.756807
150000,44.167220,83.892316,353.302250,0.572205,0.572205,56.090915,25.321873,46.626231,56.132677,18.779094,46.025652,4.537015,54.948240
200000,51.382013,83.088055,205.190791,0.762939,0.762939,67.903729,28.607819,54.401490,68.388954,27.990029,55.350417,4.510935,60.943332
300000,60.298102,94.353519,258.937208,0.572205,0.572205,79.100719,24.735606,61.223921,76.528625,25.009773,61.377446,4.547201,70.623843
400000,67.317257,93.072883,287.734500,0.762939,0.762939,96.691169,35.335525,92.571600,97.270606,34.494840,78.451321,4.507294,72.009168
600000,79.211481,115.252106,274.632882,0.572205,0.572205,115.615894,32.521335,90.108921,116.292781,30.781983,89.458798,4.527857,82.552453
800000,88.690069,114.242396,307.865026,0.762939,0.762939,133.506542,50.139515,106.992533,134.327654,48.875394,106.436300,4.744750,87.960868
1200000,91.147847,138.739583,285.504809,0.572205,0.572205,136.247429,44.689915,107.570740,135.741900,48.104092,107.849054,4.547263,96.845220
2200000,97.999782,166.780379,287.723693,0.524521,0.524521,142.154056,52.525490,117.084781,141.831854,52.513765,116.569402,4.552032,97.207071
3100000,110.685020,160.195047,348.963340,0.739098,0.739098,156.938748,65.667733,128.683252,156.538871,65.870529,129.099312,4.506486,110.318154
6000000,115.873042,177.788688,363.246472,0.715256,0.715256,163.034829,71.840760,143.044125,163.458135,70.736208,135.003429,4.510587,118.737285
10000000,123.006237,203.667823,328.363187,0.596046,0.596046,157.821954,74.284827,139.505244,157.168227,74.341923,139.826690,4.528940,123.676619
