element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,7.166667,25.395833,15.893208,0.500000,0.500000,2.469052,2.924523,2.688171,2.472210,2.924877,2.691042,4.567194,5.645833
110,7.512121,69.381818,13.715041,0.429688,0.429688,2.477154,3.053223,2.683298,2.477848,3.055169,2.682525,4.592713,5.557576
240,8.218056,27.025694,15.182416,0.468750,0.468750,2.529742,3.324260,2.780392,2.528631,3.293783,2.779629,4.704627,5.670833
500,8.333333,33.764333,16.029625,0.488281,0.488281,2.506081,3.277558,2.719144,2.506292,3.286883,2.722698,4.681250,27.083333
800,11.111458,25.598750,36.014458,0.781250,0.781250,3.299169,3.612900,3.359844,3.317015,3.485335,3.349756,4.552719,14.270417
1024,11.318848,30.816406,16.827792,0.500000,0.500000,2.668337,3.429423,2.812908,2.669942,3.426133,2.781581,4.641105,6.577799
1500,11.213000,79.601667,32.237083,0.732422,0.732422,3.242777,3.425554,3.259906,3.103450,3.415425,3.225935,4.500585,12.833333
2048,7.375000,69.929199,16.967875,0.500000,0.500000,2.638508,3.419467,2.998521,2.642629,3.471827,2.880033,4.573247,8.124512
3000,10.268556,55.423556,33.036000,0.732422,0.732422,3.027358,4.005365,3.151894,3.038554,3.567304,5.267708,4.512654,13.583222
6000,13.410917,47.125028,34.350291,0.732422,0.732422,5.254606,5.391121,5.273177,5.068852,4.465300,7.016838,4.489173,14.629611
8192,9.633382,60.440938,17.642834,0.500000,0.500000,6.197190,3.526265,7.446317,6.026377,3.520454,7.252046,4.556640,9.580811
12000,15.120944,48.554986,35.916375,0.732422,0.732422,11.896438,5.994227,9.335213,13.702777,5.495590,11.678879,4.490444,15.119222
16384,13.785472,54.489553,18.315667,0.500000,0.500000,6.973304,3.685613,9.388796,6.932029,3.686727,9.249960,4.558156,15.055318
25000,19.047220,45.227500,42.187584,0.762939,0.762939,14.890460,7.646219,14.259769,14.830787,7.663158,14.176190,4.497054,19.428333
32768,15.654037,52.785665,19.336833,0.500000,0.500000,7.969337,3.797569,10.213583,7.652019,3.804302,10.306860,4.553435,15.423238
45000,17.575004,47.102622,35.074000,0.686646,0.686646,14.375631,5.654904,12.415329,14.290985,5.671602,12.426173,4.502695,18.154326
60000,12.482408,52.524194,20.038750,0.457764,0.457764,7.854783,3.885862,10.803873,7.838229,3.884638,10.588750,4.613953,12.070600
100000,19.330973,44.277780,57.706875,0.762939,0.762939,17.213235,8.569883,16.098648,17.070231,8.560263,16.074944,4.516698,19.207227
150000,21.439169,49.418796,31.991291,0.572205,0.572205,11.343108,4.999763,12.339546,11.294648,4.991975,12.296537,4.530124,18.592222
200000,24.600348,47.873612,73.989416,0.762939,0.762939,18.270600,9.074102,17.611858,18.258546,9.063177,17.649308,4.497825,23.283752
300000,22.888288,52.356898,40.354458,0.572205,0.572205,12.758217,5.631979,12.951131,12.648733,5.529073,12.922665,4.524927,22.434027
400000,27.816216,49.927500,99.642750,0.762939,0.762939,19.921560,9.373292,18.771908,19.966069,9.367758,18.790479,4.511877,27.991979
600000,27.595718,56.952153,51.291806,0.572205,0.572205,15.480802,7.099587,17.073154,16.049831,7.145148,17.068921,4.536816,28.367477
800000,33.685486,56.473437,125.713697,0.762939,0.762939,23.425046,11.512531,21.330079,23.311446,11.299956,21.324663,4.504508,34.488611
1200000,31.656788,64.964774,57.429063,0.572205,0.572205,16.646279,7.887556,18.039765,16.736973,7.855192,18.065277,4.525151,31.227164
2200000,33.192652,71.738636,54.559280,0.524521,0.524521,16.773138,8.770362,19.364644,16.723690,8.812962,19.377442,4.544701,33.418112
3100000,42.015464,69.807675,143.662406,0.739098,0.739098,26.223681,13.423517,24.890044,26.256431,13.374085,24.883937,4.498456,42.162204
6000000,47.871125,78.336639,144.196997,0.715256,0.715256,27.092885,14.504260,24.963948,27.361471,14.284088,24.903769,4.500767,48.057764
10000000,46.577810,89.521806,78.876010,0.596046,0.596046,22.394650,14.092283,24.764254,22.371933,14.068904,24.743281,4.521415,45.924578
