element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,13.234375,32.979167,25.348459,0.500000,0.500000,11.795773,6.415240,7.846837,11.842327,6.444056,7.805683,4.601423,52.947917
110,13.822727,47.980303,22.439291,0.429688,0.429688,13.290250,5.843694,7.891021,13.363694,5.845102,8.026450,4.696058,27.145455
240,13.600000,39.236806,24.252000,0.468750,0.468750,14.101010,5.373548,8.454906,14.012137,5.395283,8.482538,4.628850,20.716667
500,14.263667,45.055667,25.815416,0.488281,0.488281,15.202461,5.920235,8.726452,15.130019,5.923358,8.892025,4.637400,19.860667
800,16.953125,37.031458,45.308875,0.781250,0.781250,14.913581,8.770035,10.901635,14.719046,8.672002,10.565746,4.551600,31.371667
1024,17.510091,50.387858,25.865458,0.500000,0.500000,16.157956,6.372406,10.266552,16.130319,6.379990,10.515244,4.616325,20.589518
1500,18.930667,95.504556,41.016292,0.732422,0.732422,19.045785,8.767081,12.217265,18.268173,8.737098,12.304113,4.512479,27.527778
2048,16.472819,143.395508,26.730625,0.500000,0.500000,16.954219,6.409975,12.936315,16.915554,6.379292,13.158185,4.573912,19.924479
3000,19.363444,44.446778,42.421250,0.732422,0.732422,22.677763,9.987502,17.495113,22.580962,9.948800,18.359177,4.565170,24.425889
6000,20.087972,61.886528,43.522375,0.732422,0.732422,24.632558,10.055929,20.383740,24.892837,10.022148,20.432123,4.546957,25.233778
8192,16.265869,61.865926,27.084833,0.500000,0.500000,18.295219,6.625954,17.810502,17.964340,6.605056,17.958000,4.675273,21.864176
12000,20.647556,48.670153,44.403292,0.732422,0.732422,26.096360,10.204525,21.805319,26.212411,10.185127,22.082181,4.530286,24.503500
16384,17.212758,60.587992,28.075500,0.500000,0.500000,18.621119,6.557335,19.128227,18.596331,6.578683,18.984287,4.587870,20.346741
25000,23.578880,50.528893,49.319208,0.762939,0.762939,29.081108,13.065937,24.412192,28.905485,13.039083,24.563423,4.526169,26.458880
32768,18.899485,62.025920,30.382583,0.500000,0.500000,19.240914,6.586581,20.306660,19.356402,6.645517,20.061125,4.587603,23.720632
45000,23.380863,52.804630,42.783666,0.686646,0.686646,27.694125,9.349373,22.711798,27.935473,9.393419,22.721050,4.520522,25.550311
60000,19.830092,65.848844,29.333708,0.457764,0.457764,19.292977,6.485992,21.342119,19.021621,6.515694,21.318271,4.639906,22.783333
100000,28.620697,53.371803,58.188042,0.762939,0.762939,32.090933,13.884908,26.643077,32.886802,13.834600,26.992027,4.540219,29.161663
150000,19.578331,56.428333,42.181708,0.572205,0.572205,26.470446,7.839246,24.047487,26.387133,7.799508,23.866802,4.574100,21.027313
200000,25.548403,53.153818,69.378959,0.762939,0.762939,34.206204,14.802081,29.065742,34.195960,17.619083,28.786156,4.616433,27.027638
300000,24.424028,62.117037,53.367750,0.572205,0.572205,30.786877,8.680098,26.044117,30.446873,8.696373,26.002854,4.564231,22.741944
400000,28.069132,54.280347,92.709834,0.762939,0.762939,38.170502,15.564083,32.583712,37.545100,15.689217,32.228254,4.539085,28.811180
600000,28.521296,62.539329,65.534027,0.572205,0.572205,38.774677,9.292525,32.882677,39.057758,9.383292,32.486290,4.588864,29.561273
800000,34.482465,60.834080,127.926146,0.762939,0.762939,47.204717,17.114052,38.477442,46.509744,17.021812,39.372665,4.529267,36.891389
1200000,34.546910,68.638316,84.558402,0.572205,0.572205,49.375508,11.532490,40.753238,49.349152,10.908979,41.543319,4.598838,35.311493
2200000,39.324820,79.634507,89.278333,0.524521,0.524521,54.623390,13.188517,46.600360,54.762138,12.723658,45.260417,4.615294,39.032014
3100000,50.500659,78.783810,156.450948,0.739098,0.739098,65.370629,21.928208,53.730748,67.280629,21.727333,53.093192,4.522728,49.736035
6000000,55.451354,87.881809,152.305743,0.715256,0.715256,66.428110,22.855900,52.419833,67.767633,23.077352,52.262510,4.512996,52.662521
10000000,53.359669,95.104098,118.562783,0.596046,0.596046,61.737240,22.137417,53.740079,62.332771,22.436763,53.893923,4.527335,53.956558
