element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,31.906250,52.515625,52.204000,0.500000,0.500000,11.222573,5.833079,9.330050,11.966596,6.092729,9.406019,4.718025,84.635417
110,26.766667,61.237879,48.126167,0.429688,0.429688,11.512260,6.128573,8.820356,11.729571,6.063413,8.715050,4.645971,62.878788
240,30.960417,72.597917,51.171666,0.468750,0.468750,11.335294,6.108808,8.853415,11.370756,6.130785,8.855017,4.670702,58.737500
500,34.389333,74.208333,55.441291,0.488281,0.488281,11.773017,7.446702,8.668296,11.587092,7.342902,8.785802,4.617729,60.778000
800,38.828125,67.595625,76.745791,0.781250,0.781250,13.505515,7.424058,10.078890,13.702233,6.819923,9.648908,4.541235,61.979167
1024,36.688639,74.835775,56.639042,0.500000,0.500000,13.910119,7.747646,10.894889,13.750475,7.800950,10.721085,4.634828,56.423503
1500,41.217556,66.236000,73.624916,0.732422,0.732422,28.534606,8.558248,11.373404,26.809806,8.315658,11.719573,4.546377,52.768667
2048,38.719971,78.348633,58.713792,0.500000,0.500000,18.578919,8.702206,14.834192,20.513117,8.828927,14.504964,4.607733,52.707520
3000,41.379667,70.766167,82.237083,0.732422,0.732422,31.053775,10.283606,21.198636,30.234806,11.878019,19.511888,4.515260,56.282556
6000,42.517333,71.435139,80.488625,0.732422,0.732422,34.810246,13.279065,26.744763,34.960315,13.602640,27.006160,4.526299,56.219944
8192,39.642334,79.274516,62.764500,0.500000,0.500000,27.872240,10.805121,24.127081,28.340573,10.869629,24.142767,4.585606,56.581299
12000,43.214125,73.763292,98.999333,0.732422,0.732422,37.486092,15.074267,28.411817,37.322135,14.997575,28.810473,4.510488,59.854194
16384,39.760579,85.171183,83.207875,0.500000,0.500000,30.209231,11.692554,26.504969,30.081315,11.627292,26.355660,4.593066,50.636312
25000,48.086673,76.604993,114.484458,0.762939,0.762939,40.847871,16.856227,31.360490,41.027735,16.915673,31.587412,4.521525,59.344440
32768,44.524933,86.673304,100.871666,0.500000,0.500000,32.062619,12.202369,27.859121,32.578361,12.236423,28.132646,4.601763,59.896688
45000,51.238274,84.119752,168.640041,0.686646,0.686646,43.387173,15.075019,32.099133,42.442177,15.129292,31.171733,4.535938,61.016052
60000,44.332758,93.804508,121.142542,0.457764,0.457764,42.249671,12.712110,32.154490,42.496875,12.517465,32.242585,4.646368,64.192822
100000,54.265970,78.642080,159.062209,0.762939,0.762939,57.467267,20.897408,44.533710,56.833748,21.010250,43.282106,4.537892,61.540830
150000,45.064722,87.339167,180.466750,0.572205,0.572205,57.311310,17.622998,43.283190,59.586223,18.959035,42.276571,4.561236,64.158704
200000,53.013888,84.527430,240.052416,0.762939,0.762939,77.379483,25.030423,52.498144,73.658369,23.983033,51.900744,4.565062,68.184862
300000,58.987082,92.988658,225.013791,0.572205,0.572205,84.993669,21.618589,62.168173,85.906479,20.238146,59.532202,4.565941,69.139537
400000,61.812014,91.729304,239.064458,0.762939,0.762939,93.286329,30.214435,70.618448,96.802185,27.062752,69.992523,4.520185,72.883021
600000,71.098264,111.274953,265.323785,0.572205,0.572205,111.704746,25.886604,78.378125,106.068621,27.084769,79.524225,4.596387,81.523588
800000,78.322917,107.787917,276.331328,0.762939,0.762939,123.524385,34.754804,90.270719,123.973892,37.554608,90.549140,4.540444,83.136736
1200000,84.581302,128.653351,275.590607,0.572205,0.572205,124.226329,36.103963,90.664535,124.998460,34.370790,89.136767,4.616546,87.373414
2200000,89.362690,151.156023,286.790625,0.524521,0.524521,131.562267,40.689800,97.029702,130.677610,40.220563,95.678060,4.623966,89.225657
3100000,97.518448,145.235383,336.283676,0.739098,0.739098,144.956777,46.674635,105.353548,145.226027,46.874502,103.961621,4.523744,101.179189
6000000,105.086493,162.914649,345.336722,0.715256,0.715256,142.178715,47.607173,102.140377,142.158671,47.454898,101.340306,4.509332,99.116363
10000000,107.170115,182.411121,315.515067,0.596046,0.596046,144.363775,53.185492,112.196171,145.200533,54.287510,112.780219,4.566654,108.372867
