element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,27.776042,55.984375,48.383292,0.500000,0.500000,13.371598,6.388637,10.122210,13.495258,6.344098,10.088429,4.506229,87.677083
110,28.534848,64.960606,43.917208,0.429688,0.429688,14.519275,5.752765,10.176529,14.442579,5.762740,10.020958,4.634890,46.209091
240,29.687500,60.850000,46.418333,0.468750,0.468750,16.503038,6.897217,10.295083,16.532023,6.863958,10.361967,4.604992,58.737500
500,32.569333,65.222000,47.668333,0.488281,0.488281,16.949019,6.142981,12.108448,16.943840,6.147631,12.269221,4.611781,80.666667
800,37.178750,59.184375,78.686666,0.781250,0.781250,18.079929,10.708544,11.628725,19.435081,10.807871,12.190344,4.516798,54.878750
1024,32.084147,67.274414,52.823792,0.500000,0.500000,18.857690,6.763487,15.077821,20.083506,6.795135,15.054733,4.616002,58.335938
1500,35.838000,59.949111,71.238000,0.732422,0.732422,22.266148,10.538306,13.467956,23.184371,10.743429,14.865800,4.493288,56.064667
2048,32.124837,67.104818,55.291000,0.500000,0.500000,20.069560,6.958631,16.453727,20.057342,6.835862,16.471096,4.604875,47.492025
3000,37.435167,62.636611,73.269667,0.732422,0.732422,26.034444,10.819163,17.951542,25.658567,11.068592,18.319479,4.504710,51.597222
6000,37.415528,75.568250,72.363292,0.732422,0.732422,27.223604,11.131515,21.272435,27.219698,11.366827,21.887531,4.549946,58.282444
8192,35.196960,83.002747,93.030833,0.500000,0.500000,21.887865,7.745458,19.603492,21.741863,7.718329,19.525402,4.578430,47.865112
12000,36.896986,73.431722,123.136917,0.732422,0.732422,30.016840,11.942969,23.979283,29.898273,11.988137,23.996221,4.543604,56.605306
16384,36.242594,78.711609,78.742791,0.500000,0.500000,21.898794,7.907823,21.174106,21.934667,7.912406,21.069304,4.593156,52.847127
25000,46.202493,77.086380,135.682000,0.762939,0.762939,33.282042,14.647071,28.206379,34.174654,14.764496,27.925681,4.536102,53.666120
32768,39.003377,79.384059,99.905667,0.500000,0.500000,23.619225,8.130979,22.783246,23.726585,8.307865,22.604050,4.579972,53.484172
45000,52.253859,73.653237,143.484458,0.686646,0.686646,36.376933,11.610017,25.790850,32.310321,11.494221,27.120563,4.551294,59.809889
60000,41.490856,83.086572,140.164791,0.457764,0.457764,27.043096,8.180087,24.655635,28.076010,8.175588,24.381458,4.642611,54.822456
100000,57.529583,71.881247,188.899875,0.762939,0.762939,46.872235,17.232390,38.650421,49.687340,16.960250,38.389702,4.533271,62.514030
150000,43.551111,78.808149,216.417375,0.572205,0.572205,54.086762,13.120304,38.578467,53.415054,13.719215,38.170102,4.560653,59.593242
200000,54.939305,76.344097,252.152375,0.762939,0.762939,64.729677,23.074810,49.851100,65.240840,23.964048,49.609373,4.573860,68.961112
300000,63.410786,94.174722,322.976583,0.572205,0.572205,81.201400,19.936429,53.947775,80.955258,21.239586,55.751090,4.600158,72.108056
400000,69.431076,93.518126,312.056041,0.762939,0.762939,100.404067,31.704310,75.873125,99.090269,30.999206,68.445548,4.524063,80.904792
600000,80.628148,111.313449,295.210729,0.572205,0.572205,113.133642,26.190083,76.350290,112.466056,26.942112,75.635277,4.540529,88.074005
800000,92.027274,116.897882,342.243021,0.762939,0.762939,129.712577,42.810609,93.156435,130.405850,42.086990,92.203454,4.544350,92.034843
1200000,96.150104,137.203681,307.080695,0.572205,0.572205,134.555394,37.693729,91.348860,137.877456,37.558213,91.003079,4.586569,100.205254
2200000,104.428892,169.100616,320.826629,0.524521,0.524521,135.919785,41.270398,91.868269,135.632198,40.758008,92.617798,4.568759,96.077241
3100000,116.696626,158.915726,375.938239,0.739098,0.739098,158.337431,57.032025,112.983952,161.217260,56.949619,113.249100,4.551571,119.099650
6000000,129.003774,183.849261,399.050125,0.715256,0.715256,167.113756,62.312250,118.071104,168.399896,61.857494,116.520129,4.556866,128.231937
10000000,130.564017,208.740263,359.800567,0.596046,0.596046,152.307694,60.643456,111.393846,151.907581,60.276104,111.339773,4.523075,118.364181
