element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,14.541667,34.937500,31.688375,0.500000,0.500000,10.653469,5.183754,7.435054,10.665123,5.191144,7.442608,4.630329,46.885417
110,14.459091,40.845455,30.540916,0.429688,0.429688,10.846060,5.176692,7.750983,10.835608,5.198400,7.804467,4.638592,35.984848
240,15.247917,38.050000,31.047167,0.468750,0.468750,10.405613,5.241025,7.767125,10.469669,5.139662,7.704219,4.759812,27.779167
500,18.778000,49.319667,31.745416,0.488281,0.488281,10.568833,5.744813,7.834710,10.703987,6.090454,7.922413,4.609429,29.889333
800,21.310833,47.161667,51.919167,0.781250,0.781250,11.362802,6.173952,8.468948,11.583867,6.167683,8.471642,4.523537,35.676667
1024,18.446289,55.935221,33.361250,0.500000,0.500000,11.894821,6.752354,8.028917,11.412398,6.928583,8.376681,4.601913,28.930339
1500,24.000111,51.972222,47.786042,0.732422,0.732422,15.243488,7.329827,9.971100,15.904819,7.503273,10.266581,4.509708,32.750000
2048,20.311279,61.228353,33.449041,0.500000,0.500000,16.052869,8.299044,10.862039,15.146342,8.059990,10.221148,4.606898,28.672689
3000,24.550944,52.705944,49.377125,0.732422,0.732422,22.244567,9.596269,17.872629,21.575742,9.394644,16.303629,4.521741,31.287000
6000,25.993028,67.065972,54.279083,0.732422,0.732422,29.240848,11.506885,22.950025,29.164383,11.479406,23.424663,4.527584,31.166667
8192,23.072957,69.745402,34.913000,0.500000,0.500000,23.940252,10.319606,21.270469,23.817921,10.362262,21.303177,4.598704,29.256226
12000,26.700819,59.901639,53.982125,0.732422,0.732422,31.477048,13.825721,25.704475,31.604669,13.725858,25.629365,4.516322,31.193278
16384,22.978872,71.830332,36.209959,0.500000,0.500000,25.617858,11.054531,22.900148,25.593719,11.146063,22.675740,4.608465,24.882853
25000,29.061947,67.606113,57.309083,0.762939,0.762939,34.421481,16.493765,28.285810,34.146117,16.197519,28.379954,4.534813,32.639440
32768,25.612935,72.799688,41.923083,0.500000,0.500000,26.579106,11.763779,24.017023,26.453881,11.710765,24.098338,4.596358,30.135691
45000,30.998770,64.437337,52.079250,0.686646,0.686646,33.980640,14.722831,27.285704,33.763531,14.627871,27.417798,4.537276,33.546600
60000,26.057872,78.782294,43.516167,0.457764,0.457764,27.200629,11.869619,25.475385,27.020079,11.795600,25.484646,4.650798,33.776161
100000,36.124303,64.693193,70.856041,0.762939,0.762939,38.513871,17.624240,31.883090,38.189552,17.468331,32.114721,4.594040,35.272227
150000,25.846204,64.648242,57.639375,0.572205,0.572205,33.731527,12.758733,28.083385,33.383758,12.958400,29.101115,4.547570,28.383702
200000,31.340555,60.453890,95.521500,0.762939,0.762939,41.928706,18.688094,35.027615,42.149454,18.631242,34.919288,4.521019,34.075347
300000,30.000417,67.957826,78.360291,0.572205,0.572205,40.932935,13.845602,32.078265,38.527290,13.666498,31.030085,4.555966,29.848240
400000,34.078645,62.819132,125.121500,0.762939,0.762939,48.149496,19.541510,38.544240,47.209485,19.567073,38.735658,4.556798,36.119722
600000,33.407917,71.747361,98.077639,0.572205,0.572205,51.873556,14.589858,40.127208,50.919940,14.586602,39.599492,4.646908,38.487083
800000,41.343073,69.493195,153.843281,0.762939,0.762939,71.622771,24.637004,55.057229,67.131135,21.750281,48.053015,4.520590,45.802257
1200000,42.499288,81.073143,121.459010,0.572205,0.572205,65.115475,16.701977,50.636417,66.328704,16.782215,49.579379,4.618756,45.485671
2200000,48.901553,96.841733,122.552102,0.524521,0.524521,73.553573,19.950523,56.499590,73.529998,19.565119,57.192644,4.602756,49.943422
3100000,59.198622,95.032104,188.442225,0.739098,0.739098,86.004950,28.016321,63.428852,85.375010,27.919715,64.059508,4.544837,57.944050
6000000,63.458760,105.310663,196.165694,0.715256,0.715256,90.604233,30.953558,67.443340,90.907429,30.921690,66.920825,4.537014,64.119699
10000000,66.596375,119.930396,154.569831,0.596046,0.596046,81.325677,28.564665,64.436142,81.657119,28.708102,64.573725,4.525121,60.515875
