element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,36.671875,67.494792,51.696791,0.500000,0.500000,18.365354,13.137504,12.224837,18.743275,13.082277,12.406575,1.986650,46.000000
110,42.422727,69.881818,65.703500,0.859375,0.859375,20.491035,14.816360,13.074206,20.734365,14.644948,13.017379,1.127295,69.066667
240,45.775694,75.231250,55.730625,0.937500,0.937500,21.911867,17.053179,15.982267,21.920000,16.867192,15.890085,1.201378,48.438889
500,39.041333,94.111333,59.202708,0.488281,0.488281,19.103504,16.463123,19.801731,19.073317,16.748965,19.505535,1.908669,40.166000
800,45.972500,80.711667,82.504667,0.781250,0.781250,23.612175,19.685735,21.691800,23.716587,19.794490,21.395177,1.271344,47.222500
1024,37.868978,95.330241,61.624834,0.500000,0.500000,20.915788,18.772298,23.617417,20.981910,18.537104,23.278475,1.935161,36.702148
1500,45.208333,84.236111,72.002875,0.732422,0.732422,24.321713,21.564373,25.370756,24.634217,22.053071,25.233040,1.379719,47.120444
2048,40.588460,99.904460,68.707792,0.500000,0.500000,22.158942,19.837198,26.605848,22.166358,20.144146,26.871217,1.911810,40.520508
3000,45.379611,86.870389,94.523042,0.732422,0.732422,26.006981,23.891537,30.381069,26.324327,23.868729,30.384952,1.637647,46.282444
6000,46.575250,107.246528,163.352791,0.732422,0.732422,26.162394,25.356469,33.723544,26.371181,25.106858,34.135804,1.828797,47.511556
8192,39.993245,102.587402,98.256875,0.500000,0.500000,23.383669,21.623967,31.995506,23.356754,21.640913,32.054665,4.797527,40.924072
12000,49.127292,93.076403,135.610375,0.732422,0.732422,27.364033,26.556738,36.644062,27.668785,26.072421,36.328962,2.432518,50.137750
16384,42.946716,110.711426,197.628625,0.500000,0.500000,24.426594,22.370829,33.995475,24.419773,22.473619,34.066704,6.135118,47.342936
25000,50.293340,92.425833,293.731083,0.762939,0.762939,28.853046,27.028150,39.827460,28.688644,27.453998,39.653527,2.819235,52.829440
32768,43.355733,117.082606,218.255583,0.500000,0.500000,27.171442,23.429127,37.350544,25.775219,23.222208,36.466487,6.662678,51.631510
45000,51.161115,103.510030,295.999542,0.686646,0.686646,33.624890,28.688250,42.760540,34.066950,28.853540,44.634844,4.096461,56.507104
60000,60.635069,99.938772,316.625166,0.915527,0.915527,44.963771,36.090133,51.199421,44.655402,35.793817,51.324850,1.578688,66.459022
100000,63.798193,110.446527,220.159958,0.762939,0.762939,65.304133,48.155037,68.648179,66.108748,48.014285,69.096354,3.307200,67.874303
150000,66.158056,133.951204,219.335000,0.572205,0.572205,73.082769,50.282229,73.355479,73.323894,59.139915,80.907675,6.277558,72.863798
200000,76.797847,128.483472,249.899833,0.762939,0.762939,85.711377,59.750181,83.555473,86.118063,59.127121,83.334433,3.426654,79.011807
300000,80.352593,155.382592,282.263875,0.572205,0.572205,118.203958,82.689571,104.388375,119.430206,83.709958,103.784906,6.819036,86.846481
400000,96.263854,152.266425,304.932542,0.762939,0.762939,127.072575,85.089102,125.749779,129.585165,85.566935,118.842650,3.780898,96.977673
600000,102.119977,195.570926,306.768125,0.572205,0.572205,152.849021,94.304834,133.077394,149.346765,96.816135,133.355975,7.030780,109.820717
800000,119.881285,190.547430,356.108776,0.762939,0.762939,153.303669,104.301783,143.394379,159.993098,105.270337,146.264427,3.999831,127.170833
1200000,121.246025,234.844098,365.409844,0.572205,0.572205,165.490315,107.004212,148.537079,164.062725,107.683708,148.478196,7.392915,127.733947
2200000,129.076468,278.946979,364.724422,0.524521,0.524521,171.997506,113.168321,155.582331,170.252992,111.901512,155.253756,8.908485,133.880215
3100000,152.407970,258.942063,432.636720,0.739098,0.739098,186.775423,123.122467,166.910321,182.536031,122.042248,165.506985,5.232780,156.348692
6000000,157.678389,286.115125,462.467399,0.715256,0.715256,187.512698,126.676404,171.017883,188.917794,127.595444,170.226940,5.587783,166.951931
10000000,151.477223,319.229458,428.505494,0.596046,0.596046,191.135262,126.735985,174.773931,193.294775,126.611206,173.457917,7.592125,161.428907
