element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,7.385417,24.744792,15.097542,0.500000,0.500000,1.943027,1.671288,1.866206,1.942146,1.672077,1.867721,1.967919,6.072917
110,10.922727,25.631818,25.068667,0.859375,0.859375,2.182838,2.016902,2.031279,2.183425,2.015887,2.028060,1.129693,5.933333
240,10.619444,21.151389,14.114542,0.937500,0.937500,2.210500,2.054933,2.188762,2.210381,2.053485,2.193900,1.103614,7.579167
500,8.513667,30.986000,14.883458,0.488281,0.488281,1.949925,1.675571,1.814779,1.945558,1.673164,1.813456,1.980290,5.277333
800,8.750417,25.685625,23.925167,0.781250,0.781250,2.082719,1.813225,1.942425,2.081721,1.814392,1.940762,1.255231,7.361250
1024,7.161296,36.180176,15.726542,0.500000,0.500000,2.120535,1.750227,1.906608,2.109331,1.746652,1.899173,1.898852,6.306966
1500,10.138889,75.768556,23.288375,0.732422,0.732422,2.297694,2.043746,2.189300,2.303769,2.055275,2.151169,1.349380,18.425556
2048,9.036621,131.066243,16.311875,0.500000,0.500000,2.229154,1.885060,2.063940,2.225498,1.883004,2.058638,2.298555,9.406413
3000,11.550944,64.444556,24.270250,0.732422,0.732422,2.373660,2.078923,2.226721,2.374883,2.074708,2.224092,1.660577,15.398111
6000,14.785889,56.704833,25.112875,0.732422,0.732422,2.498171,2.121779,4.117254,2.465737,2.125588,4.186008,1.728319,17.289278
8192,10.737915,75.165649,17.174292,0.500000,0.500000,2.925567,4.365583,9.395008,3.459277,4.728190,9.688277,4.163823,12.324015
12000,16.670722,58.951375,25.768458,0.732422,0.732422,5.417054,7.754983,12.445137,5.473700,7.371956,12.536565,2.362419,17.900472
16384,12.089630,66.797475,17.655625,0.500000,0.500000,4.711563,6.292271,11.781921,4.500550,6.207350,11.699925,5.545316,16.223470
25000,18.245827,52.894727,27.878250,0.762939,0.762939,6.470385,10.689325,14.578387,6.562012,10.615042,13.878446,2.685140,21.128333
32768,12.475962,66.412394,18.532875,0.500000,0.500000,5.125962,7.941388,12.481729,5.346825,7.871075,12.183042,6.764545,16.150167
45000,16.802933,57.922219,26.299625,0.686646,0.686646,6.815196,10.952477,15.004142,6.837535,11.005790,15.172019,4.059195,19.417896
60000,23.690625,53.140047,21.576583,0.915527,0.915527,8.813338,12.749194,16.985179,8.887535,12.719788,17.031267,1.566168,25.181250
100000,21.053333,54.019303,35.443166,0.762939,0.762939,9.124469,13.186069,19.350669,9.348292,13.358390,18.542639,3.187704,20.709307
150000,19.399631,61.535740,30.625208,0.572205,0.572205,9.587900,11.966948,19.396098,9.577879,12.118096,19.384194,6.063269,21.939167
200000,24.306805,58.704028,42.912833,0.762939,0.762939,11.529092,14.939571,22.256371,11.487710,14.919317,21.780331,3.277771,26.223125
300000,22.077546,66.827408,37.980750,0.572205,0.572205,11.427881,13.347456,20.287575,11.335433,13.316858,20.752385,6.478820,25.680139
400000,27.881632,61.491841,53.702959,0.762939,0.762939,13.669910,16.142204,24.574527,14.533275,16.578329,24.566887,3.666473,32.337673
600000,26.692754,72.539283,47.165208,0.572205,0.572205,14.112181,15.129902,23.411675,14.292798,15.123663,23.528479,7.197972,30.473634
800000,33.760243,69.609028,66.446797,0.762939,0.762939,16.772823,18.132288,26.854619,16.662031,18.140604,26.953808,4.269121,37.842222
1200000,32.094375,82.295815,54.285139,0.572205,0.572205,16.286215,17.063994,24.328787,16.322038,17.019323,24.295925,7.407759,36.048646
2200000,33.785114,95.658542,54.054953,0.524521,0.524521,16.941683,17.005463,23.722625,16.933958,16.964998,23.817188,9.685597,38.971225
3100000,46.223925,92.929482,81.391835,0.739098,0.739098,19.901098,20.347554,30.718719,19.912254,20.381640,30.710119,6.045077,49.725305
6000000,48.313924,101.414639,83.551934,0.715256,0.715256,20.210646,20.307054,30.645852,20.213800,20.317596,30.164627,6.549290,53.656630
10000000,42.582344,116.938271,68.816637,0.596046,0.596046,19.014617,18.755679,27.424021,19.062185,18.802067,26.692565,8.506860,49.268735
