element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,14.312500,38.401042,27.270500,0.500000,0.500000,8.370533,4.518448,6.637129,8.364044,4.513450,6.641602,1.972006,12.145833
110,15.022727,40.403030,38.497125,0.859375,0.859375,8.849737,5.712490,7.474077,8.847827,5.701798,7.484333,1.131587,19.315152
240,18.431250,35.415972,26.811334,0.937500,0.937500,9.176375,5.134954,7.203846,9.175188,5.133260,7.199400,1.171399,18.925000
500,13.389333,51.166667,27.313125,0.488281,0.488281,8.645644,4.635758,6.539394,8.654029,4.512812,6.508121,1.939269,30.222667
800,17.283125,49.522500,36.204625,0.781250,0.781250,9.866125,5.016754,6.908327,9.023198,4.950629,8.971258,1.247129,21.996667
1024,13.983887,63.415527,27.748125,0.500000,0.500000,11.022138,4.934350,6.820415,9.521742,4.646267,6.816969,1.888971,17.388021
1500,18.110889,55.717444,35.300250,0.732422,0.732422,11.273844,4.982485,6.799137,13.351952,10.437865,13.456433,1.349612,29.000000
2048,15.258708,70.237793,28.947166,0.500000,0.500000,11.627538,5.442208,9.997577,14.799890,12.238296,16.712652,1.896633,18.276855
3000,21.451500,58.027778,37.052667,0.732422,0.732422,17.107288,17.081883,18.649725,16.780092,17.278435,18.152858,1.351709,24.652667
6000,23.329861,71.170111,38.674833,0.732422,0.732422,20.834467,19.071654,24.372800,20.572938,19.184298,24.132458,1.439458,25.743056
8192,19.441386,81.871053,30.945916,0.500000,0.500000,19.104535,16.539975,23.560081,18.989242,15.296069,23.468067,4.238780,20.458618
12000,24.785875,67.844903,40.033000,0.732422,0.732422,21.940237,19.751608,27.720854,22.014238,19.791175,27.641198,2.094900,26.476889
16384,20.272156,81.266184,31.588750,0.500000,0.500000,19.394790,16.925929,25.636004,19.347185,17.040231,25.620779,5.628564,21.349589
25000,26.656113,64.357493,42.698375,0.762939,0.762939,22.967948,21.537121,29.238398,22.428202,22.342883,29.125040,2.550979,28.275027
32768,20.226583,81.658051,32.359500,0.500000,0.500000,20.128044,17.578517,26.892558,20.533850,17.731746,26.529848,6.660299,23.897797
45000,25.235181,69.379474,40.487625,0.686646,0.686646,22.422110,21.469881,29.199883,22.488044,21.622048,29.388910,3.951248,27.583341
60000,31.747683,65.291556,33.985000,0.915527,0.915527,24.883810,24.078044,32.423902,24.914235,24.098646,32.259262,1.502713,33.700467
100000,28.012917,69.317083,47.071666,0.762939,0.762939,24.078210,23.633958,31.477696,23.775887,23.521854,31.380448,3.118352,29.916387
150000,23.695278,78.571760,44.264416,0.572205,0.572205,23.746502,21.882785,31.237419,23.923821,22.052690,31.157146,6.129368,25.336944
200000,29.260278,70.414377,71.598250,0.762939,0.762939,26.705656,26.036585,35.252400,26.039292,25.442077,34.183185,3.250056,30.675070
300000,28.725047,80.186018,54.094667,0.572205,0.572205,29.840667,26.118437,37.953100,29.836664,26.272381,37.992373,6.610624,29.706066
400000,35.079028,74.854514,69.554042,0.762939,0.762939,32.292615,30.520323,41.337525,32.292538,30.499983,41.318250,3.666369,36.033611
600000,32.593148,87.771875,65.862188,0.572205,0.572205,34.330692,28.387510,41.704779,35.056902,28.954121,41.680973,6.794095,38.306621
800000,39.610729,81.143264,85.152083,0.762939,0.762939,37.053683,32.729254,44.981587,36.943046,32.775381,45.057554,3.875598,43.161875
1200000,39.419879,95.118247,84.354531,0.572205,0.572205,45.100952,34.079808,51.145473,45.025125,34.114721,50.932296,7.191236,43.399039
2200000,45.493428,109.565502,90.098778,0.524521,0.524521,51.414717,37.373069,56.934329,51.384967,37.524181,56.928058,8.733316,50.114571
3100000,56.477124,102.388071,119.551284,0.739098,0.739098,56.552162,43.495535,62.515386,56.066844,43.188679,62.091423,5.140013,60.312639
6000000,60.733392,114.609653,125.177566,0.715256,0.715256,59.393117,45.230346,65.605608,59.582096,45.215248,65.473662,5.474161,63.536870
10000000,55.192683,127.582119,109.304852,0.596046,0.596046,58.122042,43.197092,64.065935,58.357742,43.186056,64.050027,7.381875,59.444806
