element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,30.812500,54.255208,52.578375,0.500000,0.500000,11.383471,5.219381,8.723154,11.370040,5.201631,8.752554,1.860596,30.375000
110,30.304545,51.136364,64.278000,0.859375,0.859375,12.250581,5.876808,9.163179,12.254779,5.872377,9.162998,1.199763,28.533333
240,33.594444,51.938889,51.804791,0.937500,0.937500,12.296437,6.038206,9.090310,12.273031,6.040188,9.098125,1.081573,37.790278
500,32.763667,74.972333,53.611292,0.488281,0.488281,11.937131,5.218779,8.530854,12.141867,5.261379,8.577088,1.938819,78.444667
800,36.085208,68.168750,65.619417,0.781250,0.781250,17.525690,5.922506,9.946008,14.356492,5.898298,9.785494,1.319269,49.375417
1024,35.007161,84.771159,58.244042,0.500000,0.500000,18.830727,5.995181,10.629723,15.793408,6.184425,10.691085,1.928159,38.058594
1500,39.861222,78.092778,70.596000,0.732422,0.732422,17.723806,7.029873,11.313204,24.023102,7.315063,11.165331,1.365157,43.610889
2048,36.407471,91.322103,60.442417,0.500000,0.500000,23.675144,9.737963,12.398069,23.802488,9.433206,12.289267,1.932853,37.285970
3000,42.685167,81.472222,69.177291,0.732422,0.732422,27.269498,16.061444,20.833615,26.598223,17.107527,28.284165,1.410527,50.578667
6000,44.741944,83.964083,70.624542,0.732422,0.732422,27.032360,20.902983,27.450904,28.921310,19.574092,27.332792,1.710810,47.414389
8192,39.295634,99.732320,63.474000,0.500000,0.500000,25.830150,15.733202,29.436804,25.998546,19.033131,27.363904,5.503637,40.712158
12000,45.914917,88.189222,83.335834,0.732422,0.732422,29.557887,21.721160,31.971613,29.579154,20.866233,33.263173,3.045685,47.296278
16384,40.809214,104.377747,83.229042,0.500000,0.500000,27.285077,19.146652,31.692317,27.251096,18.496352,31.430721,6.992133,40.629069
25000,48.549167,89.093613,103.941416,0.762939,0.762939,31.064523,23.629881,35.593642,31.181338,23.798258,35.543156,3.286117,48.244987
32768,41.274389,103.980169,106.058000,0.500000,0.500000,28.981104,20.225835,33.133223,28.903694,20.207815,33.340788,7.476118,43.762634
45000,46.224381,91.439656,133.873042,0.686646,0.686646,33.502558,23.941212,36.853694,32.999971,23.429390,37.327086,4.548822,49.479326
60000,54.578242,88.693867,125.372125,0.915527,0.915527,37.892377,26.180204,40.480310,37.849606,26.148321,40.672604,1.688232,57.771989
100000,52.159997,93.686250,188.009875,0.762939,0.762939,47.342094,28.259560,48.263846,46.866110,29.060727,47.176373,3.436744,55.086527
150000,50.954907,107.500187,202.978875,0.572205,0.572205,53.887296,30.948640,53.809810,54.737673,29.890592,53.782392,6.436447,55.685644
200000,58.970835,102.247292,197.768416,0.762939,0.762939,57.907244,33.945769,54.434281,56.656892,33.882946,54.794685,3.469777,62.421388
300000,58.713797,116.777731,253.960667,0.572205,0.572205,76.385054,34.780931,65.495671,72.170863,34.733787,64.352173,6.825085,64.646112
400000,67.130729,112.774618,255.369458,0.762939,0.762939,77.296577,38.731546,66.298310,77.627504,40.120812,65.426777,3.838625,72.040034
600000,68.348288,139.380672,253.296389,0.572205,0.572205,99.426746,43.587342,82.572644,99.036710,42.095381,83.826208,7.012941,75.992685
800000,78.037587,131.250451,284.959401,0.762939,0.762939,108.631469,48.510283,87.226115,106.179373,49.171181,87.906125,4.024446,83.501598
1200000,84.271389,162.480850,289.537170,0.572205,0.572205,117.882815,52.357865,100.936354,116.889227,52.293906,99.549621,7.486695,88.666203
2200000,93.503229,188.923996,278.039725,0.524521,0.524521,124.856829,55.970104,108.066706,125.644983,56.040902,107.623390,8.940623,99.597235
3100000,108.400981,175.904765,315.847386,0.739098,0.739098,132.883452,62.704923,110.081254,132.400281,62.881775,111.534162,5.259825,112.672979
6000000,114.279736,201.325035,329.983243,0.715256,0.715256,136.912710,65.008927,115.533594,136.787215,65.222536,115.590354,5.613403,117.880843
10000000,109.307165,225.328798,310.394806,0.596046,0.596046,138.099225,63.529029,118.244798,137.673015,63.478187,118.298719,7.592435,115.449776
