element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,32.338542,60.979167,46.699292,0.500000,0.500000,12.439242,7.303827,10.534158,12.468540,7.307356,10.531698,2.376135,36.020833
110,27.271212,57.450000,46.307375,0.429688,0.859375,12.594165,6.752562,9.921110,13.336921,8.065019,10.574983,2.389200,62.375758
240,29.572222,58.507639,47.066166,0.468750,0.468750,12.653596,7.248494,10.348706,13.031035,7.261075,10.280010,2.398756,35.361111
500,32.374667,58.597000,48.396333,0.488281,0.488281,14.446531,7.589185,10.151850,12.995006,7.484808,10.132458,2.369546,70.750000
800,33.133958,71.249792,54.977083,0.390625,0.390625,18.419273,7.244492,11.593027,15.904933,7.276052,11.751698,2.531327,99.218333
1024,35.610514,66.941895,52.152500,0.500000,0.500000,17.208129,9.471627,12.548190,17.394767,9.907867,18.889977,2.347045,41.381836
1500,35.897889,79.495444,56.209750,0.366211,0.732422,22.850135,11.276752,13.606708,28.260444,10.938760,28.295529,2.636739,78.416889
2048,38.753988,70.037842,52.695750,0.500000,0.500000,22.440550,11.319625,22.142789,23.124867,11.060950,29.912365,2.372294,40.547363
3000,37.585667,87.386611,57.648709,0.366211,0.732422,23.536160,17.872408,22.953025,32.731171,19.481383,27.550894,2.680135,87.083444
6000,38.180583,84.909722,59.498458,0.366211,0.732422,27.163079,18.831902,32.289683,40.536169,30.091033,36.153881,5.259390,80.861167
8192,41.443705,75.894653,56.309667,0.500000,0.500000,32.778512,23.944173,35.793940,32.009062,24.517721,34.257354,4.636137,49.616455
12000,39.081597,88.138889,70.712917,0.366211,0.732422,29.576125,22.701304,33.285681,41.984510,31.337900,38.086202,7.039278,79.679389
16384,42.648326,80.379486,77.415333,0.500000,0.500000,33.763350,26.590713,37.121858,33.811198,26.768319,37.299183,6.055669,44.621785
25000,40.754160,92.067227,99.221750,0.381470,0.762939,31.485688,23.864535,36.296621,45.288638,33.670233,41.020033,7.785167,84.105547
32768,42.161524,80.408742,107.727417,0.500000,0.500000,37.612075,27.984067,39.253235,34.760523,27.908313,39.166385,6.662526,49.660583
45000,40.934719,103.456181,130.976833,0.343323,0.686646,40.736085,24.903673,42.093169,46.574473,33.299681,43.424723,8.331635,92.873763
60000,43.439117,90.290506,122.371333,0.457764,0.457764,41.121669,29.398433,45.009625,40.499094,29.271319,45.086875,7.377298,51.730783
100000,48.617500,98.753747,182.506708,0.381470,0.381470,55.776998,35.290844,58.896781,55.627885,36.163923,57.718167,8.261931,123.039170
150000,53.908520,115.835371,208.809959,0.286102,0.572205,63.114906,37.293500,63.253333,65.213648,44.499752,73.056744,8.706235,102.650462
200000,56.547152,111.788820,239.305667,0.381470,0.381470,70.849017,39.432637,72.945531,74.098300,40.533798,68.931229,8.193894,146.718748
300000,63.466434,142.936759,258.973750,0.286102,0.572205,91.960808,48.610519,87.440244,80.824927,50.990290,76.170742,8.723669,125.402222
400000,66.449827,120.754896,258.495417,0.381470,0.381470,98.624169,50.535569,90.408237,95.459427,51.053390,87.512479,8.219840,161.375694
600000,80.334027,161.141018,251.602362,0.286102,0.572205,116.315021,57.929296,103.826054,110.460487,63.372969,98.993119,8.747737,146.395788
800000,83.064219,144.843507,264.886406,0.381470,0.381470,121.103081,62.349208,108.832108,121.600873,63.540246,107.388202,8.260067,182.579965
1200000,89.566059,178.990643,280.025208,0.286102,0.572205,126.171723,64.641200,114.280404,131.176604,76.777344,119.102750,8.752040,160.844282
2200000,93.292699,203.674347,262.038295,0.262260,0.524521,132.507104,66.836423,118.750086,137.460560,78.971850,124.015550,8.875225,168.552557
3100000,98.311028,186.097319,272.188488,0.369549,0.369549,136.292698,72.529275,123.114375,137.791277,72.515948,124.261358,8.363800,186.675439
6000000,100.182115,189.755264,269.775632,0.357628,0.715256,141.613642,74.295719,127.241140,160.555990,101.069875,198.108683,8.446684,176.867620
10000000,101.726000,217.956152,273.543450,0.298023,0.596046,143.247362,73.405992,128.362102,152.888637,89.682625,146.972165,8.741117,179.300160
