element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,13.671875,35.802083,18.605542,0.500000,0.500000,7.954696,5.028033,6.819962,7.962758,5.050537,6.871567,2.419227,12.145833
110,12.750000,36.804545,18.572709,0.429688,0.429688,7.749200,4.846108,6.589500,7.738515,4.818073,6.604844,2.470514,52.651515
240,13.078472,32.494444,18.889833,0.468750,0.468750,8.070875,4.854583,6.808910,8.073344,4.862787,6.806410,2.403168,14.872222
500,13.389000,34.347000,19.380959,0.488281,0.488281,8.119364,4.974967,6.863487,8.264242,4.985452,6.851413,2.368635,16.444000
800,13.897708,42.717292,23.102167,0.390625,0.781250,9.058481,5.097644,6.623723,8.659546,6.145535,7.388935,2.536412,49.097083
1024,14.580404,37.855306,19.771208,0.500000,0.500000,8.959229,5.137956,6.859715,8.701379,5.051304,7.570917,2.355703,17.225260
1500,14.444333,49.555667,23.815458,0.366211,0.732422,13.232565,7.365592,7.229738,10.730200,9.304504,7.454844,2.625135,46.361111
2048,15.550293,43.172201,21.016417,0.500000,0.500000,11.731969,6.610235,8.048548,16.211229,11.197858,17.292488,2.374355,18.839681
3000,15.074111,80.381944,25.156750,0.366211,0.732422,16.653975,12.800333,20.085342,19.828621,21.131960,24.157704,2.627692,46.810222
6000,15.465306,63.680528,25.710667,0.366211,0.732422,18.875960,15.919883,23.744794,26.815948,24.634871,29.200817,7.273710,45.562556
8192,17.932495,53.270955,22.141250,0.500000,0.500000,20.266769,20.733165,26.787817,21.789183,20.697465,26.872665,5.924082,19.734701
12000,16.311347,63.939819,26.243500,0.366211,0.366211,19.983183,17.283110,23.919108,18.738271,15.777940,23.805569,6.697988,68.175917
16384,18.648366,47.996084,22.935000,0.500000,0.500000,22.298942,20.594235,27.476229,23.288796,20.635633,27.681048,6.358197,20.380656
25000,16.845833,54.771107,27.927875,0.381470,0.381470,20.449392,17.370842,25.631958,20.415448,18.077779,25.627825,7.554135,68.868333
32768,19.330770,49.887339,24.459000,0.500000,0.500000,23.264665,21.711981,28.655042,23.431875,21.887910,28.732606,6.529070,22.872925
45000,16.426548,63.475152,27.829542,0.343323,0.686646,20.473354,17.570221,25.603188,31.629217,26.520840,31.577417,8.255164,51.391363
60000,18.623150,58.578703,32.961708,0.457764,0.457764,22.902452,21.640015,29.107869,22.932258,21.589873,28.791494,7.294625,23.109489
100000,19.353193,69.112227,37.377292,0.381470,0.381470,24.610569,21.474160,31.656760,23.775227,21.792650,31.050385,8.264221,51.381527
150000,22.408704,72.247593,43.721292,0.286102,0.572205,26.698396,22.236704,34.445867,31.662577,29.718494,37.638767,8.704250,47.649998
200000,23.792430,61.085970,44.959417,0.381470,0.762939,28.953158,26.374710,37.020238,42.381177,34.985075,39.277896,8.503690,52.349445
300000,26.927408,84.503934,49.020208,0.286102,0.572205,29.812794,23.817002,37.346460,36.779775,33.451102,43.761748,8.726762,63.885972
400000,27.504548,70.201805,57.622375,0.381470,0.381470,33.319563,28.617350,40.720477,33.006425,28.655754,40.532277,8.249863,75.164757
600000,34.768449,88.499815,63.529548,0.286102,0.572205,40.435523,31.561373,47.686894,40.890417,36.246906,48.600748,8.753960,75.819513
800000,36.762310,77.685330,71.220911,0.381470,0.762939,43.319190,36.003765,50.675183,55.745150,48.758087,64.214450,8.239015,77.193472
1200000,39.410104,96.497275,75.343038,0.286102,0.572205,46.337910,35.237563,53.305394,50.903915,44.070283,59.292552,8.778603,79.899364
2200000,41.411553,107.922131,76.961420,0.262260,0.524521,47.741321,35.587998,55.113763,54.412973,46.539114,62.236896,8.880629,83.148485
3100000,43.796445,91.049913,84.142271,0.369549,0.739098,50.767840,40.337148,58.162052,74.855821,64.457608,103.474244,8.359238,82.892782
6000000,46.394722,98.119844,86.160677,0.357628,0.715256,51.751846,40.385675,58.897327,75.013673,61.944619,107.227169,8.446340,86.102294
10000000,46.397258,113.561658,85.091135,0.298023,0.596046,51.366517,38.429160,59.126208,63.599644,51.594810,74.161642,8.735425,89.665389
