element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,26.473958,54.463542,36.692916,0.500000,0.500000,16.078450,6.946152,9.249940,16.229358,6.974042,9.311617,2.400998,42.093750
110,26.196970,50.445455,37.058458,0.429688,0.429688,14.632739,7.922790,9.204404,14.623792,7.795337,9.776196,2.474887,70.203030
240,31.134028,52.575000,36.861875,0.468750,0.468750,18.729037,9.230294,11.240850,18.828488,8.728348,10.981327,2.400718,31.597222
500,28.708333,50.194667,41.138459,0.488281,0.488281,20.404675,9.253271,12.747104,20.355340,9.389523,12.210812,2.376200,36.332667
800,28.029375,57.725417,49.794375,0.390625,0.390625,17.941927,11.810350,17.877337,17.951013,11.555046,14.967333,2.532606,74.375000
1024,29.493490,51.479980,45.378375,0.500000,0.500000,21.937975,14.719348,17.037769,21.866242,14.581410,19.960206,2.351414,31.371745
1500,28.139000,61.657444,50.968542,0.366211,0.366211,20.308004,14.107458,21.109679,19.948125,14.304610,21.374867,2.622569,70.286667
2048,31.263672,57.122233,47.815625,0.500000,0.500000,25.377619,17.719531,28.724585,25.986267,17.738340,25.140167,2.378627,33.548991
3000,29.219833,98.236167,51.911875,0.366211,0.732422,21.605608,15.300465,25.563135,40.106021,25.841621,31.013669,2.634916,58.620333
6000,29.091444,78.138889,97.338333,0.366211,0.732422,21.736754,16.566531,27.623227,40.640473,27.967044,34.845219,5.094083,55.307889
8192,32.240133,68.269531,94.977584,0.500000,0.500000,27.728996,22.375831,32.587042,27.892177,22.657081,32.954179,4.516302,33.523560
12000,29.348958,77.541097,181.583250,0.366211,0.732422,21.990754,17.448392,30.430427,42.056467,28.513700,36.771810,6.700243,56.399306
16384,32.148570,68.230103,152.115709,0.500000,0.500000,27.473067,23.844542,34.193590,27.215406,23.762950,33.920115,5.861064,33.512533
25000,30.256407,75.231953,194.962875,0.381470,0.381470,23.340908,19.368177,32.428806,23.410942,19.388446,31.983194,7.548854,79.940560
32768,34.238602,69.749191,219.400666,0.500000,0.500000,29.701550,24.985554,36.523779,29.816785,25.085379,36.441837,6.486109,36.964417
45000,31.534874,83.492285,262.375500,0.343323,0.686646,25.647931,19.119983,33.374471,43.090227,30.854610,41.268952,8.287070,68.960800
60000,35.863781,75.178125,164.965083,0.457764,0.457764,31.262629,25.800610,39.673904,32.035052,25.935296,40.210494,7.321501,42.381017
100000,44.994580,91.815697,261.097208,0.381470,0.381470,54.726646,34.073360,57.588290,51.636744,30.937048,53.225467,8.275796,83.115973
150000,49.594722,99.253058,364.776291,0.286102,0.572205,57.193615,30.734965,55.547779,68.049421,44.235273,66.776860,8.693360,83.690740
200000,54.576320,90.065625,225.598333,0.381470,0.762939,63.937058,35.916437,63.139552,87.854421,65.472808,91.477215,8.184179,91.291667
300000,61.596019,126.831991,276.650250,0.286102,0.572205,79.053867,40.113469,72.333404,81.378792,50.958240,79.795429,8.723020,113.489862
400000,66.801006,112.278784,310.789750,0.381470,0.381470,90.985911,49.734792,85.415910,90.170610,49.972248,85.126523,8.218338,146.089202
600000,82.121806,147.464930,283.668437,0.286102,0.572205,110.296846,54.516758,97.555471,119.443290,70.512325,112.884802,8.746685,141.453311
800000,87.353854,137.230052,293.960417,0.381470,0.381470,126.138767,64.572294,109.019058,125.196852,65.036933,111.221106,8.264785,184.297083
1200000,95.087847,173.217326,293.516285,0.286102,0.572205,133.510644,62.788315,114.307571,149.649883,87.097142,137.233973,8.755372,156.847604
2200000,97.867490,201.477150,297.884460,0.262260,0.524521,142.120529,65.016660,120.548212,161.203852,86.442869,138.870365,8.882557,163.876597
3100000,106.035329,178.699738,319.004335,0.369549,0.369549,153.830690,74.507329,131.044000,153.305504,74.552702,130.562067,8.349614,222.638642
6000000,109.983333,195.205271,323.745208,0.357628,0.715256,160.264083,76.541094,134.786377,199.096394,127.836456,247.430531,8.444918,189.562632
10000000,110.755494,230.528873,319.187752,0.298023,0.596046,159.687873,73.765465,134.706715,189.286908,104.250358,178.636800,8.746456,180.756826
