element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,3.479167,21.484375,5.924208,0.500000,0.500000,1.174921,1.278175,1.252565,1.174004,1.277525,1.252887,2.747565,4.770833
110,2.400000,17.110606,5.455041,0.429688,0.859375,1.173987,1.260904,1.247240,1.189654,1.298673,1.268133,2.495451,8.842424
240,2.518056,13.106944,6.468666,0.468750,0.468750,1.177740,1.257060,1.241694,1.173233,1.257375,1.241450,2.513938,3.181944
500,2.430667,11.625000,8.753875,0.488281,0.488281,1.179194,1.262529,1.249875,1.171827,1.259917,1.246412,2.521092,2.916667
800,2.474167,13.064167,9.719541,0.390625,0.781250,1.174067,1.255221,1.240004,1.177013,1.332415,1.259415,2.572188,8.368333
1024,2.482096,10.545736,6.357958,0.500000,0.500000,1.188471,1.270083,1.253754,1.178210,1.270635,1.249375,2.397527,2.916341
1500,2.416667,17.324000,9.252125,0.366211,0.732422,1.186212,1.262042,1.241429,1.173229,1.305708,1.257908,2.601905,9.536889
2048,2.424398,12.620687,6.841458,0.500000,0.500000,1.180998,1.278290,1.249129,1.182435,1.279450,1.246915,2.388460,2.882161
3000,2.516167,31.731556,10.206750,0.366211,0.732422,1.388671,1.498425,1.379523,1.273119,2.066642,1.338131,2.672327,10.245333
6000,2.619167,25.484944,10.681083,0.366211,0.732422,1.291473,4.297685,1.356302,1.261660,3.585844,1.335750,3.038451,10.039333
8192,2.612630,19.265930,7.568084,0.500000,0.500000,1.290633,5.462694,3.117302,1.307667,4.426488,3.822977,2.390710,4.174113
12000,2.633681,31.542222,10.932208,0.366211,0.732422,1.293450,5.551052,3.098944,1.272133,3.943054,4.741073,3.834750,9.962944
16384,2.734731,19.121368,7.734292,0.500000,0.500000,1.297667,6.499567,4.239338,1.298267,5.947729,5.441912,2.387524,3.241638
25000,2.676407,25.684447,11.657917,0.381470,0.762939,1.299896,5.823394,5.528808,1.287571,4.117369,6.279408,3.926840,11.726120
32768,2.676854,20.863647,8.096583,0.500000,0.500000,1.300367,6.945506,6.083646,1.297052,6.628223,6.470421,2.387805,4.677236
45000,2.720215,30.319137,10.416583,0.343323,0.686646,1.339563,5.513556,6.635740,1.298790,5.163423,6.572279,5.226371,14.715126
60000,2.720833,23.361686,14.446875,0.457764,0.457764,1.335073,6.872433,6.771496,1.349331,6.832498,6.831179,2.824923,5.032867
100000,2.949863,30.004030,12.106666,0.381470,0.762939,1.403496,6.314398,7.089494,1.337867,4.595658,7.043333,4.216892,14.996253
150000,6.002313,34.750187,12.750500,0.286102,0.572205,2.742971,6.400715,9.040079,1.648260,7.142977,7.387367,7.474726,19.026944
200000,6.122570,26.709513,15.356209,0.381470,0.762939,2.817652,8.064983,9.326681,1.596821,4.911537,7.488938,4.363956,14.617778
300000,8.176018,37.648704,15.102583,0.286102,0.572205,3.535087,7.129156,9.670402,3.072862,9.281456,9.658094,7.400141,24.723519
400000,8.132292,29.305834,17.321167,0.381470,0.762939,3.603090,8.514100,9.638829,3.149004,7.049394,9.935488,4.264977,20.147848
600000,12.187499,40.609213,19.351875,0.286102,0.572205,5.140723,8.253519,10.488235,4.522865,9.780165,10.201775,7.465341,31.548634
800000,11.530747,33.967066,22.503151,0.381470,0.762939,5.162217,9.651046,10.911123,4.743208,8.047577,10.692419,4.257719,24.931007
1200000,15.777152,44.496232,24.941840,0.286102,0.572205,6.185473,10.233254,11.905173,5.303179,11.393719,11.031306,7.453695,35.141146
2200000,16.598892,49.356373,28.404318,0.262260,0.524521,6.679754,10.398127,12.149802,6.193587,13.187560,12.286865,8.296610,38.169287
3100000,16.643985,40.601700,30.182789,0.369549,0.739098,6.682046,11.727794,12.180660,6.209465,11.477104,12.633781,4.554846,30.631608
6000000,17.134062,42.823472,31.307569,0.357628,0.715256,6.963492,11.616306,12.422367,6.694354,12.567873,12.817456,4.863986,32.049854
10000000,18.243144,50.581948,31.022790,0.298023,0.596046,7.164352,10.778885,12.505704,7.007806,14.080235,12.742110,6.954104,38.060072
