element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,30.609375,55.776042,36.726500,0.500000,0.500000,17.930035,8.027467,9.867119,17.654485,7.974217,9.841692,2.402917,50.354167
110,26.451515,52.525758,38.088042,0.429688,0.429688,15.406612,6.510900,9.565927,15.311542,6.496656,9.542625,2.410422,63.509091
240,28.906250,49.218750,37.394833,0.468750,0.468750,17.686348,7.195762,10.542656,17.878783,7.158277,10.590235,2.404020,28.183333
500,28.930000,49.805000,39.973625,0.488281,0.488281,21.073606,8.104000,11.335812,21.204327,8.390927,11.935865,2.364575,35.250000
800,28.411458,58.437917,50.648875,0.390625,0.781250,18.369956,9.018175,13.645544,29.481169,15.186415,14.291994,2.534721,54.965000
1024,29.880208,51.581543,45.499792,0.500000,0.500000,21.668246,10.101956,14.296198,22.249769,9.151479,14.066606,2.350024,31.846680
1500,28.805444,62.342444,51.248334,0.366211,0.732422,20.835927,12.416054,20.766317,35.238650,16.074396,25.517006,2.622788,56.416889
2048,31.314372,55.141927,47.818166,0.500000,0.500000,26.115540,15.769885,24.650469,26.453950,15.456225,25.378590,2.366799,33.745605
3000,29.319389,88.629556,52.364209,0.366211,0.732422,21.857096,15.012323,25.809765,39.621606,24.001973,27.618715,2.804291,56.500111
6000,30.151611,77.099583,98.613167,0.366211,0.732422,23.074198,15.611477,27.312583,42.356998,26.420535,36.431540,5.038759,57.831000
8192,32.406250,68.162699,94.973417,0.500000,0.500000,27.612685,22.366917,31.600504,27.801377,22.568823,31.472650,4.501301,33.772705
12000,28.901625,77.004028,181.592708,0.366211,0.366211,22.325363,17.062329,29.119460,22.577577,17.288308,29.209806,6.655448,68.583333
16384,32.710612,64.969381,152.557291,0.500000,0.500000,28.818092,22.494556,34.404860,28.681037,22.133969,34.090342,5.751228,33.910990
25000,30.411673,74.580547,195.964791,0.381470,0.381470,23.954346,19.002846,31.848204,23.935179,18.401794,31.412956,7.610663,70.657227
32768,34.239660,67.685018,176.914250,0.500000,0.500000,29.120181,23.568669,36.251225,29.120981,23.871358,36.495546,6.496032,37.112335
45000,31.274848,84.756637,261.962333,0.343323,0.686646,25.902052,18.855158,33.437046,43.765358,30.398213,41.586031,8.251479,70.495985
60000,35.666786,75.625461,165.591042,0.457764,0.457764,31.287985,25.373265,39.351577,31.369023,24.918271,39.676298,7.332215,42.529400
100000,45.385413,89.417503,262.514750,0.381470,0.381470,50.478071,31.878138,53.340898,50.699515,31.762265,52.770440,8.211471,89.665553
150000,49.932220,98.536484,365.829750,0.286102,0.572205,58.458548,32.345356,57.138165,66.687904,45.566562,67.960379,8.698665,84.094909
200000,54.189305,90.148750,228.964167,0.381470,0.762939,64.709871,37.508773,64.748356,90.604344,70.197900,92.760827,8.245054,91.682777
300000,61.866480,128.075601,280.112334,0.286102,0.572205,77.450231,42.740612,74.720702,82.892233,52.619683,81.463508,8.735699,114.044166
400000,67.721874,112.972674,308.096333,0.381470,0.381470,90.519406,52.626677,87.190671,91.988258,54.713869,86.995796,8.228548,125.426318
600000,83.707986,149.309422,284.585660,0.286102,0.572205,112.751115,59.448244,100.532611,118.323538,73.332954,112.407821,8.739714,141.702199
800000,89.951528,138.573021,292.838906,0.381470,0.381470,125.190048,68.334181,111.067863,123.978156,67.625290,111.345925,8.234679,156.664097
1200000,95.275798,175.100330,293.514010,0.286102,0.572205,133.701152,68.038485,116.931300,149.136846,88.778342,139.206542,8.750619,157.529780
2200000,100.815426,204.425748,296.457434,0.262260,0.524521,142.436273,70.386023,120.966794,161.684837,89.583740,139.668239,8.879697,165.689697
3100000,104.323172,179.030766,312.973132,0.369549,0.369549,154.085283,78.491015,133.651338,154.492523,78.496579,134.563306,8.359274,182.546299
6000000,109.211479,195.654222,322.409118,0.357628,0.715256,160.275067,81.049137,137.634729,199.529625,137.743806,249.015798,8.451535,182.911345
10000000,114.254427,228.480794,319.172923,0.298023,0.596046,159.253256,78.847135,135.735058,188.705283,106.924027,180.570006,8.720573,188.355750
