element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,13.239583,34.937500,14.223208,0.500000,0.500000,11.216054,4.375869,6.667621,11.293042,4.337525,6.642531,2.405579,47.729167
110,12.500000,36.427273,16.416917,0.429688,0.859375,13.302425,4.382758,7.085290,12.966450,6.399464,9.348054,2.514941,69.566667
240,11.921528,40.538194,15.038625,0.468750,0.468750,13.770246,4.539535,7.626177,13.734321,4.672840,7.898890,2.462362,21.991667
500,14.388333,34.903000,15.260084,0.488281,0.488281,14.726392,5.129985,8.456492,14.655227,4.894667,8.333079,2.423783,23.638667
800,11.797083,38.315833,20.009625,0.390625,0.390625,14.306994,4.890681,8.394481,14.373077,4.823315,8.384585,2.574108,88.298333
1024,14.309408,37.136556,15.825125,0.500000,0.500000,15.310044,5.886725,9.348981,15.447142,5.589971,9.017781,2.419553,24.305664
1500,12.532444,44.199222,20.810625,0.366211,0.366211,15.386167,6.629987,10.995952,15.013073,6.626527,11.625488,2.685245,69.324222
2048,14.763835,39.971191,16.475333,0.500000,0.500000,17.183771,7.757535,14.259560,17.328279,8.635644,13.648646,2.422344,20.216146
3000,11.731500,81.916611,21.014334,0.366211,0.732422,15.117156,9.563750,15.618750,25.265131,11.254956,18.721356,3.028551,43.523222
6000,13.065972,61.549750,21.618958,0.366211,0.732422,16.301106,12.107677,20.214290,30.617394,17.512908,26.768546,6.100969,46.724556
8192,15.716573,49.651265,17.825292,0.500000,0.500000,19.900125,16.189640,24.066056,20.061219,16.424185,24.026356,5.147994,18.476685
12000,13.041097,61.135431,22.600375,0.366211,0.732422,16.464985,13.078573,22.224935,33.076931,23.196283,30.101104,7.470164,48.238444
16384,16.067912,50.632060,18.592208,0.500000,0.500000,20.791635,18.767352,26.652540,20.893485,19.055110,26.362356,5.952194,18.458903
25000,13.875273,55.578893,24.079291,0.381470,0.381470,17.300040,14.876113,24.128640,17.254858,15.136283,24.261517,7.818108,63.391653
32768,16.611094,49.178436,20.273958,0.500000,0.500000,21.391702,19.615881,27.598975,21.446502,19.813550,27.719504,6.711393,23.850332
45000,12.995681,62.485337,23.194166,0.343323,0.686646,16.781710,14.175517,25.048769,31.680598,25.080010,31.397256,8.413799,49.944756
60000,15.649883,57.152081,29.605458,0.457764,0.457764,20.996021,19.053927,28.055273,20.882448,18.943060,28.076706,7.472424,23.824539
100000,17.458613,64.791110,35.362834,0.381470,0.381470,24.465446,18.397990,31.464096,23.893927,18.805233,31.750673,8.489508,66.676393
150000,21.162778,68.834444,39.031459,0.286102,0.572205,27.895819,18.393261,34.612217,32.075515,28.092083,37.668121,8.915431,44.735740
200000,22.330555,59.411388,43.670250,0.381470,0.381470,31.107988,22.973667,36.951838,31.020356,22.500477,37.075123,8.305100,62.650138
300000,27.615510,80.143934,52.788166,0.286102,0.572205,37.429990,21.659561,41.129979,37.980550,31.335110,42.812152,8.800782,65.246806
400000,27.745417,66.921840,63.897417,0.381470,0.381470,41.939940,26.516946,45.170310,42.581060,29.335802,52.942379,8.530944,76.573437
600000,37.967407,87.116367,72.431215,0.286102,0.572205,51.491388,28.400458,52.450273,48.185063,37.436833,53.265119,8.899359,78.606458
800000,37.493906,76.582448,78.001536,0.381470,0.381470,51.893315,31.597798,55.369802,53.718465,32.117571,55.363571,8.421812,86.778333
1200000,40.979497,93.347708,78.195069,0.286102,0.572205,58.172929,31.469273,58.218002,60.606377,43.576350,62.610802,8.878652,84.026482
2200000,43.695682,103.443409,82.315483,0.262260,0.524521,58.781415,31.512542,60.482204,64.132058,44.957848,71.122690,9.018205,84.391528
3100000,45.269812,89.180356,91.244530,0.369549,0.369549,62.624815,35.957292,65.156825,61.935656,36.541196,65.536496,8.649574,106.445995
6000000,46.477066,94.968469,86.840042,0.357628,0.715256,59.167673,34.913396,62.613610,85.161248,69.141008,112.091665,8.546247,84.239655
10000000,45.852058,109.465131,90.222040,0.298023,0.596046,58.399715,32.538365,61.820052,71.147575,51.086260,83.028898,8.812485,86.684278
