element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,21.265625,31.687500,21.460917,1.000000,1.000000,2.346581,2.094060,2.339169,2.345654,2.096910,2.337465,1.589196,21.697917
110,22.792424,43.434848,30.664333,0.973451,0.973451,2.303206,2.821610,2.424758,2.306231,2.830983,2.425960,1.870535,22.727273
240,30.873611,36.893056,33.512125,0.995851,0.995851,2.354465,2.890350,2.640740,2.340063,2.894448,2.645294,1.945116,66.145833
500,27.055667,35.986000,33.829250,0.994036,0.994036,2.381104,2.756227,2.535802,2.323367,2.756681,2.534723,1.982371,25.416000
800,27.717292,40.251875,41.471042,0.988875,0.988875,2.747433,2.925413,2.612658,2.430781,2.879583,2.614467,1.989244,25.781667
1024,26.848958,37.428060,25.365875,1.000000,1.000000,2.522002,2.137227,2.187063,2.500121,2.144269,2.188344,2.019497,23.626953
1500,26.916667,34.370333,39.429000,0.992720,0.992720,4.863911,3.452040,3.142398,4.162381,3.445975,3.121246,1.993671,26.657556
2048,25.126302,37.733398,29.692458,1.000000,1.000000,4.072629,2.890242,2.773469,4.299904,2.899192,2.774110,3.542433,24.610840
3000,27.669000,36.986111,66.887875,0.999667,0.999667,7.278288,9.860862,13.509748,7.605394,9.091177,11.569219,3.953384,27.652778
6000,29.931722,38.751167,74.097125,0.998835,0.998835,8.523260,15.476283,18.942460,9.966723,16.025400,18.621667,4.200545,29.993056
8192,27.894755,43.164591,62.590709,1.000000,1.000000,9.273067,8.693792,15.076323,8.999998,8.847148,14.755456,4.371049,28.464437
12000,30.851264,41.166097,116.373458,0.999417,0.999417,10.630700,17.007773,18.115621,11.562929,17.197862,19.823400,4.430162,30.733778
16384,32.886088,45.404653,99.330959,1.000000,1.000000,12.542902,13.667260,16.230867,13.325667,13.662127,16.188327,4.989387,33.400635
25000,31.473887,43.686667,161.248958,0.999480,0.999480,11.832015,17.637844,20.514533,11.510883,17.583767,19.718381,4.474267,31.690000
32768,32.946487,47.249257,189.446709,1.000000,1.000000,12.968654,14.829360,17.684467,12.848725,14.823423,17.554933,4.962680,33.407847
45000,32.236107,45.427474,260.368041,0.999844,0.999844,12.471998,17.676437,21.196850,12.469110,17.618090,21.182865,4.596080,32.779933
60000,31.982058,50.723383,309.057708,0.999783,0.999783,12.638104,18.152206,21.587458,12.877381,18.236808,21.622160,4.773283,33.698150
100000,38.938197,53.389163,150.219000,0.999970,0.999970,16.035688,22.406629,26.670362,15.624106,22.166946,26.496394,5.147577,39.926523
150000,46.142129,65.776204,144.281083,0.999993,0.999993,18.940714,25.906856,31.525827,18.556600,25.899262,31.586331,6.699932,44.320462
200000,49.025068,67.643678,154.183584,0.999985,0.999985,20.824456,28.163044,34.518875,20.467429,28.158169,34.750606,8.720254,49.656597
300000,57.014813,86.852684,178.387000,0.999977,0.999977,23.597437,34.552408,41.425440,24.240702,32.150433,39.562129,10.416706,57.738288
400000,64.491042,90.729062,198.713166,0.999978,0.999978,25.494021,34.354721,42.953556,25.609410,34.459335,41.810363,12.278104,64.644860
600000,75.965439,119.793797,223.169583,0.999982,0.999982,28.282165,38.485752,47.152525,28.360619,38.852327,46.778144,14.838922,74.666828
800000,83.830920,124.927535,248.025547,0.999986,0.999986,31.492227,42.730983,51.546565,31.224233,42.663608,51.086494,17.704192,86.340764
1200000,100.479080,170.523160,277.192848,0.999994,0.999994,34.573860,48.010723,58.196027,34.536446,48.004954,58.119338,22.336757,100.269341
2200000,123.844413,228.313703,418.622263,0.999994,0.999994,38.315698,54.088617,65.755396,38.438360,54.248942,65.531523,26.949642,123.541389
3100000,136.266962,220.993004,416.717036,0.999998,0.999998,40.017437,57.227560,68.754311,40.883200,57.085185,69.113492,29.344265,136.050959
6000000,154.260712,261.748163,690.313937,0.999998,0.999998,42.365781,61.002948,73.770079,42.104779,60.716442,73.530650,39.263153,153.697671
10000000,163.333665,298.232888,527.402646,0.999998,0.999998,43.571240,62.860021,75.570275,43.023777,62.989556,75.699223,45.289000,161.531588
