element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,26.265625,38.406250,42.338042,1.000000,1.000000,12.457077,6.994850,9.043890,12.462377,6.991354,9.018365,1.589067,35.166667
110,30.301515,43.559091,51.398500,0.973451,0.973451,14.899919,7.472019,10.735742,14.866598,7.467746,10.738204,1.871504,61.866667
240,35.011806,48.205556,51.371791,0.995851,0.995851,14.009083,7.277442,10.436238,13.978908,7.277052,10.427056,1.946020,35.241667
500,38.180333,48.014333,54.367792,0.994036,0.994036,15.583862,7.665794,11.003852,15.411698,8.397215,10.826412,1.980994,42.111333
800,35.226042,45.937083,54.370750,0.988875,0.988875,17.681210,9.961542,13.679217,17.583006,9.758554,13.296990,1.994617,39.861250
1024,34.573079,48.000814,47.018584,1.000000,1.000000,15.933817,8.319356,10.656785,18.543894,9.799767,14.782233,2.021008,38.750651
1500,37.518556,46.731444,54.991375,0.992720,0.992720,20.604929,15.932535,23.128331,23.167269,16.147210,24.240931,2.000342,43.833556
2048,35.790365,48.953695,49.598375,1.000000,1.000000,21.491371,15.703150,23.841875,27.507069,16.359000,23.478094,2.008531,37.461914
3000,38.307889,46.805556,75.368584,0.999667,0.999667,29.760415,23.113908,33.262242,36.010106,23.154802,33.540087,2.573273,42.828667
6000,40.612222,50.190972,66.200459,0.998835,0.998835,38.614590,27.961738,35.103425,38.348621,26.157740,38.362635,3.189629,41.826444
8192,38.151184,54.233988,65.507875,1.000000,1.000000,37.580592,24.732537,33.259821,37.510054,24.965142,35.250285,3.364923,42.702555
12000,42.237264,57.366319,90.919417,0.999417,0.999417,42.805604,27.701485,39.186931,42.643665,28.331175,39.034806,3.516476,43.368028
16384,39.805094,57.638784,87.057042,1.000000,1.000000,40.847681,25.377671,36.223700,41.337250,25.474490,35.954500,3.752206,40.834229
25000,42.763340,55.471107,124.588667,0.999480,0.999480,45.077906,30.795192,41.787735,45.039119,30.813006,41.612713,3.836438,43.423333
32768,40.196955,60.496857,124.467459,1.000000,1.000000,42.166242,26.561456,37.315969,42.001535,26.898458,37.303323,3.845633,40.711711
45000,43.796452,57.239659,215.427875,0.999844,0.999844,46.291290,31.718260,43.132298,46.430329,31.529929,42.831777,3.859534,45.276859
60000,43.914586,62.597917,259.652292,0.999783,0.999783,47.573944,32.387912,44.299969,47.958042,32.727415,43.512552,3.991230,44.571061
100000,45.351110,59.471250,338.524958,0.999970,0.999970,49.360102,32.836096,44.813798,49.532452,33.022181,45.454794,4.079127,46.972227
150000,49.067224,65.446389,560.690958,0.999993,0.999993,60.449794,37.680094,52.492256,62.239685,37.543952,51.412104,4.495000,49.915927
200000,51.968958,66.742708,697.029333,0.999985,0.999985,71.763179,43.296075,57.679563,71.398235,43.249560,57.348790,4.896704,52.840072
300000,61.000602,83.933564,315.029708,0.999977,0.999977,85.241417,49.176985,65.247406,85.459456,49.550294,65.486800,6.456252,63.259213
400000,67.266112,86.622396,295.811834,0.999978,0.999978,94.246040,53.681473,70.646510,94.934679,53.542931,71.406823,7.476252,66.651493
600000,74.588102,108.079768,265.069375,0.999982,0.999982,111.138925,62.929544,80.862794,110.229271,61.772654,80.937244,8.871601,77.800996
800000,82.342535,114.545225,286.942995,0.999986,0.999986,124.837248,69.243665,88.870935,121.511800,68.903260,89.312112,10.038940,83.038194
1200000,93.838872,145.171406,305.289219,0.999994,0.999994,148.297069,79.445062,101.129040,146.735992,78.843481,100.995660,12.290270,95.156042
2200000,119.937784,204.770218,350.260312,0.999994,0.999994,183.414321,95.313344,118.730927,182.450577,95.146506,118.180196,16.655008,118.187014
3100000,130.972278,213.035659,369.817366,0.999998,0.999998,197.928760,100.973979,125.896881,197.227819,101.112706,125.993840,29.424167,132.372016
6000000,152.432806,246.634132,387.134271,0.999998,0.999998,218.382115,110.101912,136.959673,219.037783,109.550192,136.172906,22.482741,154.616072
10000000,163.545775,290.731696,396.742235,0.999998,0.999998,228.790471,114.854431,141.274521,229.557250,114.807781,141.303283,24.488758,164.556892
