element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,51.005208,57.718750,63.364708,1.000000,1.000000,13.254650,7.498246,11.002448,13.244304,7.476744,11.002038,1.597729,49.489583
110,44.004545,53.471212,72.497542,0.973451,0.973451,15.589831,8.342329,11.906019,15.580171,8.340665,11.902473,1.873467,51.515152
240,48.495139,55.556250,76.124917,0.995851,0.995851,15.414773,8.801325,12.272554,15.402652,8.807377,12.339262,1.945934,55.266667
500,51.916667,63.430333,77.911166,0.994036,0.994036,15.692565,8.901194,12.062690,15.913183,9.191290,11.987983,1.981060,75.916667
800,53.862917,69.010625,80.906084,0.988875,0.988875,18.809846,9.394867,14.070810,18.318065,9.300717,14.095362,1.989381,68.021250
1024,54.321126,67.993164,72.052833,1.000000,1.000000,18.662944,9.219956,13.754596,18.106371,9.375771,14.374342,2.165140,60.316081
1500,57.819444,67.490667,87.115166,0.992720,0.992720,21.196448,16.559519,15.755021,21.222113,16.594885,15.682015,3.506156,64.018444
2048,59.197347,72.984538,79.617833,1.000000,1.000000,24.739658,19.065106,19.827156,21.760669,18.713900,24.541598,4.566041,59.468587
3000,62.476833,71.030000,99.755417,0.999667,0.999667,25.942654,27.280256,24.729667,29.832829,27.135198,35.948415,5.737849,73.347222
6000,62.455972,73.944417,123.424000,0.998835,0.998835,33.645817,34.376848,38.857025,33.841250,34.566300,45.019796,6.563721,66.472278
8192,62.768738,79.706828,125.517667,1.000000,1.000000,38.731183,31.799300,42.284619,37.994183,31.952250,37.381221,6.454103,65.190633
12000,65.966431,79.456014,161.931625,0.999417,0.999417,41.948510,36.545237,45.094115,38.468075,36.648256,47.763217,6.074433,67.811361
16384,62.521189,80.742289,160.320041,1.000000,1.000000,37.783375,33.446256,44.755579,37.888488,33.440689,42.544179,6.207099,64.938029
25000,67.351387,81.039453,220.135625,0.999480,0.999480,41.272035,38.634250,49.850460,40.971012,38.522450,50.044977,4.246779,69.149453
32768,65.282613,85.998967,259.331166,1.000000,1.000000,41.479677,35.119179,46.470123,40.637087,35.178706,45.127133,5.649548,67.823181
45000,69.870830,87.223915,373.449541,0.999844,0.999844,48.055648,40.693679,53.201192,48.742006,40.478610,53.858471,6.663021,74.562652
60000,70.191547,91.228703,524.282000,0.999783,0.999783,48.643938,41.078060,52.834904,51.544244,41.984565,54.810212,4.210600,77.473606
100000,77.381527,91.938333,379.539709,0.999970,0.999970,74.761548,54.404381,69.985100,80.347083,54.775200,71.275933,6.945258,82.511947
150000,84.300280,100.316296,415.601709,0.999993,0.999993,84.519206,59.918762,80.885125,86.481550,58.293681,80.987658,7.042286,95.081111
200000,90.953127,109.299165,343.247125,0.999985,0.999985,91.979756,63.885173,85.240812,101.058731,63.350727,82.444081,15.347117,99.727985
300000,100.667544,126.525139,423.735833,0.999977,0.999977,120.980262,76.143485,99.172792,115.063246,75.312567,98.857469,14.412658,112.001760
400000,109.123542,134.021528,397.535542,0.999978,0.999978,136.184250,77.475004,106.043831,131.418267,82.235115,100.887335,12.282635,113.091077
600000,118.056250,160.677338,424.526910,0.999982,0.999982,152.626752,96.198817,121.940771,159.797225,102.021200,124.012321,15.983599,129.885578
800000,130.478299,185.085555,447.742943,0.999986,0.999986,172.887115,103.618048,130.596456,178.452227,104.457971,128.550737,15.220581,138.763334
1200000,147.430347,212.216997,507.227222,0.999994,0.999994,193.316358,115.407921,147.048942,201.562985,117.450521,144.023627,25.415697,155.408426
2200000,183.258475,280.953248,550.156335,0.999994,0.999994,216.644756,131.220531,160.954627,216.041029,131.437488,161.894413,25.658500,185.121642
3100000,194.983226,284.835289,572.101747,0.999998,0.999998,227.291869,137.581417,166.324892,229.972933,136.751362,166.854783,34.584301,208.370520
6000000,220.172483,335.395010,606.695681,0.999998,0.999998,240.192221,145.459958,177.112423,238.955277,145.395456,176.015365,43.745736,231.913331
10000000,232.518937,377.953729,630.976233,0.999998,0.999998,247.627671,148.223437,178.772617,243.286262,149.975694,181.598271,46.552325,242.802010
