element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,44.484375,58.166667,52.153583,1.000000,1.000000,16.212167,5.363992,8.494848,15.923937,5.417202,8.514546,1.590542,61.208333
110,45.453030,67.421212,63.072417,0.973451,0.973451,19.107875,7.303429,10.499654,18.780340,7.245663,10.381808,1.873129,48.739394
240,43.981250,58.621528,63.167125,0.995851,0.995851,19.747467,8.895808,12.380567,20.108375,8.856921,11.954754,1.945986,44.906944
500,47.972333,58.208333,69.145500,0.994036,0.994036,21.658660,9.153023,12.504225,21.557954,8.986415,12.171494,1.980410,60.028000
800,46.623333,64.843542,72.127417,0.988875,0.988875,20.141646,11.480019,15.172437,20.360519,10.867337,14.950958,1.988131,47.760417
1024,43.924967,59.122884,61.934167,1.000000,1.000000,19.893504,9.369392,14.562881,20.289910,9.224171,14.309062,2.019770,47.512695
1500,47.777778,59.763889,87.911000,0.992720,0.992720,25.824631,15.706250,22.348856,24.510627,16.534642,20.227892,2.001475,48.731556
2048,46.298503,61.788005,68.326709,1.000000,1.000000,24.205840,15.721415,19.326588,25.375996,13.001537,19.393381,2.035041,47.499023
3000,49.037111,60.194500,95.554916,0.999667,0.999667,28.166133,20.330848,28.180308,28.097833,20.607804,26.104319,2.510318,53.490667
6000,50.862222,64.011583,150.554250,0.998835,0.998835,29.192548,24.091762,32.418617,29.100485,27.257567,33.269125,3.188654,56.981500
8192,48.160970,66.658875,120.509875,1.000000,1.000000,27.906506,21.535498,30.249196,28.040027,22.608125,29.057902,3.490345,49.691040
12000,52.438653,65.859361,238.340917,0.999417,0.999417,29.543531,27.581146,35.501469,30.419654,27.935131,34.951888,3.595141,55.737278
16384,49.520294,69.850911,204.577042,1.000000,1.000000,27.569983,23.485344,31.436598,27.520773,23.318077,31.384050,3.504121,50.633728
25000,53.880007,69.671113,281.996583,0.999480,0.999480,30.946515,28.793610,37.500858,31.596140,29.166085,37.357492,3.922363,54.182787
32768,50.675715,71.911077,299.933625,1.000000,1.000000,29.750360,24.481435,33.796427,29.716344,24.373290,34.584652,4.136020,51.197906
45000,61.534878,71.139663,274.869875,0.999844,0.999844,32.611906,30.584375,41.699471,32.492133,30.118281,38.897244,3.667289,57.401244
60000,56.557172,78.012156,371.342792,0.999783,0.999783,33.698087,30.841777,39.427973,33.481008,31.445123,39.786214,4.010803,58.012267
100000,66.136247,80.581110,559.132792,0.999970,0.999970,51.185806,34.382873,48.057575,51.915158,33.740023,48.102206,4.191410,65.397360
150000,75.981111,92.121018,874.958459,0.999993,0.999993,72.008785,42.651346,58.530952,71.539933,43.278881,59.105912,4.379766,77.615187
200000,86.885485,103.398055,871.049417,0.999985,0.999985,82.316802,48.675558,64.278785,81.280785,49.314667,64.630504,4.732444,87.923682
300000,101.812870,132.213982,541.834750,0.999977,0.999977,97.043721,56.503758,74.292931,97.766769,55.165535,75.458450,6.522195,107.506991
400000,114.367500,141.979723,539.286084,0.999978,0.999978,116.431902,63.311025,84.397556,116.728517,62.692113,83.086554,7.247104,114.986598
600000,135.280625,181.755857,514.883056,0.999982,0.999982,149.097452,74.168894,104.628200,147.773154,75.809490,103.259512,9.014105,136.412037
800000,151.275678,196.921389,517.612161,0.999986,0.999986,168.160773,84.943988,114.187265,169.465158,84.757964,118.885421,10.254073,161.405538
1200000,188.501980,254.021510,589.726493,0.999994,0.999994,192.286962,96.155163,129.623692,190.316850,96.545985,129.618269,12.438325,182.621852
2200000,231.843475,329.987576,613.135417,0.999994,0.999994,211.982404,110.945856,143.773971,212.607033,112.281677,143.480658,17.539292,224.024520
3100000,244.329946,346.968716,638.847755,0.999998,0.999998,222.951135,116.779604,159.214473,222.209004,116.320519,152.339296,19.656718,244.335269
6000000,318.181229,522.053885,669.642611,0.999998,0.999998,236.194510,126.572312,161.003417,236.207054,125.464219,162.835229,34.770597,335.793065
10000000,390.792604,745.307156,696.288273,0.999998,0.999998,242.234900,128.936392,165.024096,244.138923,128.968454,165.217633,26.711781,434.300678
