element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,29.729167,49.687500,38.897791,0.500000,0.500000,18.602340,8.417817,11.421975,18.587719,8.334669,11.299244,2.324546,43.833333
110,29.986364,52.963636,47.338000,0.429688,0.859375,18.991798,11.475423,13.718206,33.950244,24.772762,26.383081,2.438549,73.233333
240,31.770833,49.681944,49.847250,0.468750,0.468750,20.152694,13.593992,16.595548,20.080921,13.173985,15.537265,2.374925,31.308333
500,30.500333,46.055667,51.758167,0.488281,0.488281,20.137025,14.917546,17.710979,20.324808,14.875535,18.311765,2.357156,53.805333
800,30.816042,51.510208,51.897000,0.390625,0.781250,19.403558,14.818896,19.953665,33.661885,22.593685,25.621123,2.514606,55.572917
1024,32.097493,48.502441,46.422958,0.500000,0.500000,24.018735,18.010954,22.413069,23.898202,18.018129,22.365385,2.334269,35.047852
1500,29.884111,55.722222,52.257333,0.366211,0.732422,20.082313,15.990746,24.118040,36.766923,24.309871,28.483654,2.649536,54.240667
2048,32.280762,51.201823,48.387625,0.500000,0.500000,25.643102,20.547590,27.843235,25.090173,20.523073,27.888546,2.386844,33.799805
3000,30.467667,72.270889,53.320416,0.366211,0.732422,21.939529,17.462712,27.684244,40.016833,27.304133,34.328617,2.750279,57.000000
6000,30.818278,68.609972,97.804916,0.366211,0.732422,22.740550,17.880871,29.660562,41.198190,28.584190,36.798904,5.224307,60.076389
8192,34.712036,61.839661,95.066166,0.500000,0.500000,28.718019,23.099235,34.210677,28.374919,23.202392,34.319910,4.610200,35.237630
12000,31.221069,76.812500,182.079167,0.366211,0.732422,23.209106,18.349087,31.573087,44.546115,31.821523,39.219906,6.868757,60.532389
16384,34.866750,67.950358,152.198708,0.500000,0.500000,29.180467,23.319398,35.793752,29.167325,23.455469,35.872292,5.940897,35.566549
25000,32.426667,71.083333,195.120666,0.381470,0.762939,24.296800,20.174194,33.760054,46.884144,33.746790,41.049402,7.629904,65.321653
32768,35.534744,69.133764,219.247042,0.500000,0.500000,29.934400,24.686660,37.713192,30.120471,25.044044,38.946885,6.604883,41.678528
45000,33.227007,84.349378,260.465875,0.343323,0.686646,24.891373,18.475146,33.579615,44.697537,32.180823,41.454146,8.404582,69.645667
60000,37.575694,73.962150,160.624125,0.457764,0.457764,32.882494,26.146627,40.950823,31.324727,24.926723,40.687058,7.386496,43.872222
100000,48.052223,87.982643,253.026208,0.381470,0.762939,50.609960,32.039902,56.377485,61.913012,48.893981,59.136417,8.347742,75.288750
150000,51.853149,91.488704,271.041625,0.286102,0.572205,58.290571,32.081419,58.350158,67.815110,46.718498,68.930823,8.841944,77.999907
200000,56.249028,85.251183,227.327333,0.381470,0.762939,64.647542,37.692927,66.400410,90.820002,69.322871,90.581465,8.302304,83.760695
300000,63.914444,112.666297,264.506875,0.286102,0.572205,79.766960,43.575512,76.710006,84.757548,53.506650,84.534819,8.858485,104.892546
400000,72.033784,105.724062,293.655458,0.381470,0.762939,91.608177,51.649667,90.999110,124.753252,88.337096,125.733050,8.335044,106.310139
600000,86.057824,129.804259,273.034132,0.286102,0.572205,110.791152,57.457988,102.064731,121.412194,75.640006,120.964244,8.897106,124.640717
800000,91.332413,124.194253,282.369349,0.381470,0.762939,124.021915,65.767602,114.841827,177.648658,143.113906,183.114492,8.378865,128.306875
1200000,96.226025,148.061823,285.210122,0.286102,0.572205,132.677902,65.974908,117.496288,153.872623,90.355704,146.204415,8.925844,135.746713
2200000,100.626847,166.389725,292.844536,0.262260,0.524521,141.941217,68.719267,127.080554,162.563371,92.243692,147.583298,9.022795,141.131509
3100000,106.915652,152.863891,307.201680,0.369549,0.739098,153.691315,78.584675,140.949687,201.018000,156.579854,221.820506,8.497677,143.725072
6000000,112.886667,165.952611,315.317358,0.357628,0.715256,160.150631,79.497465,144.193102,210.296517,136.559627,235.291654,8.557875,156.917090
10000000,112.972565,187.380194,316.020062,0.298023,0.596046,159.083319,77.904223,141.917673,194.990238,112.019652,184.206033,8.886500,153.441808
