element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,26.692708,51.645833,40.695500,0.500000,0.500000,11.449027,7.247390,8.528792,10.818229,7.181525,8.561585,2.333354,75.520833
110,29.862121,54.859091,49.675166,0.429688,0.859375,13.284623,7.964765,8.807598,15.948146,17.681190,13.880871,2.498926,112.875758
240,33.623611,52.372917,56.955375,0.468750,0.468750,16.094417,7.913075,8.719737,16.158048,7.887546,8.840215,2.382618,75.290278
500,36.180667,49.430667,60.189708,0.488281,0.488281,16.959804,8.887681,9.993331,17.035296,10.159975,9.698863,2.358285,55.861333
800,32.968958,57.413125,59.210583,0.390625,0.781250,18.171540,11.513427,12.417721,31.072215,21.661677,18.271306,2.588606,108.333750
1024,39.577962,53.453125,56.083750,0.500000,0.500000,22.186267,12.991952,13.816652,22.045029,13.090458,13.518656,2.340687,47.010742
1500,33.189778,59.013667,61.458459,0.366211,0.732422,18.903779,12.232750,13.328092,30.925233,22.341165,19.207869,2.701498,69.268444
2048,37.065267,55.396159,70.814292,0.500000,0.500000,23.476375,17.090383,18.253017,23.435998,17.063692,17.978265,2.396941,46.020508
3000,35.226889,82.583278,78.134833,0.366211,0.732422,19.513308,15.386029,19.692919,38.461165,27.861919,28.040704,2.869448,82.393444
6000,34.221028,77.901611,88.608875,0.366211,0.732422,20.912585,17.391710,24.975552,43.081858,31.077704,35.107367,5.778055,71.752333
8192,37.824829,68.300049,79.723500,0.500000,0.500000,26.032121,22.600452,33.463163,25.855396,23.225369,32.672150,4.561349,46.556234
12000,36.897583,90.604764,135.622666,0.366211,0.732422,21.939404,17.560342,29.986769,45.053704,31.230140,41.136296,6.750425,74.436333
16384,40.170868,80.290039,121.685250,0.500000,0.500000,27.095012,24.326442,34.711250,27.240069,24.054777,36.240829,6.435333,47.606567
25000,37.541667,77.445553,216.873875,0.381470,0.762939,22.356900,19.652362,39.371192,48.945181,36.094681,42.598646,7.674096,80.447787
32768,39.929499,74.576060,205.109292,0.500000,0.500000,47.112256,30.556238,39.536431,30.628167,25.749942,39.141408,6.720298,52.530080
45000,39.731796,88.442596,246.115708,0.343323,0.686646,35.880531,24.767171,41.377706,48.224494,37.174323,51.128802,8.415755,77.795059
60000,43.652431,80.346878,317.758416,0.457764,0.457764,46.313150,32.746735,52.559267,45.393408,33.037096,53.061915,7.392633,53.793294
100000,51.573887,97.057637,210.806709,0.381470,0.762939,56.991598,37.537135,60.206987,86.705869,65.099765,93.481690,8.336848,90.834440
150000,58.145556,110.926387,228.892000,0.286102,0.572205,70.107808,51.170875,70.308906,76.336304,54.579758,85.417677,8.835075,95.453520
200000,62.787083,101.393960,242.314417,0.381470,0.762939,85.711904,51.759827,85.601892,120.043985,98.483773,138.794910,8.326452,98.335625
300000,75.343890,128.510463,258.992084,0.286102,0.572205,101.410690,58.256010,95.571004,110.894796,78.445958,123.524408,8.907977,117.267963
400000,81.170867,119.300382,279.463958,0.381470,0.762939,112.063452,69.176915,113.340958,151.784754,135.370896,186.588404,8.385440,120.681945
600000,93.657500,145.452592,288.776979,0.286102,0.572205,120.998563,68.042344,109.268004,135.812298,94.286781,149.576063,8.925756,136.458565
800000,100.700591,136.251701,305.006692,0.381470,0.762939,126.268744,77.151342,120.626729,196.490467,161.090579,223.760669,8.398238,137.924653
1200000,103.077725,158.792882,319.238889,0.286102,0.572205,129.341531,71.943692,117.584023,152.393452,101.780556,159.825900,8.946828,143.674549
2200000,106.025776,175.143542,337.267955,0.262260,0.524521,128.483919,73.505308,119.116531,155.037760,99.919123,152.503040,9.033273,152.279268
3100000,112.315322,161.656485,338.991740,0.369549,0.739098,137.821854,82.066994,130.482800,205.945475,167.039417,261.859529,8.504021,153.031765
6000000,119.229403,173.247278,353.512622,0.357628,0.715256,140.912729,82.808025,131.974844,198.400871,155.700281,268.021769,8.711089,154.942324
10000000,115.989173,189.930727,363.167356,0.298023,0.596046,144.629754,82.655452,132.888823,178.372298,121.970175,214.583490,9.027752,156.350631
