element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,11.067708,32.770833,24.304681,0.507937,0.507937,13.512983,6.034913,9.404471,13.470342,6.031779,9.403940,1.436042,22.145833
110,13.195455,25.695455,23.689206,0.866142,0.866142,15.905356,6.796677,10.967073,15.829248,6.864560,10.973998,0.756619,13.890909
240,9.982639,30.844444,24.312121,0.469667,0.469667,13.531183,6.103229,12.810246,13.540025,6.056581,12.713225,2.205276,13.830556
500,9.958333,27.763667,24.550642,0.488759,0.488759,13.641369,5.542923,13.681873,13.668494,5.570973,13.773488,2.245973,11.583333
800,9.835000,22.430417,23.690956,0.782014,0.782014,14.985983,6.924852,12.702748,15.849790,6.723273,12.418362,1.116104,13.628750
1024,10.484863,26.312826,25.225842,0.500244,0.500244,13.772323,5.978725,15.581692,13.865767,6.178635,15.627731,2.288379,20.806315
1500,10.935111,24.143444,34.711527,0.732780,0.732780,15.070467,7.870563,14.211885,15.207963,7.912313,13.941085,1.288827,14.388889
2048,9.816488,26.523193,25.874713,0.500122,0.500122,14.983337,6.067335,16.196702,15.067485,6.089196,16.028283,2.224873,11.345703
3000,9.914333,23.557889,36.905125,0.732601,0.732601,15.947394,9.115629,16.354990,16.061548,9.339342,16.896671,1.388210,11.014111
6000,11.156222,36.224528,35.740817,0.732511,0.732511,16.580521,10.754498,18.442208,16.689363,10.397975,18.615044,1.657437,12.287000
8192,9.872457,36.877096,26.126615,0.500031,0.500031,15.927033,6.282771,18.186654,15.908788,6.313537,18.417040,2.941378,9.736776
12000,10.318278,24.998847,35.819277,0.732467,0.732467,16.637717,10.978202,20.262108,16.827875,11.033008,20.163383,1.931947,11.457194
16384,12.402018,32.593608,26.905927,0.500015,0.500015,16.501540,6.121946,19.094552,16.254115,6.106602,18.858242,3.588825,10.305603
25000,10.767220,25.855553,40.584585,0.762963,0.762963,17.534419,13.505756,22.290454,17.415306,13.660223,22.356765,1.697288,11.150560
32768,11.451721,31.542038,29.749123,0.500008,0.500008,17.132400,6.158644,19.795533,17.120273,6.211429,19.904373,3.983934,14.883687
45000,12.709104,28.358178,36.353150,0.686656,0.686656,17.925100,10.349937,21.743300,18.116250,10.484352,21.585835,2.466365,13.732096
60000,12.247803,33.715975,38.377473,0.457767,0.457767,25.102565,6.274900,21.706502,20.371640,6.187267,21.103321,4.509001,17.191444
100000,13.108333,26.350417,47.817781,0.762945,0.762945,19.960646,15.689688,25.219102,19.818369,15.536454,25.577075,1.948644,13.956110
150000,12.098616,29.257407,39.333240,0.572207,0.572207,35.065486,8.897892,29.039873,33.466788,7.953463,27.914208,3.708588,12.609260
200000,14.792708,28.131112,52.691125,0.762942,0.762942,25.355217,16.253973,27.942619,26.296854,16.342329,27.738231,2.006381,14.360970
300000,13.968750,29.130463,53.394781,0.572206,0.572206,35.637506,8.606533,27.215271,33.891315,8.581238,26.819617,3.536590,13.815879
400000,14.646597,26.832986,67.137179,0.762941,0.762941,36.160852,17.125044,30.792685,33.268656,16.946996,30.701812,2.005660,15.573889
600000,18.401273,33.736621,65.917650,0.572205,0.572205,42.285592,11.195833,42.677396,56.762617,9.049881,30.419102,3.485962,21.670556
800000,19.123247,30.621424,83.487702,0.762940,0.762940,46.156477,17.189373,35.483623,44.360658,17.167967,35.429325,2.041908,20.168351
1200000,24.350139,37.675729,77.902371,0.572205,0.572205,59.695462,9.844096,40.488231,61.853098,10.094650,40.821979,3.381959,24.962651
2200000,29.447869,42.768314,91.751708,0.524521,0.524521,80.652196,11.746527,50.808640,81.665090,11.886725,51.469206,3.682244,30.984678
3100000,30.759987,40.459079,98.643485,0.739098,0.739098,80.734156,19.821629,55.780279,83.448473,20.219729,54.629948,1.960144,31.752536
6000000,35.288167,49.576163,103.505748,0.715256,0.715256,101.669429,21.133906,60.853877,98.832300,21.262269,59.700069,1.791319,36.749046
10000000,46.504508,57.524817,109.459646,0.596047,0.596047,115.465567,20.531308,65.752996,111.244637,19.151073,62.122327,3.388065,43.174996
