element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,8.682292,29.078125,13.399196,0.507937,0.507937,2.651614,2.184754,2.415367,2.646075,2.183896,2.408150,2.404435,7.812500
110,7.701515,21.969697,12.627446,0.866142,0.866142,3.054348,4.536788,3.811667,3.045648,3.894450,3.435977,0.844371,14.648485
240,9.954861,33.420139,13.040796,0.469667,0.469667,4.093369,3.182598,3.561002,4.111710,3.114942,3.541573,1.332233,8.331944
500,9.583000,31.249667,13.432890,0.488759,0.488759,4.205556,3.111912,3.590162,4.251531,3.113608,3.736938,1.213817,18.360667
800,12.074583,26.788542,12.142171,0.782014,0.782014,3.669927,3.694590,3.614138,3.637069,3.682679,3.600388,0.940625,10.833750
1024,7.500814,26.536621,13.392004,0.500244,0.500244,3.246556,3.280712,3.218369,3.105652,2.993648,2.918783,1.241896,11.243815
1500,5.398333,17.463000,20.483327,0.732780,0.732780,3.003904,3.910573,3.181158,3.028612,3.522287,3.160096,0.995525,6.916667
2048,5.459229,21.084310,13.284273,0.500122,0.500122,2.688677,2.507231,2.440758,2.646944,2.536990,2.434358,2.126631,4.971029
3000,4.800944,13.833278,21.073487,0.732601,0.732601,3.011060,3.158935,2.697479,2.913083,3.000133,2.712212,1.982849,5.833444
6000,4.493056,13.243111,21.178675,0.732511,0.732511,2.850760,3.166833,3.987817,2.848942,3.101646,4.044927,1.886950,5.444444
8192,4.236837,14.923930,13.387854,0.500031,0.500031,2.701775,2.614081,5.448000,2.717571,2.587061,4.697258,2.610809,5.135457
12000,4.275458,21.182292,20.839329,0.732467,0.732467,2.817850,3.560450,7.054056,2.852244,3.563100,6.898487,2.194734,5.717583
16384,4.585673,22.131592,13.539100,0.500015,0.500015,2.754498,2.619421,6.877544,2.756556,2.612271,7.151577,3.142490,4.383504
25000,5.457507,16.545273,23.671163,0.762963,0.762963,3.054058,5.311711,9.837333,3.134452,6.056581,9.312062,1.909108,5.882787
32768,5.513082,23.717036,14.382450,0.500008,0.500008,3.092994,3.049840,8.436631,3.080646,3.035004,8.220631,3.760526,6.855428
45000,5.518048,16.687807,18.857256,0.686656,0.686656,3.423381,4.588481,9.435754,3.343104,4.916206,9.385969,2.327697,6.383948
60000,6.629508,23.293867,14.244158,0.457767,0.457767,3.188973,3.118071,9.074658,3.192038,3.128560,9.150983,4.256200,6.505094
100000,7.200140,17.208610,25.298131,0.762945,0.762945,3.966627,8.108642,12.186429,4.057031,8.302717,12.284135,1.938083,7.260277
150000,7.038333,20.292964,16.932400,0.572207,0.572207,3.485388,4.279856,10.299121,3.545325,4.299862,10.387690,3.604216,6.584258
200000,8.427223,18.419932,25.735090,0.762942,0.762942,4.301385,9.560158,13.179171,4.205552,9.513002,13.436800,2.099148,7.412777
300000,6.295972,19.558890,19.657381,0.572206,0.572206,5.313204,4.434627,11.086344,5.524963,4.410250,10.833879,3.809372,7.369676
400000,7.850555,18.109306,28.773908,0.762941,0.762941,5.717602,9.477627,13.720779,5.884148,9.587369,13.324179,2.133227,7.873264
600000,7.771180,18.962060,23.334094,0.572205,0.572205,7.929590,4.464717,11.238558,7.924129,4.577225,11.034792,3.657024,7.889422
800000,8.169566,16.616563,31.997500,0.762940,0.762940,7.986090,8.889669,14.067323,7.616573,8.829673,14.105740,2.146212,8.257153
1200000,11.549167,22.128663,31.030513,0.572205,0.572205,10.308846,4.955096,12.650906,9.694252,4.772950,12.592279,3.512269,11.195428
2200000,14.393201,25.664991,40.312540,0.524521,0.524521,14.224231,5.601479,16.242067,13.905731,5.286406,15.328700,3.776256,14.180322
3100000,14.607863,22.390175,48.048069,0.739098,0.739098,14.647377,10.421940,18.119485,15.028490,9.813802,18.379550,1.979353,14.275314
6000000,16.991389,25.872795,50.742256,0.715256,0.715256,17.540685,11.606167,20.517067,17.224275,11.399640,19.250142,1.831097,17.399785
10000000,19.979446,30.188408,47.594079,0.596047,0.596047,19.852188,9.288056,19.108581,19.217533,9.577410,18.760725,3.436440,19.897358
