element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,7.380208,26.463542,14.356673,0.507937,0.507937,2.731377,2.239567,2.485306,2.734279,2.269377,2.532135,1.816210,19.104167
110,7.386364,19.443939,13.658990,0.866142,0.866142,2.973319,3.555979,3.130631,2.942777,3.220460,3.414354,0.905873,15.148485
240,6.743056,22.396528,13.824421,0.469667,0.469667,2.642917,2.668537,2.475529,2.660827,2.684598,2.515179,2.164676,16.086111
500,9.222000,29.347333,13.970287,0.488759,0.488759,2.765729,2.686740,2.476548,2.721273,2.625829,2.466023,2.308327,5.416667
800,6.058958,16.883750,13.344029,0.782014,0.782014,2.986944,3.240915,3.001144,2.926794,3.392917,3.031921,1.145167,10.538333
1024,6.924316,19.436035,14.253171,0.500244,0.500244,2.855508,2.680615,2.483837,2.856113,2.700583,2.476761,2.232075,5.194987
1500,6.226778,15.527889,21.690217,0.732780,0.732780,3.090975,3.269096,2.877252,3.065558,2.844710,2.866517,1.388093,5.944444
2048,6.310384,29.140951,14.268531,0.500122,0.500122,2.778806,2.772288,2.569419,2.774069,2.768358,2.509990,2.251411,5.174154
3000,5.877278,38.007056,22.039404,0.732601,0.732601,3.100798,4.739133,3.147265,3.095308,4.684819,3.116421,1.434853,6.199111
6000,6.380778,25.428306,21.515725,0.732511,0.732511,3.110252,4.800294,3.741669,3.103073,4.441327,5.886875,1.658035,6.759278
8192,7.169067,39.962748,14.803229,0.500031,0.500031,2.844602,2.941450,5.236706,2.888798,2.948429,7.470825,3.106772,7.025798
12000,7.160292,29.950778,21.789877,0.732467,0.732467,3.289054,6.806942,9.520550,3.322973,6.754688,7.330913,1.622126,10.778917
16384,10.524302,33.431580,15.048852,0.500015,0.500015,2.994931,2.979396,7.237658,2.998527,3.010594,7.468065,3.810990,9.681681
25000,11.057227,28.826387,25.233815,0.762963,0.762963,3.475579,8.232292,11.317071,3.534546,7.826615,10.753408,1.726473,12.133320
32768,11.055415,33.865194,16.124517,0.500008,0.500008,3.139858,3.140760,8.529481,3.149773,3.163629,8.685810,4.123996,10.575195
45000,10.168059,30.284878,21.186421,0.686656,0.686656,3.690544,5.896129,10.579023,3.764302,5.715798,10.140044,2.524494,10.971600
60000,8.024769,31.870025,18.499483,0.457767,0.457767,5.390923,3.301667,9.285627,5.284956,3.227915,9.332160,4.807109,8.151389
100000,28.638467,48.761530,30.040408,0.762945,0.762945,34.707038,17.749852,30.071498,34.773463,17.350523,30.473373,1.134881,27.469027
150000,21.980278,46.355556,24.700565,0.572207,0.572207,25.084396,6.684173,23.094936,24.367117,6.707158,23.961244,2.241677,18.160369
200000,21.590695,41.638123,35.227542,0.762942,0.762942,32.068144,15.513715,29.662260,30.541912,15.571512,30.021023,1.340400,22.352498
300000,24.808332,52.478890,32.237187,0.572206,0.572206,27.090294,7.164654,25.822725,27.051336,7.132558,24.734408,2.158427,24.851157
400000,22.833611,42.636876,43.137483,0.762941,0.762941,33.345675,16.472346,32.814852,33.499233,16.466540,33.290071,1.308194,25.952604
600000,28.708079,50.693889,41.208331,0.572205,0.572205,32.151356,7.564060,29.770988,32.210287,7.280163,29.041819,2.153995,29.284329
800000,30.965434,49.060503,52.023525,0.762940,0.762940,39.311571,16.172340,37.286925,39.408811,16.719354,39.307729,1.359633,33.629253
1200000,29.168507,52.309150,47.245685,0.572205,0.572205,21.899310,7.686694,22.612290,21.562115,7.431617,22.099908,2.762124,29.237454
2200000,30.985417,55.853532,48.174646,0.524521,0.524521,22.630235,7.714313,23.169754,22.563548,7.573071,23.774419,3.010994,33.066105
3100000,33.107964,52.706714,60.656363,0.739098,0.739098,28.428096,13.866200,30.897123,27.990942,13.918271,31.226087,1.521882,33.557030
6000000,32.649507,47.011049,58.312417,0.715256,0.715256,18.347952,12.350071,21.189833,19.759815,13.455504,20.842942,1.779753,32.844655
10000000,42.240260,56.538002,59.165581,0.596047,0.596047,21.881771,11.438002,20.969569,21.323387,10.965852,21.169152,3.377842,37.380060
