element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,27.562500,55.552083,70.674548,0.507937,0.507937,17.552067,8.460738,19.398494,17.546396,8.457494,18.729152,1.806275,36.020833
110,44.950000,67.425758,70.085535,0.866142,0.866142,18.835938,10.453575,16.471979,18.908040,10.432454,16.365613,0.827596,42.927273
240,31.568750,54.715972,70.648729,0.469667,0.469667,17.311506,9.360729,20.563377,17.314377,9.361021,20.742444,2.299759,36.631944
500,45.041667,58.416667,73.776813,0.488759,0.488759,17.363098,10.309383,21.289052,17.372521,10.320483,21.245735,2.271177,37.138667
800,33.472500,49.643958,72.546217,0.782014,0.782014,20.797554,14.542460,20.508506,20.738519,14.858767,20.468269,1.068185,33.993333
1024,30.687174,54.599284,74.315858,0.500244,0.500244,21.190196,10.508492,23.288475,21.291935,10.459721,23.843981,2.108115,31.764974
1500,31.398000,50.333333,91.811798,0.732780,0.732780,21.813579,15.022958,23.281500,21.580029,14.979429,23.387373,1.339025,31.759333
2048,32.229899,55.711589,105.914302,0.500122,0.500122,21.479548,11.908269,24.233508,21.476027,11.868433,24.178002,2.168415,32.837077
3000,31.606444,47.608778,112.745513,0.732601,0.732601,21.977675,16.051008,25.022673,21.967394,16.092138,25.048975,1.368355,31.541667
6000,33.924750,64.096083,470.883281,0.732511,0.732511,22.326940,17.002002,26.432083,22.528887,17.073304,26.187329,1.495640,31.541611
8192,30.888855,59.956034,318.770198,0.500031,0.500031,21.984425,11.452923,25.040575,22.105892,11.489304,25.214275,2.873626,30.585409
12000,32.460069,56.745972,376.108877,0.732467,0.732467,22.825446,17.934286,27.512465,22.786690,17.902846,27.568865,1.836499,31.826389
16384,35.498291,73.092570,553.273444,0.500015,0.500015,23.181773,11.837354,26.225865,23.131677,11.830479,26.212327,3.606521,33.126851
25000,34.185553,57.541940,850.018979,0.762963,0.762963,24.732702,20.368129,29.714994,24.357317,19.656654,29.797733,1.732923,33.740547
32768,38.327754,70.008814,776.857827,0.500008,0.500008,25.203273,12.066152,27.904106,25.892211,12.056852,27.781575,3.918194,38.150787
45000,40.155859,62.293519,813.817004,0.686656,0.686656,30.113958,16.914850,31.329340,29.390300,16.908608,31.448510,2.378893,40.325304
60000,42.601850,74.988656,785.804283,0.457767,0.457767,42.991356,12.101379,37.695977,43.503754,12.213010,36.857752,4.483452,45.212733
100000,46.979860,63.341943,864.150183,0.762945,0.762945,58.301042,25.567810,49.880083,58.631410,25.266942,51.206790,1.955110,47.102777
150000,48.043704,75.509353,998.851142,0.572207,0.572207,69.214540,22.208542,55.747506,69.435971,22.211067,54.892606,3.490017,52.546020
200000,51.102015,71.579652,528.574269,0.762942,0.762942,73.712567,32.429517,61.430575,73.148540,32.269960,61.475004,1.972435,54.557083
300000,61.531712,87.251250,386.321548,0.572206,0.572206,101.514229,27.208288,74.632956,100.264860,27.147150,73.947196,3.487282,67.766898
400000,63.264063,82.458576,402.496123,0.762941,0.762941,114.196052,38.944173,90.159904,114.753552,38.585806,89.199458,1.987610,65.972361
600000,74.502384,108.634561,409.905062,0.572205,0.572205,137.416977,38.412348,104.316781,137.674056,38.454908,105.002379,3.441101,76.878704
800000,75.832552,100.208247,404.503315,0.762940,0.762940,141.769419,53.787377,113.415054,142.062348,54.119525,112.212304,2.008994,77.394480
1200000,85.621511,129.913212,354.213627,0.572205,0.572205,152.956969,50.569400,118.288729,152.535746,50.858887,115.787119,3.391654,86.943565
2200000,92.431562,154.003949,416.266081,0.524521,0.524521,163.379669,54.724221,125.724623,162.658160,54.577577,125.661712,3.684674,93.102999
3100000,93.322702,137.046922,565.966604,0.739098,0.739098,165.248023,64.692702,130.615162,165.412971,64.618912,128.471873,1.894589,94.224610
6000000,99.543014,152.877938,531.810844,0.715256,0.715256,176.212021,67.303956,137.572967,176.335840,67.075365,138.851298,1.781575,100.329194
10000000,111.614073,177.605875,440.333417,0.596047,0.596047,190.112523,66.393483,147.987046,190.289423,66.630783,147.055298,3.387783,111.979137
