element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,41.234375,95.703125,33.182173,0.507937,0.507937,10.365377,4.504706,7.249754,10.365340,4.499152,7.253135,2.112075,9.114583
110,13.004545,38.066667,31.725733,0.866142,0.866142,10.227554,5.896473,8.199735,10.198167,5.896665,8.225667,0.860454,20.072727
240,12.847222,35.561806,32.180544,0.469667,0.469667,10.399790,4.708062,7.548896,10.416817,4.616027,7.548812,2.293190,13.136111
500,33.027333,43.986667,32.203935,0.488759,0.488759,10.560146,4.617646,7.514869,10.564317,4.617187,7.518229,2.309554,15.889333
800,15.885000,30.720417,30.164623,0.782014,0.782014,11.175190,5.366729,8.070487,11.204346,5.405229,8.042217,1.162777,19.010417
1024,16.764323,40.615234,31.956842,0.500244,0.500244,11.571238,4.858729,7.849292,11.810227,4.809485,7.838127,2.166081,17.740885
1500,16.296222,37.565000,46.889415,0.732780,0.732780,13.097625,6.111942,8.507783,13.018415,5.664165,8.543638,1.269224,18.870444
2048,17.113525,44.521729,32.389127,0.500122,0.500122,14.642840,8.031709,10.100300,14.653175,7.363240,10.016521,2.179546,18.269694
3000,17.328722,36.710722,47.421821,0.732601,0.732601,15.984260,16.451317,16.630254,16.564415,13.774004,16.331821,1.366636,21.699111
6000,18.489583,38.708361,47.222848,0.732511,0.732511,18.622050,18.525206,23.605775,19.210156,16.086350,18.355450,1.498619,20.331056
8192,19.369303,50.162435,32.508379,0.500031,0.500031,19.496902,15.344194,22.586923,19.580917,14.938290,22.604058,2.796901,18.246134
12000,18.831000,38.791083,47.108721,0.732467,0.732467,20.592731,19.508642,25.080279,20.617452,19.563819,25.025465,1.631961,18.943278
16384,19.087474,52.137177,32.542958,0.500015,0.500015,20.283490,15.439281,22.536265,20.353690,15.515031,23.437742,3.527001,19.788106
25000,19.299720,39.189720,53.714823,0.762963,0.762963,21.058987,21.695433,26.448592,21.044642,21.533938,27.464112,1.735073,19.507213
32768,21.330729,51.624084,33.430067,0.500008,0.500008,20.455535,15.838740,24.807602,20.417598,15.827671,24.815150,3.925461,20.762126
45000,20.754167,43.747996,41.758025,0.686656,0.686656,21.094654,18.912756,26.078836,21.095031,18.912160,26.143321,2.419041,20.843215
60000,20.981133,56.579742,33.724271,0.457767,0.457767,20.992302,15.748802,25.795446,21.049287,15.740829,25.767010,4.481539,21.131711
100000,21.335553,42.831940,55.890440,0.762945,0.762945,22.263065,22.453781,29.559219,22.334231,22.428365,29.576179,1.961810,21.440000
150000,20.264909,48.498889,41.365375,0.572207,0.572207,23.763619,17.150477,27.735562,23.675335,17.150321,27.745475,3.517521,19.078798
200000,20.787085,42.233542,60.787537,0.762942,0.762942,25.271313,23.398419,31.469717,25.229512,23.398954,31.407360,1.998617,20.175000
300000,20.622362,47.379908,47.477263,0.572206,0.572206,29.353969,17.442398,29.449892,28.465175,17.442337,29.413804,3.481567,19.491899
400000,20.530626,41.323959,66.735146,0.762941,0.762941,29.687585,23.899171,33.163983,29.098615,23.850019,33.172677,2.014663,22.098055
600000,23.326018,49.894583,57.206012,0.572205,0.572205,34.048465,17.579008,32.590446,35.406621,17.585748,32.585779,3.478983,23.237107
800000,22.967795,43.226545,78.230525,0.762940,0.762940,35.188592,24.201573,36.291623,35.521423,24.228402,36.301775,2.032050,23.616806
1200000,25.849497,52.947378,70.921013,0.572205,0.572205,47.497327,18.002910,39.713456,48.466700,18.103927,39.867375,3.393501,27.139005
2200000,31.614602,58.784536,77.463394,0.524521,0.524521,57.864235,18.624085,45.543119,58.480917,18.664894,45.545517,3.683784,30.268902
3100000,30.870027,51.415450,89.660583,0.739098,0.739098,59.535181,25.836646,49.037362,60.179677,25.815392,49.037686,1.884391,30.356125
6000000,33.531750,54.055840,86.521213,0.715256,0.715256,66.068658,26.724713,52.077119,66.286677,26.860050,52.026525,1.781227,32.957206
10000000,39.593356,63.264238,83.077535,0.596047,0.596047,73.313463,22.954992,53.974233,73.239504,22.908808,54.487673,3.379067,39.061935
