element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,26.036458,43.401042,12.110221,0.507937,0.507937,16.287298,2.171350,9.460142,16.302604,2.283192,9.513063,0.741110,88.541667
110,64.080303,81.315152,11.332004,0.866142,0.866142,57.411985,4.061717,31.630725,57.197323,4.046817,31.661463,0.715147,79.290909
240,131.539583,159.952778,11.666837,0.469667,0.469667,119.441985,2.448596,57.503500,119.526935,2.447792,57.484502,1.006719,135.127778
500,252.583667,296.625000,11.884577,0.488759,0.488759,230.338840,2.269398,116.706565,230.573323,2.367831,116.932877,1.009877,248.167333
800,392.734167,431.380417,11.024427,0.782014,0.782014,366.592467,4.986252,186.244042,366.117708,5.004475,186.080902,0.755283,385.173750
1024,494.974772,562.371094,11.929581,0.500244,0.500244,460.291292,2.726021,237.048144,456.709415,2.780525,238.264231,0.978027,489.013672
1500,712.759111,751.777778,18.424642,0.732780,0.732780,659.555108,5.087667,335.593627,665.713237,5.182037,336.961640,0.847106,702.833556
2048,943.759440,1084.696533,12.178077,0.500122,0.500122,901.764998,3.120383,458.645183,897.522313,3.105760,457.255181,1.123728,944.661458
3000,1381.671278,1464.780056,18.595904,0.732601,0.732601,1312.770956,8.681635,666.116396,1313.003875,8.113819,658.526825,0.887135,1396.925889
6000,2731.142361,2905.521972,19.134390,0.732511,0.732511,0.000000,10.872923,1302.245596,0.000000,10.759815,1301.104452,0.890936,1832.502278
8192,3813.742716,4281.428040,12.932579,0.000000,0.000000,0.000000,5.626464,0.000000,0.000000,5.220002,0.000000,1.380820,1271.714966
12000,5800.935764,6204.274903,21.141183,0.000000,0.000000,0.000000,11.986090,0.000000,0.000000,11.941011,0.000000,0.919918,1949.347222
16384,8162.127604,8957.414408,15.883994,0.000000,0.000000,0.000000,5.916792,0.000000,0.000000,6.090123,0.000000,1.454902,2711.940348
25000,12662.884993,13162.088333,0.000000,0.000000,0.000000,0.000000,12.535156,0.000000,0.000000,12.830146,0.000000,0.878704,4267.727773
32768,17488.608678,18631.017690,0.000000,0.000000,0.000000,0.000000,6.416846,0.000000,0.000000,6.434227,0.000000,1.552750,5771.092316
45000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
60000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
150000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
