element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,30.385417,48.609375,77.145833,0.507937,0.507937,18.724102,5.994642,11.874590,16.816542,6.290500,10.677146,1.432300,74.218750
110,27.903030,39.265152,72.073042,0.866142,0.866142,14.258254,7.361612,10.728188,14.414958,7.433502,11.204058,0.823255,46.966667
240,30.150000,51.070833,73.035665,0.469667,0.469667,14.558294,5.788671,10.208414,14.517002,5.783381,10.194883,2.521613,40.162500
500,34.527667,54.541333,73.670869,0.488759,0.488759,14.626356,6.314729,10.353223,14.995490,6.939985,10.325435,2.172438,39.388667
800,31.102292,48.472083,72.834896,0.782014,0.782014,14.818881,6.982715,10.585358,15.139013,6.701681,10.585500,1.061231,49.270417
1024,36.275391,58.464844,75.614602,0.500244,0.500244,17.047365,6.596223,10.719273,16.667089,6.664794,10.694219,2.152532,43.552083
1500,32.152778,47.694444,93.843725,0.732780,0.732780,19.514177,6.858100,13.349552,19.913165,8.003198,13.893198,1.297191,42.629556
2048,32.629964,57.729167,78.633892,0.500122,0.500122,22.044554,8.485748,14.345077,22.122119,8.482819,15.057648,2.249464,44.562500
3000,33.349500,49.518556,98.840925,0.732601,0.732601,24.323954,12.772796,19.967173,24.618069,13.300769,19.962406,1.343875,39.782444
6000,36.337944,58.753472,104.526210,0.732511,0.732511,27.980135,16.531508,26.606717,28.891206,18.384958,33.656873,2.421968,47.233833
8192,35.419067,64.956665,102.721406,0.500031,0.500031,28.245098,11.920696,25.575096,29.016725,11.769731,24.850875,3.018991,41.210612
12000,35.269111,61.458903,99.274075,0.732467,0.732467,30.807890,17.600556,30.370944,30.459352,17.245265,29.577358,1.663394,39.599556
16384,34.339488,67.907562,95.839133,0.500015,0.500015,31.737031,13.082496,29.087864,31.171469,12.903871,28.826317,3.845427,42.861938
25000,35.635000,59.736107,154.548773,0.762963,0.762963,33.239144,20.533838,33.477960,33.278729,20.767467,33.255858,1.732898,41.115560
32768,37.652328,68.390747,125.441246,0.500008,0.500008,35.261954,13.889300,32.382377,33.909604,13.541667,31.310773,3.960956,45.070648
45000,39.330404,68.600159,172.683773,0.686656,0.686656,35.021731,17.438860,34.168646,35.446939,17.604535,34.345079,2.447990,41.518215
60000,42.129400,79.142942,216.702348,0.457767,0.457767,45.836752,14.218927,37.201135,38.585898,13.530656,34.665579,4.654408,45.765050
100000,42.067080,60.193333,248.447010,0.762945,0.762945,46.574658,22.437044,42.667327,47.684592,22.731112,41.757125,2.050187,41.517640
150000,40.544258,66.792684,335.990765,0.572207,0.572207,57.201390,16.241325,46.093154,56.462619,16.695967,47.528571,3.645100,39.364907
200000,44.271667,65.139793,341.461146,0.762942,0.762942,61.040046,24.878021,50.749325,62.325800,25.031694,50.588160,2.016877,44.113123
300000,47.108982,73.617453,462.432794,0.572206,0.572206,74.562939,19.311267,55.499040,76.464240,19.416177,58.332685,3.530757,53.996250
400000,48.873923,65.598160,551.362294,0.762941,0.762941,85.416150,27.776771,67.136106,85.141290,29.053013,65.019250,2.020710,51.282917
600000,57.971944,85.077338,482.069294,0.572205,0.572205,109.216254,22.774156,80.835335,111.304371,22.598671,78.791454,3.609054,61.397592
800000,58.153750,78.888802,441.080727,0.762940,0.762940,117.976127,33.607621,85.490331,116.280392,34.123988,86.695308,2.098663,60.246962
1200000,70.480955,99.216267,360.332763,0.572205,0.572205,129.326183,29.994008,93.679456,129.491110,29.679356,92.737112,3.510033,67.777627
2200000,71.811250,116.857670,330.308375,0.524521,0.524521,143.464944,34.828763,101.643346,142.139850,35.604742,101.560669,3.804504,73.029236
3100000,74.352010,103.686331,395.689937,0.739098,0.739098,149.415796,44.187283,106.364998,147.786183,45.200690,106.088640,1.904620,74.425502
6000000,82.655958,118.221608,392.280537,0.715256,0.715256,156.055604,45.685292,111.524954,155.778071,45.615067,112.314127,1.841024,78.938991
10000000,95.178917,136.594844,392.545333,0.596047,0.596047,168.963990,45.991442,118.990460,169.540885,45.824604,119.338304,3.388933,90.747556
